akceptować	zaakceptować
przeżywać	przeżyć
wyrażać	wyrazić
nadwyrężać się	nadwyrężyć się
nadwerężać się	nadwerężyć się
nadszarpywać się	nadszarpnąć się
spinać	spiąć
sczepiać	sczepić
rozczepiać	rozczepić
spinać	spiąć
spinać konia	spiąć konia
spinać	spiąć
kotłować	skotłować
przewiązywać	przewiązać
wytracać	wytracić
nadwyrężać	nadwyrężyć
przemaczać	przemoczyć
nadwątlać	nadwątlić
nadszarpywać	nadszarpnąć
przeginać	przegiąć
wyginać	wygiąć
przychylać	przychylić
schylać	schylić
skłaniać	skłonić
skłaniać	pochylić
przeginać	przegiąć
wyginać	wygiąć
zginać	zgiąć
przeginać	przegiąć
przeginać pałę	przegiąć pałę
przekraczać miarę	przekroczyć miarę
przebierać miarę	przebrać miarę
przekraczać miarkę	przekroczyć miarkę
przebierać miarkę	przebrać miarkę
przeciągać strunę	przeciągnąć strunę
przeholowywać	przeholować
zagalopowywać się	zagalopować się
rozprostowywać	rozprostować
wyprostowywać	wyprostować
naprostowywać	naprostować
odginać	odgiąć
rozginać	rozgiąć
wyrównywać	wyrównać
skrzywiać	skrzywić
wykoślawiać	wykoślawić
wykrzywiać	wykrzywić
zakrzywiać	zakrzywić
rozprostowywać	rozprostować
wyprostowywać	wyprostować
postrzegać	postrzec
postrzegać	postrzec
zwijać	zwinąć
spostrzegać	spostrzec
wyciągać	wyciągnąć
spostrzegać	spostrzec
wyciągać	wyciągnąć
wyciągać	wyciągnąć
wyciągać	wyciągnąć
wyciągać	wyciągnąć
zdawać	zdać
zdawać	zdać
zdawać	zdać
zdawać	zdać
ciąć	uciąć
porzucać	porzucić
zaprzestawać	zaprzestać
przestawać	przestać
kupować	kupić
ślepnąć	oślepnąć
głuchnąć	ogłuchnąć
kupować	kupić
kupować	kupić
kupować	kupić
odchodzić	odejść
odchodzić	odejść
zwalniać się	zwolnić się
odjeżdżać	odjechać
odchodzić	odejść
odchodzić	odejść
odchodzić	odejść
odchodzić	odejść
zadowalać się	zadowolić się
odchodzić	odejść
kontentować się	ukontentować się
odchodzić	odejść
odłazić	odleźć
odchodzić	odejść
odchodzić	odejść
odnosić	odnieść
odnosić	odnieść
obciągać	obciągnąć
robić loda	zrobić loda
brać do buzi	wziąć do buzi
robić gałę	zrobić gałę
robić laskę	zrobić laskę
obciągać loda	obciągnąć loda
obciągać fiuta	obciągnąć fiuta
obciągać chuja	obciągnąć chuja
odnosić	odnieść
podlegać	podlec
poświęcać	poświęcić
wyświęcać	wyświęcić
zajmować	zająć
zajmować	zająć
zajmować	zająć
pochłaniać	pochłonąć
obejmować	objąć
zajmować	zająć
przechodzić	przejść
opuszczać się	opuścić się
opuszczać się	opuścić się
przechodzić	przejść
zapuszczać	zapuścić
zapuszczać	zapuścić
przechodzić	przejść
zapuszczać	zapuścić
przechodzić	przejść
hodować	wyhodować
zapuszczać	zapuścić
odpalać	odpalić
zapuszczać	zapuścić
przechodzić	przejść
hodować	wyhodować
zaświecać	zaświecić
przechodzić	przejść
przechodzić	przejść
odpalać	odpalić
przechodzić	przejść
odpalać	odpalić
odpalać	odpalić
przechodzić	przejść
przechodzić	przejść
detonować	zdetonować
odpalać	odpalić
zabagniać	zabagnić
zabagniać	zabagnić
zaciemniać	zaciemnić
zaciemniać	zaciemnić
motać	namotać
motać	namotać
splątywać	splątać
zadrutowywać	zadrutować
lutować	zlutować
nitować	znitować
spawać	zespawać
stapiać	stopić
stapiać	stopić
wyśrubowywać	wyśrubować
ześrubowywać	ześrubować
skręcać	skręcić
rozważać	rozważyć
pienić się	zapienić się
pakować	upakować
pakować	zapakować
pakować	spakować
pakować	popakować
pakować	opakować
pakować	zapakować
pakować	spakować
pakować	wpakować
pakować	wpakować
skąpić	poskąpić
okrętować	zaokrętować
transferować	przetransferować
agitować	zaagitować
przechodzić	przejść
przechodzić	przejść
przechodzić	przejść
nasycać się	nasycić się
wmawiać	wmówić
wpierać	weprzeć
wpierać	weprzeć
przerabiać	przerobić
galaretowacieć	zgalaretowacieć
opieprzać	opieprzyć
przybywać	przybyć
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
rzucać	rzucić
przyjmować	przyjąć
przyjmować	przyjąć
przyjmować	przyjąć
wyświadczać	wyświadczyć
opieprzać	opieprzyć
opierdalać	opierdolić
opierdzielać	opierdzielić
rozklejać	rozkleić
rozlepiać	rozlepić
rozklejać	rozkleić
rozlepiać	rozlepić
rozgotowywać	rozgotować
rozklejać	rozkleić
rozklejać	rozkleić
rozkawałkowywać	rozkawałkować
rozwłókniać	rozwłóknić
rozdrabiać	rozdrobić
dekować	zadekować
odmieniać	odmienić
wystosowywać	wystosować
wystrugiwać	wystrugać
strugać	ostrugać
ostrugiwać	ostrugać
uczuwać	uczuć
ciułać	uciułać
zaoszczędzać	zaoszczędzić
intonować	zaintonować
podjudzać	podjudzić
atakować	zaatakować
rozpuszczać	rozpuścić
wyługowywać	wyługować
wyługowywać	wyługować
wybielać	wybielić
wyługowywać	wyługować
łyżeczkować	wyłyżeczkować
napadać	napaść
atakować	zaatakować
atakować	zaatakować
atakować	zaatakować
nabrzękać	nabrzęknąć
oczarowywać	oczarować
oczarowywać	oczarować
naładowywać	naładować
naładowywać	naładować
zasilać	zasilić
naładowywać	naładować
załadowywać	załadować
przeciążać	przeciążyć
naładowywać	naładować
przeładowywać	przeładować
napełniać	napełnić
załadowywać	załadować
rozładowywać	rozładować
rozładowywać	rozładować
rozładowywać	rozładować
odreagowywać	odreagować
rozładowywać	rozładować
wyładowywać	wyładować
wyładowywać	wyładować
przeładowywać	przeładować
przeciążać	przeciążyć
obciążać	obciążyć
przeładowywać	przeładować
doładowywać	doładować
darowywać	darować
składać w darze	złożyć w darze
zaofiarowywać	zaofiarować
doładowywać	doładować
doładowywać	doładować
nakłaniać się	nakłonić się
skłaniać się	skłonić się
zaostrzać	zaostrzyć
obostrzać	obostrzyć
dawać	dać
dawać	dać
dawać	dać
dawać	dać
dawać	dać
dawać	dać
dawać	dać
zdejmować	zdjąć
zdejmować	zdjąć
zdejmować	zdjąć
zdejmować	zdjąć
zdejmować	zdjąć
odurzać	odurzyć
fotografować	sfotografować
kołtunić	skołtunić
kudłać	skudłać
kudłacić	skudłacić
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
znosić	znieść
wytrzymywać	wytrzymać
przeczekiwać	przeczekać
przeczekiwać	przeczekać
przeżywać	przeżyć
przeżywać	przeżyć
przeżywać	przeżyć
szczypać	szczypnąć
podszczypywać	podszczypnąć
podszczypywać	podszczypać
podskubywać	podskubać
skubać	skubnąć
szczypać	szczypnąć
smykać	smyknąć
podskubywać	podskubać
wyskubywać	wyskubnąć
wyskubywać	wyskubać
wtulać	wtulić
wprowadzać	wprowadzić
wwodzić	wwieść
wprowadzać	wprowadzić
wpisywać	wpisać
wprowadzać	wprowadzić
wprowadzać	wprowadzić
odczuwać	odczuć
odczuwać	odczuć
odczuwać	odczuć
wprowadzać	wprowadzić
wychodzić	wyjść
wychodzić	wyjść
wychodzić	wyjść
wydostawać się	wydostać się
wychodzić	wyjść
uchylać się	uchylić się
umykać	umknąć
wpychać się	wepchnąć się
wpychać się	wepchać się
wciskać się	wcisnąć się
wpierać się	weprzeć się
wtłaczać się	wtłoczyć się
wychodzić	wyjść
władowywać się	władować się
załadowywać się	załadować się
wychodzić	wyjść
pojawiać się	pojawić się
wpychać się	wepchać się
wmeldowywać się	wmeldować się
wtarabaniać się	wtarabanić się
wychodzić	wyjść
wychodzić	wyjść
wychodzić	wyjść
wychodzić	wyjść
wynosić	wynieść
wynosić	wynieść
wynosić	wynieść
wyrażać	wyrazić
wpieprzać się	wpieprzyć się
wpierdalać się	wpierdolić się
wtranżalać się	wtranżolić się
wtryniać się	wtrynić się
wpakowywać się	wpakować się
otwierać duszę	otworzyć duszę
odkrywać duszę	odkryć duszę
spowiadać się	wyspowiadać się
wynurzać się	wynurzyć się
wywnętrzać się	wywnętrzyć się
składać	złożyć
składać	złożyć
przykładać nóż do gardła	przyłożyć nóż do gardła
stawiać pod ścianą	postawić pod ścianą
zadawać gwałt	zadać gwałt
oszczędzać	oszczędzić
dochodzić	dojść
oszczędzać	oszczędzić
oszczędzać	oszczędzić
dolatywać	dolecieć
dochodzić	dojść
dochodzić	dojść
dochodzić	dojść
osiągać	osiągnąć
dochodzić	dojść
otrzepywać	otrzepać
darowywać	darować
darowywać	darować
strząsać	strząsnąć
obtrząsać	obtrząsnąć
otrząsać	otrząść
otrząsać	otrząsnąć
dojrzewać	dojrzeć
dochodzić	dojść
zestawiać	zestawić
zestawiać	zestawić
blaknąć	wyblaknąć
blaknąć	zblaknąć
zestawiać	zestawić
blednąć	poblednąć
blednąć	zblednąć
blednąć	pobladnąć
bladnąć	zbladnąć
dochodzić	dojść
gasnąć	zgasnąć
płowieć	wypłowieć
płowieć	spłowieć
dochodzić	dojść
zagasać	zagasnąć
dochodzić	dojść
dochodzić	dojść
nastawiać	nastawić
nastawiać	nastawić
odbarwiać się	odbarwić się
puszczać	puścić
nadstawiać	nadstawić
odrzucać	odrzucić
odrzucać	odrzucić
odrzucać	odrzucić
odrzucać	odrzucić
otrzymywać	otrzymać
otrzymywać	otrzymać
zapanowywać	zapanować
wracać	wrócić
powracać	powrócić
powracać	powrócić
powracać	powrócić
powracać	powrócić
przekonywać	przekonać
spadać	spaść
spadać	spaść
spadać	spaść
spadać	spaść
wspomagać	wspomóc
umieszczać	umieścić
umiejscawiać	umiejscowić
utrzymywać	utrzymać
utrzymywać	utrzymać
utrzymywać	utrzymać
utrzymywać	utrzymać
podtrzymywać	podtrzymać
dodawać otuchy	dodać otuchy
podtrzymywać	podtrzymać
zachowywać	zachować
zachowywać	zachować
wytężać się	wytężyć się
naprężać się	naprężyć się
natężać się	natężyć się
sprężać się	sprężyć się
nadymać się	nadąć się
wyprężać się	wyprężyć się
dawać z siebie wszystko	dać z siebie wszystko
przykładać się	przyłożyć się
przysiadać fałdów	przysiąść fałdów
zatrzymywać	zatrzymać
zatrzymywać	zatrzymać
zatrzymywać	zatrzymać
zatrzymywać	zatrzymać
spinać się	spiąć się
sprężać się	sprężyć się
zbierać siły	zebrać siły
zbierać się w sobie	zebrać się w sobie
demobilizować się	zdemobilizować się
zniechęcać się	zniechęcić się
przysposabiać się	przysposobić się
przyszykowywać się	przyszykować się
rekwirować	zarekwirować
siadać	siąść
siadać	siąść
wiązać	związać
związywać	związać
zawiązywać	zawiązać
związywać	związać
wiązać	powiązać
wiązać	związać
związywać	związać
wiązać	związać
związywać	związać
wiązać	związać
wiązać	powiązać
łączyć	połączyć
wiązać	związać
wiązać	związać
związywać	związać
wiązać	związać
związywać	związać
wtaszczać	wtaszczyć
wnosić	wnieść
przedkładać	przedłożyć
wnosić	wnieść
wnosić	wnieść
wnosić	wnieść
odwiedzać	odwiedzić
przygotowywać się	przygotować się
wpadać	wpaść
oswajać się	oswoić się
wpadać	wpaść
oswajać się	oswoić się
obłaskawiać się	obłaskawić się
obywać się	obyć się
aklimatyzować się	zaaklimatyzować się
aklimatyzować się	zaaklimatyzować się
przygotowywać się	przygotować się
sprężać się	sprężyć się
rozprężać się	rozprężyć się
rozkurczać	rozkurczyć
ściągać	ściągnąć
wstrzymywać	wstrzymać
blokować	zablokować
blokować	zablokować
blokować	zablokować
blokować	zablokować
upupiać	upupić
szarpać się	szarpnąć się
wykosztowywać się	wykosztować się
wyżyłowywać się	wyżyłować się
zablokowywać	zablokować
zablokowywać	zablokować
zablokowywać	zablokować
zablokowywać	zablokować
zdobywać się	zdobyć się
wysadzać się	wysadzić się
przejmować	przejąć
wstrząsać	wstrząsnąć
wstrząsać	wstrząsnąć
wstrząsać się	wstrząsnąć się
wzdrygać się	wzdrygnąć się
zachłystywać się	zachłysnąć się
zawadzać	zawadzić
wydupiać	wydupić
spierdalać	spierdolić
stwierdzać	stwierdzić
konstatować	skonstatować
skazywać	skazać
skazywać	skazać
wyrokować	zawyrokować
decydować się	zdecydować się
postanawiać	postanowić
zacinać się	zaciąć się
zablokowywać się	zablokować się
krztusić się	zakrztusić się
dławić się	zadławić się
zawieszać się	zawiesić się
zacinać się	zaciąć się
zająkiwać się	zająknąć się
stękać	stęknąć
ranić się	zranić się
zacinać się	zaciąć się
zamykać się	zamknąć się
ściskać się	ścisnąć się
zacinać się	zaciąć się
zaciskać się	zacisnąć się
zwierać się	zewrzeć się
przypuszczać	przypuścić
złączać	złączyć
przyłączać	przyłączyć
przyłączać	przyłączyć
przyłączać	przyłączyć
włączać	włączyć
włączać	włączyć
włączać	włączyć
odkręcać	odkręcić
odkręcać kurek	odkręcić kurek
odkręcać wodę	odkręcić wodę
odkręcać gaz	odkręcić gaz
sznurować	zesznurować
wyłączać	wyłączyć
wyłączać	wyłączyć
wyłączać	wyłączyć
wykluczać	wykluczyć
przestraszać się	przestraszyć się
tchórzyć	stchórzyć
wystraszać się	wystraszyć się
sztywnieć	zesztywnieć
stroszyć się	nastroszyć się
najeżać się	najeżyć się
napuszać się	napuszyć się
zjeżać się	zjeżyć się
najeżać się	najeżyć się
zjeżać się	zjeżyć się
stawać dęba	stanąć dęba
pytać się	zapytać się
pytać się	spytać się
zapytywać się	zapytać się
zwracać się z pytaniem	zwrócić się z pytaniem
wpadać	wpaść
ruszać się	ruszyć się
robić ruch	zrobić ruch
rugować	wyrugować
zakręcać	zakręcić
zakręcać	zakręcić
zakręcać	zakręcić
zakręcać	zakręcić
skręcać	skręcić
wpadać	wpaść
skręcać	skręcić
wpadać	wpaść
wpadać	wpaść
zakładać	założyć
zakładać	założyć
zakładać	założyć
zakładać	założyć
zakładać	założyć
zakładać	założyć
zakładać	założyć
zakładać	założyć
pojawiać się	pojawić się
zjawiać się	zjawić się
wczytywać	wczytać
oddawać	oddać
oddawać	oddać
odzwierciedlać	odzwierciedlić
oddawać	oddać
oddawać	oddać
zamykać	zamknąć
zamykać	zamknąć
zamykać	zamknąć
zamykać	zamknąć
zamykać	zamknąć
zamykać	zamknąć
zamykać	zamknąć
zawierać znajomość	zawrzeć znajomość
zawierać	zawrzeć
zawierać	zawrzeć
obejmować	objąć
mieścić	zmieścić
związywać	związać
związywać	związać
związywać	związać
związywać	związać
związywać	związać
zawiązywać	zawiązać
zawiązywać	zawiązać
zawiązywać	zawiązać
zawiązywać	zawiązać
zawiązywać	zawiązać
zawiązywać	zawiązać
zawiązywać	zawiązać
wiązać	zawiązać
nawlekać	nawlec
nanizywać	nanizać
doszywać	doszyć
doszywać	doszyć
kręcić	ukręcić
kręcić	ukręcić
zasupływać	zasupłać
wysupływać	wysupłać
zajmować	zająć
konfiskować	skonfiskować
obwałowywać	obwałować
werbalizować	zwerbalizować
nadpływać	nadpłynąć
nadrzynać	naderżnąć
nadżerać	nadeżreć
nadfruwać	nadfrunąć
nadlatywać	nadlecieć
przyfruwać	przyfrunąć
przylatywać	przylecieć
spajać	spoić
jednoczyć	zjednoczyć
integrować	zintegrować
sznurować	zesznurować
sznurować	zesznurować
splatać	spleść
przeplatać	przepleść
przetykać	przetknąć
przetykać	przetkać
przetykać	przetkać
przetykać	przetkać
przetykać	przetknąć
przetykać	przetkać
przewlekać	przewlec
przewlekać	przewlec
przewlekać	przewlec
przewlekać	przewlec
bić	zbić
zbijać	zbić
kisić się	ukisić się
ukwaszać się	ukwasić się
zakiszać się	zakisić się
zakwaszać się	zakwasić się
marynować się	zamarynować się
kontaminować	skontaminować
przesiewać	przesiać
przesiewać	przesiać
weryfikować	zweryfikować
weryfikować	zweryfikować
diagnozować	zdiagnozować
diagnozować	zdiagnozować
przepychać	przepchać
przepychać	przepchnąć
przepychać	przepchać
przepychać	przepchnąć
przepychać	przepchać
przepychać	przepchnąć
przepychać	przepchnąć
przepychać	przepchnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
przeciągać	przeciągnąć
następować	nastąpić
poprzedzać	poprzedzić
następować	nastąpić
brać	wziąć
przeganiać	przegonić
prześcigać	prześcignąć
poprzedzać	poprzedzić
zaopatrywać	zaopatrzyć
udrożniać	udrożnić
przeczyszczać	przeczyścić
przeczyszczać	przeczyścić
przeczyszczać	przeczyścić
rozmnażać się	rozmnożyć się
pomnażać się	pomnożyć się
przeciskać	przecisnąć
wyodrębniać się	wyodrębnić się
odcinać się	odciąć się
wydzielać się	wydzielić się
indywidualizować się	zindywidualizować się
ujednolicać się	ujednolicić się
różnicować się	zróżnicować się
różnicować się	zróżnicować się
wykrywać	wykryć
odkrywać	odkryć
odkrywać	odkryć
zwracać uwagę	zwrócić uwagę
odkrywać	odkryć
opierać	oprzeć
utykać	utknąć
więznąć	uwięznąć
grzęznąć	ugrzęznąć
grzęznąć	ugrzęznąć
grzęznąć	ugrzęznąć
podchodzić	podejść
serwować	zaserwować
podawać	podać
przynosić	przynieść
rozwlekać	rozwlec
rozwlekać	rozwlec
rozwlekać	rozwlec
rozwlekać	rozwlec
zakażać	zakazić
fundować	zafundować
stawiać	postawić
stawiać	postawić
stawiać	postawić
stawiać	postawić
odbąkiwać	odbąknąć
przedłużać	przedłużyć
wylatywać	wylecieć
wydłużać	wydłużyć
wylatywać	wylecieć
oddzwaniać	oddzwonić
zwrócić	zwracać
odtelefonowywać	odtelefonować
wylatywać	wylecieć
wylatywać	wylecieć
podłużać	podłużyć
wylatywać	wylecieć
dawać odpowiedź	dać odpowiedź
odpierać	odeprzeć
odrzekać	odrzec
udzielać odpowiedzi	udzielić odpowiedzi
odwlekać	odwlec
odkładać	odłożyć
odkładać	odłożyć
odpowiadać	odpowiedzieć
odpowiadać	odpowiedzieć
odpowiadać	odpowiedzieć
oddawać	oddać
wyjęzyczać się	wyjęzyczyć się
wyrażać się	wyrazić się
wysławiać się	wysłowić się
wyszczególniać się	wyszczególnić się
dopełniać się	dopełnić się
uzupełniać się	uzupełnić się
pisać	napisać
rozeznawać	rozeznać
rozeznawać się	rozeznać się
rozróżniać	rozróżnić
poznawać	poznać
dowiadywać się	dowiedzieć się
rozróżniać	rozróżnić
poznawać	poznać
poznawać	poznać
poznawać	poznać
uchylać	uchylić
zaznajamiać	zaznajomić
aklimatyzować	zaaklimatyzować
rozpijać	rozpić
strzyc	obstrzyc
strzyc	ostrzyc
obcinać	obciąć
wycieniowywać	wycieniować
odwoływać się	odwołać się
apelować	zaapelować
oddalać	oddalić
oddalać	oddalić
oddalać	oddalić
oddalać	oddalić
oddalać	oddalić
stylizować	wystylizować
przenosić	przenieść
przenosić	przenieść
przelatywać	przelecieć
uklasyczniać	uklasycznić
kaligrafować	wykaligrafować
przenosić	przenieść
odsuwać	odsunąć
odsuwać	odsunąć
odsuwać	odsunąć
upoetyczniać	upoetycznić
wystukiwać	wystukać
zawiewać	zawiać
okadzać	okadzić
produkować	wyprodukować
realizować	zrealizować
przydawać się	przydać się
zdawać się	zdać się
pompować	napompować
podtykać	podetknąć
odgrywać	odegrać
serwować	zaserwować
przekładać	przełożyć
przekładać	przełożyć
przekładać	przełożyć
przekładać	przełożyć
przekładać	przełożyć
kłaść	położyć
kłaść	położyć
układać	ułożyć
układać	ułożyć
tłumaczyć	wytłumaczyć
tłumaczyć	przetłumaczyć
tłumaczyć	przetłumaczyć
rozmieniać	rozmienić
znajdować	znaleźć
poddawać	poddać
traktować	potraktować
wracać	wrócić
wracać	wrócić
wracać	wrócić
wskazywać	wskazać
usprawiedliwiać	usprawiedliwić
usprawiedliwiać	usprawiedliwić
usprawiedliwiać	usprawiedliwić
oblewać	oblać
oblewać	oblać
oblewać	oblać
oblewać	oblać
wymazywać	wymazać
zapominać	zapomnieć
zapomnieć	zapominać
spotykać	spotkać
zaznajamiać się	zaznajomić się
dosięgać	dosięgnąć
spotykać	spotkać
dawać początek	dać początek
poczynać	począć
robić pierwszy krok	zrobić pierwszy krok
zaczynać	zacząć
zaczynać	zacząć
zaczynać	zacząć
napoczynać	napocząć
naruszać	naruszyć
odejmować	odjąć
ujmować	ująć
zaczynać	zacząć
pomniejszać	pomniejszyć
zaczynać	zacząć
zadzierać	zadrzeć
zadzierać	zadrzeć
naddzierać	nadedrzeć
trafiać	trafić
utrafiać	utrafić
wcelowywać	wcelować
dosięgać	dosięgnąć
trafiać	trafić
cenzurować	ocenzurować
ociosywać	ociosać
wyszywać	wyszyć
haftować	wyhaftować
wyszywać	wyszyć
cyrklować	wycyrklować
cyrklować	wycyrklować
inwentaryzować	zinwentaryzować
spisywać	spisać
zatrzaskiwać	zatrzasnąć
zatrzaskiwać	zatrzasnąć
gotować	zgotować
zatrzaskiwać	zatrzasnąć
wyć	zawyć
wyć	zawyć
uderzać	uderzyć
uderzać	uderzyć
obszywać	obszyć
obrębiać	obrębić
obszywać	obszyć
szyć	uszyć
lamować	wylamować
lamować	zalamować
oblamowywać	oblamować
zimować	przezimować
gilotynować	zgilotynować
ścinać	ściąć
gilotynować	zgilotynować
gilotynować	zgilotynować
nabłyszczać	nabłyszczyć
polerować	wypolerować
glancować	wyglancować
glansować	wyglansować
froterować	wyfroterować
wygłuszać	wygłuszyć
ścinać	ściąć
ścinać	ściąć
ścinać	ściąć
ogłuszać	ogłuszyć
walić	walnąć
kosić	skosić
kosić	skosić
namagnesowywać	namagnesować
hipnotyzować	zahipnotyzować
akompaniować	zaakompaniować
cumować	zacumować
napędzać	napędzić
hajcować	nahajcować
złomować	zezłomować
archiwizować	zarchiwizować
krzyżować	pokrzyżować
krzyżować	skrzyżować
krzyżować	skrzyżować
uporządkowywać	uporządkować
hierarchizować	zhierarchizować
telegrafować	zatelegrafować
depeszować	zadepeszować
przefaksowywać	przefaksować
teleksować	przeteleksować
maleć	zmaleć
oddalać się	oddalić się
zmniejszać się	zmniejszyć się
urządzać	urządzić
meblować	umeblować
zmiękczać	zmiękczyć
zmiękczać	zmiękczyć
palatalizować	spalatalizować
mówić	powiedzieć
mówić	powiedzieć
odzywać się	odezwać się
odzywać się	odezwać się
zwielokrotniać się	zwielokrotnić się
podwajać się	podwoić się
powiadać	powiedzieć
pękać	pęknąć
pękać	pęknąć
pękać	pęknąć
recytować	wyrecytować
wyrażać się	wyrazić się
wyrażać się	wyrazić się
wybuchać	wybuchnąć
wybuchać	wybuchnąć
wybuchać	wybuchnąć
przemawiać	przemówić
zabierać głos	zabrać głos
wymawiać	wymówić
wymawiać	wymówić
wymawiać	wymówić
wymawiać	wymówić
wypominać	wypomnieć
rozwiązywać	rozwiązać
rozwiązywać	rozwiązać
rozwiązywać	rozwiązać
ginąć	zaginąć
ginąć	zginąć
obalać się	obalić się
znikać	zniknąć
organizować	zorganizować
belkować	obelkować
organizować	zorganizować
obielać	obielić
pobielać	pobielić
bielić	ubielić
pobielać	pobielić
zwracać	zwrócić
kierować	skierować
obracać	obrócić
bratać	zbratać
opiłowywać	opiłować
spiłowywać	spiłować
legalizować	zalegalizować
legalizować	zalegalizować
obciosywać	obciosać
obetonowywać	obetonować
obielać	obielić
obławiać się	obłowić się
obmalowywać	obmalować
ustawiać	ustawić
obradlać	obradlić
obredlać	obredlić
obrączkować	zaobrączkować
cementować	scementować
docierać	dotrzeć
docierać	dotrzeć
docierać	dotrzeć
zwracać się	zwrócić się
ubierać w słowa	ubrać w słowa
ujmować	ująć
docierać	dotrzeć
przeprowadzać	przeprowadzić
doprowadzać	doprowadzić
przeprowadzać	przeprowadzić się
przeprowadzać	przeprowadzić
tracić	stracić
wyceniać	wycenić
tracić	stracić
taksować	otaksować
taksować	otaksować
tankować	zatankować
wykładać	wyłożyć
drętwieć	zdrętwieć
wyklejać	wykleić
tapetować	wytapetować
zyskiwać	zyskać
wyklejać	wykleić
zyskiwać	zyskać
tapirować	natapirować
przetasowywać	przetasować
ustalać	ustalić
ustalać	ustalić
umawiać	umówić
ustalać	ustalić
umacniać	umocnić
doprowadzać	doprowadzić
doprowadzać	doprowadzić
planować	zaplanować
pokazywać	pokazać
pokazywać	pokazać
wyrastać	wyrosnąć
wymieniać	wymienić
wchodzić	wejść
wchodzić	wejść
wchodzić	wejść
wkraczać	wkroczyć
wchodzić	wejść
wchodzić	wejść
wchodzić	wejść
wnikać	wniknąć
wchodzić	wejść
wchodzić	wejść
wchodzić	wejść
wchodzić	wejść
wybierać	wybrać
wybierać numer	wybrać numer
łączyć się	połączyć się
wybierać	wybrać
wskazywać	wskazać
wzywać	wezwać
wnosić apelację	wnieść apelację
składać apelację	złożyć apelację
apelować	zaapelować
wykonywać	wykonać
wybierać	wybrać
roztrzepywać	roztrzepać
wytrzepywać	wytrzepać
tuczyć się	utuczyć się
tryskać	trysnąć
rozbijać	rozbić
bić	ubić
ubijać	ubić
bić	ubić
bić	nabić
wybijać	wybić
nabijać	nabić
przedstawiać	przedstawić
dostawać	dostać
bronić się	obronić się
wieszać	powiesić
rozstrzeliwać	rozstrzelać
rozstrzeliwać	rozstrzelić
snuć	usnuć
rozpoczynać	rozpocząć
otwierać	otworzyć
rozchylać	rozchylić
otwierać	otworzyć
otwierać	otworzyć
otwierać	otworzyć
prosić się	oprosić się
ośmielać	ośmielić
ośmielać się	ośmielić się
poważać się	poważyć się
ośmielać się	ośmielić się
przymawiać się	przymówić się
wmeldowywać	wmeldować
wyściełać	wysłać
wyścielać	wyścielić
mościć	wymościć
tępić się	stępić się
śpieszyć się	pośpieszyć się
spóźniać się	spóźnić się
opóźniać się	opóźnić się
rozregulowywać	rozregulować
rozregulowywać	rozregulować
wyregulowywać	wyregulować
rozregulowywać się	rozregulować się
rozregulowywać się	rozregulować się
upłynniać	upłynnić
upłynniać	upłynnić
walczyć	wywalczyć
zniewalać	zniewolić
generować	wygenerować
zalogowywać się	zalogować się
wylogowywać się	wylogować się
marnować	zmarnować
besztać	zbesztać
przywoływać	przywołać
przywoływać	przywołać
ochrzaniać	ochrzanić
przytaczać	przytoczyć
odwadniać	odwodnić
odwodniać	odwodnić
ogłaszać	ogłosić
nawilżać	nawilżyć
przebijać	przebić
przebijać	przebić
przebijać	przebić
przebijać się	przebić się
przeistaczać	przeistoczyć
przeistaczać się	przeistoczyć się
przeobrażać się	przeobrazić się
rozkwitać	rozkwitnąć
zakwitać	zakwitnąć
roznosić	roznieść
rozprzestrzeniać	rozprzestrzenić
roznosić	roznieść
rozpadać się	rozpaść się
rozpadać się	rozpaść się
rozkładać się	rozłożyć się
roztapiać się	roztopić się
topić się	stopić się
rozpływać się	rozpłynąć się
rozpływać się	rozpłynąć się
rozlewać się	rozlać się
odwodniać	odwodnić
zdychać	zdechnąć
odwodniać	odwodnić
wymieniać się	wymienić się
zamieniać się	zamienić się
zamieniać się	zamienić się
przewiercać	przewiercić
prześwidrowywać	prześwidrować
załamywać	załamać
wywiercać	wywiercić
załamywać	załamać
zarywać	zarwać
zlewać się	zlać się
zlewać się	zlać się
spieprzać się	spieprzyć się
spierdzielać się	spierdzielić się
spieprzać się	spieprzyć się
jebać się	zjebać się
chrzanić się	schrzanić się
podszywać	podszyć
podszywać	podszyć
przypisywać	przypisać
przypisywać	przypisać
podszywać się	podszyć się
dopisywać	dopisać
dopisywać	dopisać
dopisywać	dopisać
zaznaczać	zaznaczyć
spisywać	spisać
spisywać	spisać
rehabilitować	zrehabilitować
rehabilitować	zrehabilitować
wyznaczać	wyznaczyć
oczyszczać	oczyścić
uwalniać	uwolnić
oswobadzać	oswobodzić
rozpisywać się	rozpisać się
zakreślać	zakreślić
wymrażać	wymrozić
wymrażać	wymrozić
wymrażać	wymrozić
wymarzać	wymarznąć
opieczętowywać	opieczętować
uwydatniać	uwydatnić
