zezwalać|zgadzać się|pozwalać|akceptować|godzić się|przystawać|przyzwalać|wyrażać zgodę	odwieszać
zmęczyć się|sforsować się|umęczyć się|znużyć się	nasmołować się
zanurzać	kąpać
zanurzać	chromianować
wyprostować się|rozprostować się	rozciągać się|rozkładać się|rozpłaszczać się|wyciągać się
drażnić	rozdrażnić|zaognić|rozognić
drażnić	rozdrażniać|zaogniać|rozogniać
wyciąć	ekstyrpować
wyciąć	odmłodzić
zasadzić|posadzić	odmłodzić
poranić|pokiereszować|pokaleczyć	zmasakrować
solić	przesolić
solić	przesalać
pieprzyć|opieprzać	przepieprzyć
pieprzyć|opieprzać	przepieprzać
słodzić|osładzać	przesłodzić|przecukrzyć
słodzić|osładzać	przesładzać|przecukrzać
łuskać|obłuskiwać|łuszczyć|złuszczać	wyłuszczyć|wyłuskać
łuskać|obłuskiwać|łuszczyć|złuszczać	wyłuskiwać|wyłuszczać
rumienić	opiekać
smarować	rozsmarować
smarować	wysmarować
bazgrać|smarować|skrobać|gryzmolić	zabazgrywać
kuć	wykuć
kuć	wkuwać
pisać	zapisać
pisać	zapisywać
pisać	przepisywać
wycinać	ekstyrpować
wycinać	mazerować|kostkować
wycinać	ażurować
wykrawać	przykroić
wykrawać	przykrawać
usmażyć	opiec
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	zwęglić
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	zwęglać|karbonizować
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	spiekać
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	spiec
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	wyprażyć
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	wyprażać
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	odpuszczać|odhartowywać
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	roztapiać|stapiać|topić
grzać|ogrzewać|nagrzewać|zagrzewać|ocieplać|rozgrzewać	odwadniać|odwodniać
trzeć	wetrzeć
trzeć	wcierać
trzeć	natrzeć
trzeć	nacierać
trzeć	zetrzeć
trzeć	ścierać
rąbać	porąbać
rąbać	porąbać|połupać
rąbać	narąbać się
rąbać	rąbać|zrąbywać
rąbać	przerąbać|rozrąbać
rąbać	przerąbywać|rozrąbywać
rąbać	wyrąbać|przerąbać
rąbać	wyrąbywać
rąbać	wyrąbywać|przerąbywać|rąbać
rąbać	odrąbywać
roztopić|stopić	rozlutować
stukać|pukać|kołatać|stukotać	postukać
stukać|pukać|kołatać|stukotać	wystukać
stukać|pukać|kołatać|stukotać	wystukiwać
stukać|pukać|kołatać|stukotać	kuć
pochylać się|chylić się|nachylać się|przychylać się|schylać się	kłaniać się|składać ukłon
kołysać się|kiwać się|bujać się|gibać się|huśtać się	pohuśtać się|pobujać się|pokołysać się
ulegać	naginać się
zakukać	wykukać
zakrzyczeć	zahuczeć
zameldować	przemeldować
zaprzeczyć|odmówić	zdementować
zagrać	wystąpić
nudzić|nudzić się	nużyć się
grymasić|nudzić|marudzić|wybrzydzać	przebierać
obrażać|uchybiać	dotykać|urażać
podgrzewać	odparowywać
prażyć|wyprażać	palić
prażyć|wyprażać	rozprażyć
wlewać|nalewać|lać	dolewać
wlewać|nalewać|lać	dolać
wlewać|nalewać|lać	dolewać
wlewać|nalewać|lać	dolać
wlewać|nalewać|lać	zalewać
wlewać|nalewać|lać	odlewać
wlewać|nalewać|lać	przelewać
rozpryskiwać|rozbryzgiwać|rozchlapywać	chlapać|chlupać|bluzgać|bryzgać
mazać	wymazywać się
mazać	wymazać się
stygnąć|ostygać	zastygać
pozbywać się	upychać|wciskać
pozbywać się	upchnąć|upchać|wcisnąć
zabierać|brać	znosić
zabierać|brać	wywozić
montować|instalować|zakładać|zamontowywać	wmontować
montować|instalować|zakładać|zamontowywać	wmontowywać
żerować|paść się na cudzej krzywdzie|paść się cudzą krzywdą	tuczyć się
okręcać się|obracać się	zatoczyć się
okręcać się|obracać się	toczyć się|turlać się
koziołkować	przekoziołkować
wirować|kręcić się	pokręcić się
wirować|kręcić się	zawirować
kołysać|bujać	ukołysać
kołysać|bujać	kołysać
gwizdać	zagwizdać|wygwizdać
gwizdać	gwizdać
gwizdać	wygwizdać
gwizdać	wygwizdywać
gwizdać	wygwizdywać
gwizdać	pogwizdać
gwizdać	odgwizdać
gwizdać	odgwizdać
gwizdać	odgwizdywać
mlaskać|ciamkać	wychlipać|wychlipnąć
mlaskać|ciamkać	chlipać|wychlipywać
roztapiać|stapiać|topić	przetopić
roztapiać|stapiać|topić	przetapiać
roztapiać|stapiać|topić	stopić
roztapiać|stapiać|topić	stapiać
zagrzać|ogrzać|rozgrzać|nagrzać|ocieplić	odpuścić|odhartować
zagrzać|ogrzać|rozgrzać|nagrzać|ocieplić	roztopić|stopić
zagrzać|ogrzać|rozgrzać|nagrzać|ocieplić	odwodnić
masować|rozmasowywać	pomasować
kukać	wykukiwać
snuć się|czołgać się|pełzać|pełznąć	zasnuć
snuć się|czołgać się|pełzać|pełznąć	zasnuwać
przesuwać się|sunąć	podsunąć się
przesuwać się|sunąć	podsuwać się
przesuwać się|sunąć	wsunąć się|wślizgnąć się|wśliznąć się
przesuwać się|sunąć	ślizgać się
tłuc|grzać	zatłuc
ślizgać się	poślizgać się
nawiewać|nadmuchiwać	owiewać
wypłukiwać|wymywać	wymywać|wypłukiwać
wypłukać|wymyć	wymyć|wypłukać
przegrywać|ponosić porażkę	przerzynać
przegrać|ponieść porażkę|umoczyć	wracać na tarczy
przegrać|ponieść porażkę|umoczyć	wrócić na tarczy
przegrać|ponieść porażkę|umoczyć	przerżnąć
wygrać	wracać z tarczą
wygrać	wrócić z tarczą
sadzić|zasadzać	uprawiać|kultywować
pchać się	wypychać się
pchać się	wypchać się|wypchnąć się
pchać się	rozpychać się
pchać się	rozepchać się|rozepchnąć się
pchać się	przepchać się|przepchnąć się
pchać się	przepychać się
pędzić	uprawiać|kultywować
siać|zasiewać	rozsiewać
siać|zasiewać	uprawiać|kultywować
obsadzać|osadzać	nabijać|wybijać
wycofywać się	ustępować|podawać się do dymisji|składać urząd
wycofywać się	ustąpić|podać się do dymisji|złożyć urząd
zranić|skaleczyć|ranić	chlasnąć
pocierać	chrzęścić
pocierać	zachrzęścić
drapać	wydrapać
drapać	wydrapywać
drapać	wydrapać
drapać	wydrapywać
drapać	zdrapywać
drapać	zdrapać
drapać	rozdrapać
drapać	rozdrapywać
przebijać	wyrastać
kłuć	zadźgać|zakłuć
kłuć	wkłuwać się
kłuć	wkłuć się
kłuć	wkłuć
kłuć	wkłuwać
kłuć	spinać konia
kłuć	przekłuć
kłuć	przekłuwać
zagarniać	załapywać
skoczyć	uskoczyć
napadać|atakować|nacierać|najeżdżać|nalatywać|naskakiwać|wsiadać|wjeżdżać|jechać	kłócić się|wadzić się|waśnić się|sprzeczać się
wypełniać|zapełniać|napełniać	roić się
wpychać|pchać|tkać	dopchać|dopchnąć
wpychać|pchać|tkać	dopychać
wpychać|pchać|tkać	wypchać|napchać
wpychać|pchać|tkać	wypychać|napychać
wpychać|pchać|tkać	wypychać
wpychać|pchać|tkać	wypchać
wpychać|pchać|tkać	rozpychać się
wpychać|pchać|tkać	rozepchać|rozepchnąć
wpychać|pchać|tkać	rozpychać
nasycać	nakrochmalić|wykrochmalić
nasycać	krochmalić
nasycać	impregnować
wbić	przybić
wkręcać	przykręcać
wkręcać	przykręcić
odcinać	ścinać|dekapitować|skracać o głowę
odciąć	ściąć|zdekapitować|skrócić o głowę
wyolbrzymiać	tragizować|robić tragedię|dramatyzować
przesadzać|przeholowywać|przekraczać miarę|przebierać miarę|przekraczać miarkę|przebierać miarkę|przesalać|przeciągać strunę	niańczyć
przesadzać|przeholowywać|przekraczać miarę|przebierać miarę|przekraczać miarkę|przebierać miarkę|przesalać|przeciągać strunę	przeceniać
przesadzać|przeholowywać|przekraczać miarę|przebierać miarę|przekraczać miarkę|przebierać miarkę|przesalać|przeciągać strunę	przeliczać się|przerachowywać się
rozpruwać|pruć	wypruwać
rozpruwać|pruć	wypruć
rozłączać	rozsuwać
padać	popadać
batożyć	zabatożyć
sypać	przysypać
kropić	pokropić
umówić się|uzgodnić|umówić|zmówić się	zawrzeć
powiększyć się|rozrosnąć się|zwiększyć się	urosnąć
obsadzić|osadzić	nabić|wybić
dźwigać|taszczyć|tachać|tarabanić|targać	podźwigać|potaszczyć|potargać
dźwigać|taszczyć|tachać|tarabanić|targać	dotaskać|dotaszczyć
dźwigać|taszczyć|tachać|tarabanić|targać	przedźwigać się|podźwigać się|przerwać się|podźwignąć się
dźwigać|taszczyć|tachać|tarabanić|targać	przydźwigać|przytargać|przytaszczyć
demoralizować się|gorszyć się|staczać się	przekupić|podkupić|opłacić się|okupić się
wygładzić|ogładzić	rozprostować|wyprostować
przerwać	odpoczywać
lizać	zlizać
lizać	wylizać
lizać	wylizywać
lizać	wylizać
lizać	wylizywać
lizać	zlizywać
uderzać|zadawać cios|zadawać raz|wymierzać|dawać łupnia	kontrować
uderzać|zadawać cios|zadawać raz|wymierzać|dawać łupnia	rozkwasić
uderzać|zadawać cios|zadawać raz|wymierzać|dawać łupnia	skontrować
uderzać|zadawać cios|zadawać raz|wymierzać|dawać łupnia	bić|dawać|lać|okładać|młócić|prać
uderzyć|zadać cios|zadać raz|dać|wymierzyć|dać łupnia	pobić|zbić|stłuc|poturbować|zlać|sprać
kopnąć	wkopać|wkopnąć
oddzielić	odlać
pomalować	zabejcować
wierzgać	rozbrykać się|rozhukać się
dziobać|dzióbać	rozdziobywać
dziobać|dzióbać	rozdziobać
mieć za nic|nic sobie nie robić|niewiele sobie robić	walić|rąbać|rypać|ciąć
okryć	owinąć|zawinąć|obwinąć|spowić|spowinąć
upić się|opić się|spić się|upoić się|zaprawić się|zakropić się|zapić|doprawić się|popić	zajrzeć do kieliszka|zajrzeć do butelki|pociągnąć z butelki
zmęczyć	wykończyć|wyczerpać|wycieńczyć
grać|odgrywać	pograć
grać|odgrywać	nagrać się
grać|odgrywać	rozegrać się
grać|odgrywać	występować
zagrać|odegrać	wystąpić
iskrzyć	palić się|płonąć|spalać się
giąć się|zginać się|wyginać się	zagiąć się
giąć się|zginać się|wyginać się	zaginać się
znudzić|znudzić się	obnosić
sprawdzać|kontrolować|badać	przymierzyć
sprawdzać|kontrolować|badać	przymierzać
sprawdzać|kontrolować|badać	redagować
sprawdzić|skontrolować|zbadać	zredagować
kuśtykać|kusztykać	pokuśtykać|pokusztykać
kuśtykać|kusztykać	pokuśtykać|pokusztykać
kuśtykać|kusztykać	dokuśtykać|dokusztykać|przykuśtykać|przykusztykać
okaleczać	obrzezywać
okaleczyć	obrzezać
krzywdzić	prześladować
skrzywdzić	zgwałcić
zażyć	naużywać się
wstrzykiwać	dawać w żyłę
zaciągać się	palić|ćmić|kurzyć|kopcić
zaciągnąć się	zapalić|zakurzyć|zaćmić|zakopcić
wdychać|nabierać	nawdychać się
wdychać|nabierać	oddychać
wydychać	oddychać
wsysać|ssać	odciągać|odsysać
wsysać|ssać	odciągnąć|odessać
wsysać|ssać	wessać
odetchnąć	oddychać
dmuchać	wdmuchać|wdmuchnąć
dmuchać	wdmuchiwać
dmuchać	wydmuchiwać
dyszeć|zipać|ziać|ziajać|dychać	wydyszeć
sapać	wysapać|zasapać
sapać	wysapać się
sapać	wysapywać się
wybić	przebić
wygrzać	przesycić
wygrzewać	przesycać
wydostawać się|wydobywać się|uchodzić|uciekać|wylewać się	ulatniać się
wydostawać się|wydobywać się|uchodzić|uciekać|wylewać się	rozlewać się
wydostać się|ujść|uciec|ulecieć|wydobyć się|wydzielić się|wylać się	ulotnić się
wydostać się|ujść|uciec|ulecieć|wydobyć się|wydzielić się|wylać się	rozlać się
ograniczać|limitować	dyskryminować
zginać|przyginać|naginać|giąć|uginać	pozginać
łagodzić	buforować
łagodzić	gasić
uzbrajać|zbroić	dozbroić
uzbrajać|zbroić	dozbrajać
stuknąć|puknąć|zakołatać	stuknąć|puknąć
atakować	grać
przyklejać|przylepiać|naklejać|nalepiać	doklejać|dolepiać
przyklejać|przylepiać|naklejać|nalepiać	dokleić|dolepić
przyklejać|przylepiać|naklejać|nalepiać	wykleić
przyklejać|przylepiać|naklejać|nalepiać	wyklejać
przyklejać|przylepiać|naklejać|nalepiać	sztukować
przyklejać|przylepiać|naklejać|nalepiać	rozkleić|rozlepić
przyklejać|przylepiać|naklejać|nalepiać	rozklejać|rozlepiać
przykleić|przylepić|nakleić|nalepić	oblepić|obkleić|okleić
remisować	grać
wyprzedzać|uprzedzać|ubiegać	przygotowywać
wyprzedzić|uprzedzić|ubiec|ubiegnąć	przygotować
zdegradować	stoczyć
degradować	staczać
mierzyć|odmierzać	sondować
mierzyć|odmierzać	odmierzyć
powlekać|oblekać	przewlekać
powlec|oblec|powłóczyć	przewlec
przebywać|siedzieć	posiedzieć
rozmnożyć się|rozrodzić się	zagnieździć się|zalęgnąć się|zaląc się|założyć legowisko
czarować	wyczarować
czarować	wyczarowywać
czarować	odczarowywać
szabrować	rozszabrować
szabrować	rozszabrowywać
poniżyć	sponiewierać
gniewać się	pogniewać się
włożyć|nałożyć|założyć|wdziać|ubrać	przymierzyć
włożyć|nałożyć|założyć|wdziać|ubrać	przebrać
wyrażać|okazywać|uzewnętrzniać|objawiać	wypowiadać się
wyrażać|okazywać|uzewnętrzniać|objawiać	formułować|wyrażać|ujmować|artykułować
pokutować|odpokutowywać|odprawiać pokutę	praktykować
uczyć	przyuczać
uczyć	przyuczyć
połączyć	rzucić
organizować	uregulować|unormować|znormalizować
przydzielać	rozpisywać
przydzielić	rozpisać
układać	obkładać|okładać
wydostawać się	wyrastać
odmienić|przedzierzgnąć|przeobrazić|przekształcić|przemienić	przeformułowywać
odmienić|przedzierzgnąć|przeobrazić|przekształcić|przemienić	przeformułować
odmieniać|przedzierzgać|przeobrażać|przekształcać|przemieniać	sparafrazować
odmieniać|przedzierzgać|przeobrażać|przekształcać|przemieniać	parafrazować
filmować|kręcić|nakręcać	dokręcać
filmować|kręcić|nakręcać	dokręcić
obserwować	poobserwować
obserwować	doszukać się|dopatrzyć się|upatrzyć
obserwować	doszukiwać się|dopatrywać się|upatrywać
przepleść	splatać|pleść
opatrywać	leczyć|kurować|uleczać
zaginać	obrębić
zaginać	obrębiać
zastępować|wymieniać|zmieniać|zamieniać	substytuować
zastępować|wymieniać|zmieniać|zamieniać	zapełniać
zastępować|wymieniać|zmieniać|zamieniać	reasekurować się
zastępować|wymieniać|zmieniać|zamieniać	przekładać
zaczarować	odprawić
ogradzać|grodzić|ograniczać	odgradzać
owijać|zawijać|obwijać|spowijać	zawiązywać
owijać|zawijać|obwijać|spowijać	wiązać|związywać|zawiązywać
owinąć|zawinąć|obwinąć|spowić|spowinąć	zawiązać|związać
owinąć|zawinąć|obwinąć|spowić|spowinąć	zawiązać
splatać|pleść	wypleść
splatać|pleść	wyplatać
splatać|pleść	nawiązać
przybijać	rozbijać
przybijać	zabijać
przybić	rozbić
przybić	zabić
zachwycać|urzekać|czarować|olśniewać|fascynować|oczarowywać	błyszczeć
wymienić|zamienić|zastąpić|zmienić	substytuować
wymienić|zamienić|zastąpić|zmienić	zapełnić
wymienić|zamienić|zastąpić|zmienić	przełożyć
wytyczać|tyczyć	prowadzić|przeprowadzać
wytyczyć	poprowadzić|przeprowadzić
być innego zdania	polemizować
przystosować|dostosować	strawestować
przystosować|dostosować	trawestować
tamować	podwiązywać
zatamować	podwiązać
zasadzić|wsunąć|zatknąć	przetkać|przetknąć
chorować|cierpieć|niedomagać|szwankować|szwankować na zdrowiu	pochorować
znaczyć|oznaczać	wyrazić
nakłaniać|skłaniać	zaciągać
nakłaniać|skłaniać	przypominać
nakłaniać|skłaniać	przypomnieć
awansować	promować
wbić|nabić|nadziać	dziobnąć|dzióbnąć
wkładać	fugować|testować
przerzucać	kopać|przekopywać|przekopywać się
przerzucić	przekopać|przekopać się
grzebać|gmerać	kopać|przekopywać|przekopywać się
grzebać|gmerać	pogrzebać|pogmerać
grzebać|gmerać	wygrzebywać
grzebać|gmerać	wygrzebać
wykrywać	wyłuskiwać
zgarniać	zagarniać
zsuwać	staczać
zgarnąć	zagarnąć
rozwijać	doskonalić|ćwiczyć|trenować|udoskonalać|wydoskonalać
rozwijać	opowiadać
rozwinąć	udoskonalić|wydoskonalić|wyćwiczyć|wytrenować
rozwinąć	przedłożyć|wyłożyć|wyłuszczyć
zsunąć	stoczyć
nasycić	zaimpregnować
nawijać|zwijać|zawijać|motać|nakręcać	ukręcić
nawijać|zwijać|zawijać|motać|nakręcać	kręcić
zawijać	podwijać|zawijać
zawinąć	podwinąć|zawinąć
pobłażać	rozpieścić
pobłażać	rozpieszczać
ostudzić|wystudzić	odpuścić|odhartować
smakować	cmoktać|smoktać
pochlebić|schlebić|przypochlebić|przypochlebić się	przypodobać się
metalizować	cynować|bielić|pobielać
metalizować	cynkować
montować	wmontować
montować	wmontowywać
obniżyć się|zniżyć się	zlecieć
zanurzać się	utonąć|zatonąć
zanurzać się	tonąć
zanurzać się	utonąć|utopić się|zatonąć
zanurzać się	tonąć|topić się
opalać się|prażyć się|smażyć się	poopalać się
pogrążać się|zapadać	grzęznąć
pogrążyć się|zapaść	ugrzęznąć
toczyć się|turlać się	przytaczać się|dotaczać się
toczyć się|turlać się	przytoczyć się|przyturlać się
toczyć się|turlać się	wytoczyć się
toczyć się|turlać się	wytaczać się
toczyć się|turlać się	wtoczyć się
toczyć się|turlać się	wtaczać się
toczyć się|turlać się	sturlać się
toczyć się|turlać się	odtoczyć się
toczyć się|turlać się	odtaczać się
jechać	zjeżdżać
jechać	wyciągać
jechać	podskakiwać|skakać
pojechać	wyciągnąć
pływać	popływać
pływać	zagruntować
pływać	gruntować
pływać	płynąć
toczyć się	wytaczać się
toczyć się	wtoczyć się
toczyć się	wtaczać się
pykać	palić|ćmić|kurzyć|kopcić
gęstnieć|gęstnąć	stężeć|ściąć się
wymyślać|złorzeczyć|ubliżać|lżyć	psioczyć
przenosić	przesadzać
kruszyć się|rozkruszać się	odkruszyć się|ukruszyć się
kruszyć się|rozkruszać się	odkruszać się
pyrkotać|pyrkać|perkotać|parkotać|pykać	gotować się
pozostawać|zostawać	zasiedzieć się
pozostać|zostać	zasiedzieć się
plotkować|mówić|gadać	poplotkować
prać	spierać
prać	sprać
prać	spierać
prać	sprać
sypać się|zsypywać się	przesypywać się
sypać się|zsypywać się	przesypać się
sypać się|zsypywać się	przesypywać się
sypać się|zsypywać się	przesypać się
rosnąć|urastać	dorosnąć
rosnąć|urastać	dorastać
rosnąć|urastać	porastać|obrastać|zarastać
odchwaszczać|pleć|opielać|pielić|wypielać	popielić|popleć
wodzić	powodzić
wodzić	odwieść
wodzić	odwodzić
ratować	ewakuować
uratować|wyratować	ewakuować
zalecać się|podrywać|umizgać się|umizgiwać się|uderzać|uderzać w konkury|stroić koperczaki|sadzić koperczaki|puszczać się w koperczaki|uderzać w koperczaki|smalić cholewki	starać się o rękę|ubiegać się o rękę
fermentować	dojrzewać|leżakować
uwodzić|kusić	odbijać
przylgnąć|przywrzeć	przypaść
przyrosnąć|przybyć	napłynąć
odliczać	dyskontować
odliczać	zdyskontować
zapisywać	rozpisywać
zapisać	rozpisać
naliczyć	oprocentować
naliczać	oprocentowywać
odrabiać|odpracowywać|odsługiwać	odreagowywać
odrabiać|odpracowywać|odsługiwać	odreagować
chodzić	dochodzić
trząść się|drżeć|dygotać|drgać|chodzić|wstrząsać się	kołatać się
przepłacać|płacić jak za zboże	frajerować się
przepłacić|zapłacić jak za zboże	sfrajerować się|sfrajerzyć się
negocjować|pertraktować	ponegocjować
negocjować|pertraktować	wynegocjować
uwieść|skusić	odbić
doskonalić|ćwiczyć|trenować|udoskonalać|wydoskonalać	poćwiczyć
pracować nad sobą	wprawiać się
popracować nad sobą	wprawić się
zużywać	wydawać|wykładać
akceptować|zatwierdzać	podpisywać|sygnować|kłaść podpis|składać podpis|opatrywać ... podpisem|podpisywać się
spierać się	pospierać się
zatwierdzić|zaakceptować	podpisać|złożyć podpis|położyć podpis|opatrzyć ... podpisem|podpisać się
pływać	płynąć
pływać	płynąć
pływać	popływać
pływać|dryfować	zadryfować
żeglować	pożeglować
żeglować	pożeglować
interweniować	wkraczać
walczyć|wojować	nawojować się
walczyć|wojować	zwalczyć
orać|zaorywać|zorywać	poorać
orać|zaorywać|zorywać	oborywać
orać|zaorywać|zorywać	oborać
orać|zaorywać|zorywać	rozorać
orać|zaorywać|zorywać	rozorywać
orać|zaorywać|zorywać	uprawiać|kultywować
spulchniać	bronować
przyswajać|opanowywać	wdrażać się
przyswajać|opanowywać	wynosić
głodować|cierpieć głód|przymierać głodem|nie dojadać	nagłodować się
przytulić|przygarnąć	utulić
przytulić|przygarnąć	utulić
przycisnąć	przytulić|przygarnąć
przytulać|tulić|przygarniać	utulać
przytulać|tulić|przygarniać	utulać
przytulać|tulić|przygarniać	przycisnąć
wyrzekać się	oddawać
wyrzec się	oddać
dryfować	zadryfować
trzeć|piłować|rżnąć	przerżnąć
trzeć|piłować|rżnąć	przerzynać
trzeć|piłować|rżnąć	przepiłowywać
trzeć|piłować|rżnąć	przyrzynać
trzeć|piłować|rżnąć	przyrżnąć
przemarznąć|zamarznąć|zmarznąć	wymarznąć
przemarzać|zamarzać|marznąć	wymarzać
zziębnąć|przemarznąć	przeziębić się|zaziębić się|przechłodzić się
ograniczyć	zdyskryminować
wynaradawiać się|wykorzeniać się	zarabizować się
wynaradawiać się|wykorzeniać się	zgermanizować się
wynaradawiać się|wykorzeniać się	zeslawizować się
wynaradawiać się|wykorzeniać się	zlatynizować się
wynaradawiać się|wykorzeniać się	zmadziaryzować się
wynaradawiać się|wykorzeniać się	zjudaizować się
wynaradawiać się|wykorzeniać się	slawizować się
wynaradawiać się|wykorzeniać się	latynizować się
wynaradawiać się|wykorzeniać się	zromanizować się
wynaradawiać się|wykorzeniać się	zukrainizować się
wynaradawiać się|wykorzeniać się	zrusyfikować się
wynaradawiać się|wykorzeniać się	sturczyć się
wynaradawiać się|wykorzeniać się	spolonizować się|spolszczyć się
wynaradawiać się|wykorzeniać się	ukrainizować się
wynaradawiać się|wykorzeniać się	turczyć się
wynaradawiać się|wykorzeniać się	rusyfikować się|ruszczyć się|zruszczać się
wynaradawiać się|wykorzeniać się	romanizować się
wynaradawiać się|wykorzeniać się	polonizować się|polszczyć się|spolszczać się
wynaradawiać się|wykorzeniać się	madziaryzować się
wynaradawiać się|wykorzeniać się	judaizować się
wynaradawiać się|wykorzeniać się	hellenizować się
wynaradawiać się|wykorzeniać się	arabizować się
wynaradawiać się|wykorzeniać się	germanizować się|niemczyć się|niemczeć|zniemczać się
tracić	ucierpieć
tracić	okupywać|przypłacać|opłacać|płacić
tracić	okupić|opłacić|przypłacić|zapłacić
jęczeć|skowyczeć	wyjęczeć
jęczeć|miauczeć	wyjęczeć
wymówić|wyartykułować|wypowiedzieć	ścieśnić|zwęzić
wymówić|wyartykułować|wypowiedzieć	powiedzieć|rzec
unieszkodliwiać	utylizować
płynąć	wypływać
płynąć	wypłynąć
płynąć	przepływać
płynąć	przepłynąć
płynąć	popłynąć
płynąć	podpływać
płynąć	podpłynąć
płynąć	podpływać
płynąć	podpłynąć
płynąć	opływać
płynąć	opłynąć
płynąć	spłynąć
płynąć	spływać
płynąć	nadpłynąć
płynąć	nadpływać
płynąć	odpłynąć|popłynąć
płynąć	przypłynąć
płynąć	odpływać
płynąć	przypływać
płynąć	wpłynąć
płynąć	przypływać|dolatywać
płynąć	przypłynąć|dolecieć
płynąć	przypłynąć
płynąć	popłynąć
płynąć	opłynąć
płynąć	odpłynąć
płynąć	wezbrać|napłynąć
płynąć	wzbierać|napływać
płynąć	przepływać
płynąć	przepłynąć
płynąć	spłynąć
płynąć	spływać
płynąć	napłynąć
płynąć	napływać
cieknąć|ciec|ciurkać	nacieknąć|naciec
cieknąć|ciec|ciurkać	naciekać
cieknąć|ciec|ciurkać	wyciec|wycieknąć
cieknąć|ciec|ciurkać	dociec
cieknąć|ciec|ciurkać	dociekać
sączyć się	wysączyć się
sączyć się	wysączać się
sączyć się	przesączyć się
sączyć się	przesączać się
kpić|naigrywać się|drwić	wykpić|wydrwić
kpić|naigrywać się|drwić	wykpiwać
zaprzeczać|negować|przeczyć	dementować
dzielić|klasyfikować|kategoryzować|kwalifikować|typizować|grupować	zaliczać
zgłaszać	meldować|zameldowywać
zgłosić	zameldować
radlić|redlić|obradlać|obredlać	uprawiać|kultywować
ponieść	zanieść|odnieść
polować	dojść
polować	dochodzić
zwlekać|czekać	odczekiwać
zwlekać|czekać	odczekać
robić	zapędzić się
robić	zapędzać się
robić	porobić
robić	męczyć się|forsować się
przesadzić|przeholować|przekroczyć miarę|przebrać miarę|przekroczyć miarkę|przebrać miarkę|przesolić|przeciągnąć strunę	przecenić
przesadzić|przeholować|przekroczyć miarę|przebrać miarę|przekroczyć miarkę|przebrać miarkę|przesolić|przeciągnąć strunę	przeliczyć się|przerachować się
pospieszyć się|uwinąć się|pośpieszyć się|pośpieszyć|pospieszyć	połknąć|przełknąć|łyknąć|chapnąć|chapsnąć
wyjaśniać się|klarować się	rozpraszać się|rozwiewać się
wyjaśnić się|wyklarować się	rozwiać się
nawarstwiać się|osadzać się	odstać się|ustać się
nawarstwiać się|osadzać się	odstawać się
opierać się|bazować|zasadzać się	powoływać się
deptać	zdeptać
deptać	deptać|zadeptywać
deptać	wydeptać
deptać	wydeptywać
deptać|zadeptywać	rozdeptać
deptać|zadeptywać	rozdeptywać
grać	próbować
grać	ścigać|uganiać się|ganiać|gonić
ścierać	ocierać|obcierać|ścierać
ścierać	wiórkować
zetrzeć	otrzeć|zetrzeć|obetrzeć
wędkować|łowić	połowić
wędkować|łowić	wyłowić
wędkować|łowić	wyławiać
zbić|zabić	grać|grać w karty
zbić|zabić	grać
rozegrać	grać
powitać|przywitać|powitać się|przywitać się	spotkać|napotkać|widzieć
pluć	wypluć|wyplunąć
pluć	wypluwać
pluć	opluwać
plunąć|splunąć	opluć
zabrać|wziąć	znieść
zabrać|wziąć	wywieźć
pchać|popychać	spychać
pchać|popychać	dopchać|dopchnąć
pchać|popychać	dopychać
pchać|popychać	wytoczyć
pchać|popychać	wytaczać
pchać|popychać	rozpychać
pchać|popychać	rozepchać|rozepchnąć
pchać|popychać	zapychać
pchać|popychać	zapchać
pchać|popychać	wyprzeć
pchać|popychać	wypierać
pchać|popychać	przepychać
pchać|popychać	przepychać
pchać|popychać	przepchnąć|przepchać
pchać|popychać	przepchnąć|przepchać
pchać|popychać	wypychać
pchać|popychać	wypchać|wypchnąć
namówić	naciągnąć
kontrasygnować	poświadczać
kontrasygnować	poświadczyć
pieczętować|stemplować|podstemplowywać|przypieczętowywać	parafować
przekładać	ekranizować|filmować|przenosić na ekran
przełożyć	zekranizować|sfilmować|przenieść na ekran
rąbać|zrąbywać	wyrąbać
rąbać|zrąbywać	wyrąbywać
zbliżać się|iść|nadciągać|nadchodzić	dochodzić
podrabiać|fabrykować|fałszować|falsyfikować|preparować	naciągnąć
podrabiać|fabrykować|fałszować|falsyfikować|preparować	naciągać
stać	przestać
łapać|chwytać	nałapać się
tłuc|zarzynać|bić|rżnąć	dorzynać
wypychać	pikować
poruszać się	furknąć
poruszać się	trzepotać|łopotać|furkotać|furczeć
zacinać	powozić|furmanić
zasypywać	zakopywać
usunąć|zlikwidować|wyeliminować|pozbyć się	wyciągnąć
nasączać|sączyć|wsączać	wysączać
nasączać|sączyć|wsączać	wysączyć
