desperacja	desperować
spaczenie	spaczyć
zdeklasowanie	zdeklasować
znieprawienie	znieprawić
rozpicie	rozpić
skorumpowanie	skorumpować
zdegradowanie	zdegradować
zdemoralizowanie	zdemoralizować
zepsucie	zepsuć
zdeprawowanie	zdeprawować
stoczenie	stoczyć
spodlenie	spodlić
podpierdolenie	podpierdolić
podpieprzenie	podpieprzyć
zapieprzenie	zapieprzyć
zapierdolenie	zapierdolić
zajebanie	zajebać
rozszabrowanie	rozszabrować
wyszabrowanie	wyszabrować
ściągnięcie	ściągnąć
rozgrabienie	rozgrabić
rozkradzenie	rozkraść
zgarnięcie	zgarnąć
zwędzenie	zwędzić
podwędzenie	podwędzić
capnięcie	capnąć
podpierdzielenie	podpierdzielić
świśnięcie	świsnąć
zakoszenie	zakosić
buchnięcie	buchnąć
podiwanienie	podiwanić
zasunięcie	zasunąć
chapnięcie	chapnąć
chapsnięcie	chapsnąć
podsunięcie	podsunąć
gwizdnięcie	gwizdnąć
rąbnięcie	rąbnąć
skubnięcie	skubnąć
dmuchnięcie	dmuchnąć
wykradzenie	wykraść
podprowadzenie	podprowadzić
zachachmęcenie	zachachmęcić
rozwleczenie	rozwlec
wyniesienie	wynieść
podebranie	podebrać
podkradzenie	podkraść
zrabowanie	zrabować
złupienie	złupić
ukradzenie	ukraść
skradzenie	skraść
zwinięcie	zwinąć
przywłaszczenie	przywłaszczyć
zagarnięcie	zagarnąć
zawłaszczenie	zawłaszczyć
sięgnięcie po cudze	sięgnąć po cudze
zagrabienie	zagrabić
zeswatanie	zeswatać
zaagitowanie	zaagitować
wyłudzenie	wyłudzić
naciągnięcie	naciągnąć
wycyganienie	wycyganić
wyszachrowanie	wyszachrować
nabranie	nabrać
nabranie się	nabrać się
wyciągnięcie	wyciągnąć
zdobycie podstępem	zdobyć podstępem
namówienie	namówić
zwerbowanie	zwerbować
wyciągnięcie	wyciągnąć
podjudzenie	podjudzić
zdefraudowanie	zdefraudować
sprzeniewierzenie	sprzeniewierzyć
sprzeniewierzenie	sprzeniewierzać
zmalwersowanie	zmalwersować
zdezinformowanie	zdezinformować
nacięcie	naciąć
zamydlenie ... oczu	zamydlić oczy
nabranie	nabrać
oszukanie	oszukać
wyprowadzenie w pole	wyprowadzić w pole
wywiedzenie w pole	wywieść w pole
wystrychnięcie na dudka	wystrychnąć na dudka
wystawienie do wiatru	wystawić do wiatru
nabicie w butelkę	nabić w butelkę
przechytrzenie	przechytrzyć
wkręcenie	wkręcić
zwiedzenie	zwieść
zbałamucenie	zbałamucić
obałamucenie	obałamucić
odrwienie	odrwić
okpienie	okpić
rąbnięcie	rąbnąć
zablefowanie	zablefować
zabluffowanie	zabluffować
zamącenie	zamącić
skołowanie	skołować
wymanewrowanie	wymanewrować
przehandlowanie	przehandlować
sprzedanie	sprzedać
oszwabienie	oszwabić
ocyganienie	ocyganić
omylenie	omylić
zwiedzenie	zwieść
omamienie	omamić
złudzenie	złudzić
zmylenie	zmylić
kiwnięcie	kiwnąć
zdradzenie	zdradzić
wyrolowanie	wyrolować
otumanienie	otumanić
zdezorientowanie	zdezorientować
podejście	podejść
zażycie ... z mańki	zażyć z mańki
zbajtlowanie	zbajtlować
zabajtlowanie	zabajtlować
rozebranie	rozebrać
zdemolowanie	zdemolować
rozpieprzenie	rozpieprzyć
prześwietlenie	prześwietlić
zdegradowanie	zdegradować
zwalenie	zwalić
stratowanie	stratować
pokiereszowanie	pokiereszować
wybicie	wybić
skremowanie	skremować
wyplenienie	wyplenić
zdetonowanie	zdetonować
rozłupanie	rozłupać
rozsadzenie	rozsadzić
rozkwaszenie	rozkwasić
storpedowanie	storpedować
zmaltretowanie	zmaltretować
zniesienie	znieść
stoczenie	stoczyć
rozprucie	rozpruć
skasowanie	skasować
stopienie	stopić
skorodowanie	skorodować
rozbicie	rozbić
roztrzaskanie	roztrzaskać
pogruchotanie	pogruchotać
strzaskanie	strzaskać
potrzaskanie	potrzaskać
zgruchotanie	zgruchotać
wyrąbanie	wyrąbać
podżarcie	podeżreć
rozdeptanie	rozdeptać
popalenie	popalić
sponiewieranie	sponiewierać
zniszczenie	zniszczyć
rozbebeszenie	rozbebeszyć
wybebeszenie	wybebeszyć
przerąbanie	przerąbać
rozniesienie	roznieść
zburzenie	zburzyć
wyburzenie	wyburzyć
rozwalenie	rozwalić
spalenie	spalić
puszczenie z dymem	puścić z dymem
podpalenie	podpalić
spalenie	spalić
zwęglenie	zwęglić
zdruzgotanie	zdruzgotać
nadpalenie	nadpalić
rozkopanie	rozkopać
stłuczenie	stłuc
zbicie	zbić
roztłuczenie	roztłuc
rozbicie	rozbić
ścięcie	ściąć
wysadzenie	wysadzić
staranowanie	staranować
zabicie	zabić
spopielenie	spopielić
przeżarcie	przeżreć
wyżarcie	wyżreć
przegryzienie	przegryźć
zżarcie	zeżreć
przetrawienie	przetrawić
rozsadzenie	rozsadzić
rozjebanie	rozjebać
spenetrowanie	spenetrować
okradzenie	okraść
obrobienie	obrobić
przewertowanie	przewertować
wyczyszczenie	wyczyścić
przekopanie	przekopać
przekopanie się	przekopać się
przejrzenie	przejrzeć
przepatrzenie	przepatrzyć
przeszukanie	przeszukać
obszukanie	obszukać
splądrowanie	splądrować
oskubanie	oskubać
obskubanie	obskubać
rozbicie	rozbić
przeczesanie	przeczesać
ogolenie	ogolić
przerzucenie	przerzucić
odarcie	odrzeć
przetrząśnięcie	przetrząsnąć
przewrócenie	przewrócić
obrabowanie	obrabować
ograbienie	ograbić
obłupienie	obłupić
splądrowanie	splądrować
upewnienie się	upewnić się
oblatanie	oblatać
wypytanie	wypytać
wypytanie się	wypytać się
doświadczenie	doświadczyć
poddanie próbie	poddać próbie
wypróbowanie	wypróbować
spenetrowanie	spenetrować
przesłuchanie	przesłuchać
wyspowiadanie	wyspowiadać
zinfiltrowanie	zinfiltrować
zlustrowanie	zlustrować
zbadanie	zbadać
pokuszenie się	pokusić się
spróbowanie	spróbować
popróbowanie	popróbować
przetestowanie	przetestować
obwąchiwanie	obwąchiwać
utwierdzenie się	utwierdzić się
ostrzelanie	ostrzelać
spróbowanie	spróbować
wypróbowanie	wypróbować
poszukanie	poszukać
przymierzenie	przymierzyć
wywiedzenie	wywieść
docieknięcie	dociec
wywiedzenie się	wywiedzieć się
namierzenie	namierzyć
dojście	dojść
wydedukowanie	wydedukować
podpytanie	podpytać
podpytanie się	podpytać się
wymacanie	wymacać
wywróżenie	wywróżyć
wywnioskowanie	wywnioskować
dojście do wniosku	dojść do wniosku
wyciągnięcie wniosku	wyciągnąć wniosek
wyrozumowanie	wyrozumować
wysnucie wniosku	wysnuć wniosek
zakonkludowanie	zakonkludować
wysondowanie	wysondować
wybadanie	wybadać
dowiedzenie się	dowiedzieć się
zasięgnięcie opinii	zasięgnąć opinii
powiedzenie	powiedzieć
zwrócenie się	zwrócić się
spytanie	spytać
zapytanie	zapytać
zadanie pytania	zadać pytanie
nagabnięcie	nagabnąć
spytanie się	spytać się
zapytanie się	zapytać się
zwrócenie się z pytaniem	zwrócić się z pytaniem
poradzenie się	poradzić się
zasięgnięcie rady	zasięgnąć rady
zagadnięcie	zagadnąć
zagadanie	zagadać
odwołanie się	odwołać się
zasięgnięcie	zasięgnąć
wydanie	wydać
przepicie	przepić
zaczepienie	zaczepić
zahaczenie	zahaczyć
zagajenie	zagaić
skonsultowanie się	skonsultować się
skonsultowanie	skonsultować
pozbieranie myśli	pozbierać myśli
zebranie myśli	zebrać myśli
skupienie myśli	skupić myśli
zadedykowanie	zadedykować
skupienie	skupić
skoncentrowanie	skoncentrować
skupienie się	skupić się
skoncentrowanie się	skoncentrować się
wyasygnowanie	wyasygnować
poświęcenie	poświęcić
wymierzenie	wymierzyć
przeznaczenie	przeznaczyć
powinszowanie	powinszować
pogratulowanie	pogratulować
złożenie gratulacji	złożyć gratulacje
wystosowanie	wystosować
skierowanie	skierować
zaadresowanie	zaadresować
zwrócenie	zwrócić
zarzucenie	zarzucić
zasypanie	zasypać
zawalenie	zawalić
rozpisanie	rozpisać
uwłaszczenie	uwłaszczyć
odnotowanie	odnotować
zaokrętowanie	zaokrętować
zalegitymizowanie	zalegitymizować
zapisanie	zapisać
poświęcenie	poświęcić
wyświęcenie	wyświęcić
zanotowanie	zanotować
przydzielenie	przydzielić
zatwierdzenie	zatwierdzić
uprawomocnienie	uprawomocnić
usankcjonowanie	usankcjonować
zakwaterowanie	zakwaterować
ukoronowanie	ukoronować
zaprotokołowanie	zaprotokołować
zaprotokółowanie	zaprotokółować
nadanie	nadać
zaszyfrowanie	zaszyfrować
uwłaszczenie	uwłaszczyć
wyróżnienie	wyróżnić
podlizanie się	podlizać się
podkadzenie	podkadzić
wychwalenie pod niebiosa	wychwalić pod niebiosa
wyniesienie pod niebiosa	wynieść pod niebiosa
zareklamowanie	zareklamować
rozpłynięcie się	rozpłynąć się
pochlebienie	pochlebić
schlebienie	schlebić
przypochlebienie	przypochlebić
przypochlebienie się	przypochlebić się
uwieńczenie	uwieńczyć
podbicie bębenka	podbić bębenka
odznaczenie	odznaczyć
uhonorowanie	uhonorować
pochwalenie	pochwalić
wzięcie pod włos	wziąć pod włos
nagrodzenie	nagrodzić
danie nagrody	dać nagrodę
wysławienie	wysławić
pobłogosławienie	pobłogosławić
podniesienie	podnieść
wychwalenie	wychwalić
ozłocenie	ozłocić
obsadzenie	obsadzić
powierzenie	powierzyć
zasądzenie	zasądzić
przysądzenie	przysądzić
ocenienie	ocenić
sklasyfikowanie	sklasyfikować
ubezpieczenie	ubezpieczyć
zdanie	zdać
zlecenie	zlecić
zamówienie	zamówić
danie	dać
zaprenumerowanie	zaprenumerować
zakontraktowanie	zakontraktować
obstalowanie	obstalować
udzielenie	udzielić
przyznanie	przyznać
zobowiązanie	zobowiązać
zobligowanie	zobligować
nałożenie obowiązku	nałożyć obowiązek
obarczenie	obarczyć
związanie	związać
uwiązanie	uwiązać
zwalenie	zwalić
zepchnięcie	zepchnąć
zadłużenie	zadłużyć
opodatkowanie	opodatkować
zadanie	zadać
zaordynowanie	zaordynować
obciążenie	obciążyć
polecenie	polecić
obłożenie	obłożyć
spadnięcie	spaść
zaprzysiężenie	zaprzysiąc
zaprzysięgnięcie	zaprzysięgnąć
przywalenie	przywalić
kotłowanie	kotłować
walnięcie	walnąć
przewalenie	przewalić
powalenie	powalić
obalenie	obalić
zabałaganienie	zabałaganić
zagracenie	zagracić
rozciągnięcie	rozciągnąć
rzucenie	rzucić
przewrócenie	przewrócić
wywrócenie	wywrócić
skotłowanie	skotłować
podcięcie	podciąć
położenie	położyć
przespanie	przespać
zatriumfowanie	zatriumfować
zatryumfowanie	zatryumfować
rozprawienie się	rozprawić się
załatwienie z ... rachunków	załatwić rachunki
wyrównanie z ... rachunków	wyrównać rachunki
załatwienie się	załatwić się
pozałatwianie	pozałatwiać
rozgromienie	rozgromić
rozbicie	rozbić
rozmówienie się	rozmówić się
zniesienie	znieść
sforsowanie	sforsować
policzenie się	policzyć się
zwojowanie	zwojować
zwyciężenie	zwyciężyć
zdruzgotanie	zdruzgotać
przeczekanie	przeczekać
przetrzymanie	przetrzymać
przegłosowanie	przegłosować
znokautowanie	znokautować
oparcie się	oprzeć się
obronienie się	obronić się
zwalczenie	zwalczyć
puknięcie	puknąć
zmożenie	zmóc
przemożenie	przemóc
wygranie	wygrać
zwyciężenie	zwyciężyć
pokonanie	pokonać
rozłożenie	rozłożyć
uśmierzenie	uśmierzyć
pobicie	pobić
przewyższenie	przewyższyć
stłumienie	stłumić
zduszenie	zdusić
odegranie się	odegrać się
powetowanie sobie	powetować sobie
wzięcie	wziąć
wypunktowanie	wypunktować
złamanie	złamać
przełamanie	przełamać
ogranie	ograć
zduszenie	zdusić
spacyfikowanie	spacyfikować
opitolenie	opitolić
zdeklasowanie	zdeklasować
sfaulowanie	sfaulować
rozpięcie	rozpiąć
roztopienie	roztopić
stopienie	stopić
nadtopienie	nadtopić
rozsupłanie	rozsupłać
rozprucie	rozpruć
sprucie	spruć
zacytowanie	zacytować
rozprzężenie	rozprząc
rozplecenie	rozpleść
rozformowanie	rozformować
przywołanie	przywołać
przytoczenie	przytoczyć
rozczepienie	rozczepić
rozsunięcie	rozsunąć
rozgrzebanie	rozgrzebać
rozkopanie	rozkopać
rozgarnięcie	rozgarnąć
rozlutowanie	rozlutować
rozklejenie	rozkleić
rozlepienie	rozlepić
ponowienie	ponowić
rozgrabienie	rozgrabić
popalenie	popalić
rozłączenie	rozłączyć
powtórzenie	powtórzyć
rozkraczenie	rozkraczyć
przetopienie	przetopić
zdublowanie	zdublować
urwanie	urwać
oderwanie	oderwać
szarpnięcie	szarpnąć
ukręcenie	ukręcić
oberwanie	oberwać
uszczknięcie	uszczknąć
uskubnięcie	uskubnąć
skubnięcie	skubnąć
oskubanie	oskubać
obskubanie	obskubać
zerwanie	zerwać
przerwanie	przerwać
oddarcie	odedrzeć
odstrzelenie	odstrzelić
skubnięcie	skubnąć
odkucie	odkuć
wypięcie	wypiąć
odpięcie	odpiąć
wyprzęgnięcie	wyprzęgnąć
wyprzężenie	wyprząc
odwiązanie	odwiązać
wyprucie	wypruć
odczepienie	odczepić
odkotwiczenie	odkotwiczyć
odcumowanie	odcumować
odcumowanie się	odcumować się
odklejenie	odkleić
odlepienie	odlepić
odłączenie	odłączyć
odjęcie	odjąć
wyizolowanie	wyizolować
wyjęcie	wyjąć
wytłoczenie	wytłoczyć
wydzielenie	wydzielić
wyodrębnienie	wyodrębnić
wyciśnięcie	wycisnąć
wyżęcie	wyżąć
strącenie	strącić
wykręcenie	wykręcić
wyłączenie	wyłączyć
wytrącenie	wytrącić
wyługowanie	wyługować
odwirowanie	odwirować
oddzielenie	oddzielić
odciśnięcie	odcisnąć
odkrojenie	odkroić
odkrajanie	odkrajać
nadłamanie	nadłamać
odciągnięcie	odciągnąć
skoszenie	skosić
przycięcie	przyciąć
obcięcie	obciąć
podcięcie	podciąć
odcięcie	odciąć
odgryzienie	odgryźć
przedzielenie	przedzielić
odłupanie	odłupać
ugryzienie	ugryźć
podstrzyżenie	podstrzyc
przystrzyżenie	przystrzyc
ukrojenie	ukroić
ukrajanie	ukrajać
ścięcie	ściąć
poderżnięcie	poderżnąć
okorowanie	okorować
odkorowanie	odkorować
odłamanie	odłamać
ułamanie	ułamać
oberżnięcie	oberżnąć
oderżnięcie	oderżnąć
odrąbanie	odrąbać
ucięcie	uciąć
nadgryzienie	nadgryźć
odstrzelenie	odstrzelić
odkrawanie	odkrawać
nadżarcie	nadeżreć
ścięcie	ściąć
obłamanie	obłamać
uszczknięcie	uszczknąć
wyrwanie	wyrwać
wyślizganie	wyślizgać
uwięzienie	uwięzić
zdekompletowanie	zdekompletować
wyciągnięcie ręki	wyciągnąć rękę
wyzucie	wyzuć
ujedzenie	ujeść
odsypanie	odsypać
zajęcie	zająć
zatrzymanie	zatrzymać
zarekwirowanie	zarekwirować
odsłonięcie	odsłonić
odebranie	odebrać
obciągnięcie	obciągnąć
zdetronizowanie	zdetronizować
sprzątnięcie	sprzątnąć
odlanie	odlać
ulanie	ulać
wydziedziczenie	wydziedziczyć
ubezwłasnowolnienie	ubezwłasnowolnić
zepchnięcie	zepchnąć
zdegradowanie	zdegradować
zdezaktywizowanie	zdezaktywizować
nadjedzenie	nadjeść
odebranie	odebrać
odstawienie	odstawić
zbałamucenie	zbałamucić
zasekwestrowanie	zasekwestrować
ujęcie	ująć
odlanie	odlać
ogołocenie	ogołocić
odarcie	odrzeć
odbicie	odbić
wtrącenie	wtrącić
ruszenie	ruszyć
zabranie	zabrać
pozbawienie	pozbawić
odebranie	odebrać
usypanie	usypać
rozbrojenie	rozbroić
wykastrowanie	wykastrować
wywłaszczenie	wywłaszczyć
zlanie	zlać
skonfiskowanie	skonfiskować
odebranie	odebrać
nadebranie	nadebrać
uwiedzenie	uwieść
zawrócenie w głowie	zawrócić w głowie
skuszenie	skusić
zaczęcie	zacząć
napoczęcie	napocząć
naruszenie	naruszyć
odjęcie	odjąć
ujęcie	ująć
skolonizowanie	skolonizować
ujeżdżenie	ujeździć
zajęcie	zająć
owinięcie wokół palca	owinąć wokół palca
okręcenie wokół palca	okręcić wokół palca
dostanie	dostać
omotanie	omotać
opętanie	opętać
zakucie w kajdany	zakuć w kajdany
zakucie w łańcuchy	zakuć w łańcuchy
okiełznanie	okiełznać
okiełzanie	okiełzać
poskromienie	poskromić
zapanowanie	zapanować
zawładnięcie	zawładnąć
opanowanie	opanować
owładnięcie	owładnąć
ujarzmienie	ujarzmić
zahipnotyzowanie	zahipnotyzować
wejście na głowę	wejść na głowę
wlezienie na głowę	wleźć na głowę
wejście na kark	wejść na kark
wlezienie na kark	wleźć na kark
usidlenie	usidlić
wkroczenie	wkroczyć
podporządkowanie	podporządkować
przypisanie	przypisać
wejście na łeb	wejść na łeb
wlezienie na łeb	wleźć na łeb
wzięcie pod pantofel	wziąć pod pantofel
zniewolenie	zniewolić
wdarcie się	wedrzeć się
osiodłanie	osiodłać
podbicie	podbić
zdobycie	zdobyć
ujarzmienie	ujarzmić
zawojowanie	zawojować
zniewolenie	zniewolić
znieczulenie	znieczulić
przytłumienie	przytłumić
zgaszenie	zgasić
zagaszenie	zagasić
stłumienie	stłumić
wyhamowanie	wyhamować
przyciśnięcie	przycisnąć
wyciszenie	wyciszyć
uciszenie	uciszyć
stłamszenie	stłamsić
uspokojenie	uspokoić
ukojenie	ukoić
zapanowanie	zapanować
opanowanie	opanować
przytulenie	przytulić
przygarnięcie	przygarnąć
ukochanie	ukochać
zduszenie	zdusić
zdławienie	zdławić
utulenie	utulić
ostudzenie	ostudzić
nakłonienie	nakłonić
skłonienie	skłonić
naciśnięcie	nacisnąć
poniesienie	ponieść
przyniesienie	przynieść
odciągnięcie	odciągnąć
przekonanie	przekonać
podpuszczenie	podpuścić
wyciągnięcie	wyciągnąć
wywabienie	wywabić
przywiedzenie	przywieść
napędzenie	napędzić
popchnięcie	popchnąć
pchnięcie	pchnąć
zbuntowanie	zbuntować
podburzenie	podburzyć
dopomnienie się	dopomnieć się
wystąpienie	wystąpić
upomnienie się	upomnieć się
wmuszenie	wmusić
zrewoltowanie	zrewoltować
zmiękczenie	zmiękczyć
porwanie	porwać
poniesienie	ponieść
przymówienie się	przymówić się
zażądanie	zażądać
dogrzanie	dogrzać
zagrzanie	zagrzać
zdopingowanie	zdopingować
poproszenie	poprosić
polecenie się	polecić się
rozgrzanie	rozgrzać
uraczenie	uraczyć
oświadczenie się	oświadczyć się
poproszenie o rękę	poprosić o rękę
zaproszenie	zaprosić
zaproszenie	zaprosić
rozśpiewanie	rozśpiewać
zaproponowanie	zaproponować
zaoferowanie	zaoferować
wezwanie	wezwać
zainspirowanie	zainspirować
zmotywowanie	zmotywować
zaofiarowanie	zaofiarować
poczęstowanie	poczęstować
pobudzenie	pobudzić
zachęcenie	zachęcić
wyciągnięcie pomocnej dłoni	wyciągnąć pomocną dłoń
wyciągnięcie ręki	wyciągnąć rękę
wyciągnięcie dłoni	wyciągnąć dłoń
uskrzydlenie	uskrzydlić
zastraszenie	zastraszyć
naćpanie	naćpać
uspokojenie	uspokoić
nastawienie	nastawić
usposobienie	usposobić
wyćwiczenie	wyćwiczyć
wprawienie	wprawić
zaszczepienie	zaszczepić
wszczepienie	wszczepić
rzucenie	rzucić
sterroryzowanie	sterroryzować
wyrobienie	wyrobić
wpojenie	wpoić
wdrożenie	wdrożyć
zdestabilizowanie	zdestabilizować
przyduszenie	przydusić
zdławienie	zdławić
odwiedzenie	odwieść
odciągnięcie	odciągnąć
urządzenie się	urządzić się
zatrzymanie	zatrzymać
pokierowanie	pokierować
przemożenie	przemóc
zdyscyplinowanie	zdyscyplinować
zsubordynowanie	zsubordynować
potrzymanie	potrzymać
przetrzymanie	przetrzymać
rozwinięcie się	rozwinąć się
określenie	określić
zrelatywizowanie	zrelatywizować
ujeżdżenie	ujeździć
ułożenie	ułożyć
przekonanie	przekonać
przemówienie do rozsądku	przemówić do rozsądku
przemówienie do rozumu	przemówić do rozumu
zmobilizowanie	zmobilizować
utrącenie	utrącić
zdecydowanie	zdecydować
rozstrzygnięcie	rozstrzygnąć
zadecydowanie	zadecydować
przesądzenie	przesądzić
oswojenie	oswoić
obłaskawienie	obłaskawić
przyuczenie	przyuczyć
zaciążenie	zaciążyć
stłamszenie	stłamsić
zdezorganizowanie	zdezorganizować
zrobienie wrażenia	zrobić wrażenie
zindoktrynowanie	zindoktrynować
ogłupienie	ogłupić
ułagodzenie	ułagodzić
udobruchanie	udobruchać
ugłaskanie	ugłaskać
zwolnienie	zwolnić
przyhamowanie	przyhamować
spowolnienie	spowolnić
zdemontowanie	zdemontować
zarażenie	zarazić
wsączenie	wsączyć
wmówienie	wmówić
wparcie	weprzeć
uciszenie	uciszyć
uzależnienie	uzależnić
wykształcenie	wykształcić
uformowanie	uformować
wymodelowanie	wymodelować
urobienie	urobić
syknięcie	syknąć
psyknięcie	psyknąć
usadzenie	usadzić
obłaskawienie	obłaskawić
wniknięcie	wniknąć
sfeminizowanie	sfeminizować
zagospodarowanie	zagospodarować
opamiętanie	opamiętać
zmuszenie	zmusić
oduczenie	oduczyć
rozwinięcie	rozwinąć
rzucenie	rzucić
urządzenie	urządzić
upupienie	upupić
zaślepienie	zaślepić
oślepienie	oślepić
wytresowanie	wytresować
wzięcie w cugle	wziąć w cugle
wzięcie w karby	wziąć w karby
wzięcie w ryzy	wziąć w ryzy
rozbicie	rozbić
pohamowanie	pohamować
powściągnięcie	powściągnąć
udomowienie	udomowić
nauczenie	nauczyć
uwarunkowanie	uwarunkować
zdeterminowanie	zdeterminować
rozregulowanie	rozregulować
rozstrojenie	rozstroić
oswojenie	oswoić
ogładzenie	ogładzić
okrzesanie	okrzesać
ociosanie	ociosać
zakorzenienie	zakorzenić
ułożenie	ułożyć
wdrożenie	wdrożyć
przeważenie	przeważyć
wzięcie góry	wziąć górę
zdominowanie	zdominować
odurzenie	odurzyć
oszołomienie	oszołomić
otumanienie	otumanić
ogłuszenie	ogłuszyć
zamroczenie	zamroczyć
odzwyczajenie	odzwyczaić
przyzwyczajenie	przyzwyczaić
umeblowanie się	umeblować się
schłodzenie	schłodzić
ochłodzenie	ochłodzić
ostudzenie	ostudzić
ustawienie się	ustawić się
wyperswadowanie	wyperswadować
zaapelowanie	zaapelować
zreflektowanie	zreflektować
zsubiektywizowanie	zsubiektywizować
powstrzymanie	powstrzymać
oddziałanie	oddziałać
podziałanie	podziałać
wpłynięcie	wpłynąć
umeblowanie	umeblować
zatriumfowanie	zatriumfować
zatryumfowanie	zatryumfować
upojenie	upoić
upojenie	upoić
przemówienie	przemówić
zagranie	zagrać
zdeformowanie	zdeformować
wyhamowanie	wyhamować
uklepanie	uklepać
ubicie	ubić
zbicie	zbić
stłoczenie	stłoczyć
skłębienie	skłębić
nabicie	nabić
roztłuczenie	roztłuc
rozbicie	rozbić
udeptanie	udeptać
skołtunienie	skołtunić
skudłanie	skudłać
skudłacenie	skudłacić
naładowanie	naładować
załadowanie	załadować
ugniecenie	ugnieść
przeładowanie	przeładować
ujeżdżenie	ujeździć
zadrutowanie	zadrutować
zmontowanie	zmontować
przeplecenie	przepleść
związanie	związać
scementowanie	scementować
zlutowanie	zlutować
zmącenie	zmącić
zamącenie	zamącić
nastawienie	nastawić
zestawienie	zestawić
wmieszanie	wmieszać
złączenie	złączyć
scalenie	scalić
spojenie	spoić
połączenie	połączyć
zespolenie	zespolić
przyłączenie	przyłączyć
znitowanie	znitować
podłączenie	podłączyć
spojenie	spoić
zszycie	zszyć
zaszycie	zaszyć
skucie	skuć
przełączenie	przełączyć
zawiązanie	zawiązać
zapętlenie	zapętlić
zaplątanie	zaplątać
splątanie	splątać
poplątanie	poplątać
zawiązanie	zawiązać
związanie	związać
zasupłanie	zasupłać
zawęźlenie	zawęźlić
wzburzenie	wzburzyć
zburzenie	zburzyć
zmontowanie	zmontować
rozpuszczenie	rozpuścić
zbicie	zbić
zmierzwienie	zmierzwić
potarganie	potargać
zwichrzenie	zwichrzyć
rozczochranie	rozczochrać
rozwichrzenie	rozwichrzyć
poczochranie	poczochrać
uplecenie	upleść
zmieszanie	zmieszać
pomieszanie	pomieszać
zamieszanie	zamieszać
dopasowanie	dopasować
spasowanie	spasować
podłączenie się	podłączyć się
podłączenie	podłączyć
zszycie	zszyć
zeszycie	zeszyć
sklepienie	sklepić
zasklepienie	zasklepić
roztrzepanie	roztrzepać
sklejenie	skleić
zlepienie	zlepić
zalepienie	zalepić
zaklejenie	zakleić
przyrżnięcie	przyrżnąć
zespawanie	zespawać
zaplecenie	zapleść
wplątanie	wplątać
zestawienie	zestawić
docięcie	dociąć
przemieszanie	przemieszać
rozwianie	rozwiać
przyłączenie się	przyłączyć się
przemieszanie	przemieszać
ześrubowanie	ześrubować
skręcenie	skręcić
scalenie	scalić
skomasowanie	skomasować
przykrojenie	przykroić
skłócenie	skłócić
złożenie	złożyć
podszycie	podszyć
splecenie	spleść
zasupłanie	zasupłać
zapętlenie	zapętlić
uwicie	uwić
skręcenie	skręcić
spięcie	spiąć
sczepienie	sczepić
stopienie	stopić
poskładanie	poskładać
wytoczenie	wytoczyć
rzucenie	rzucić
rozmoczenie	rozmoczyć
sprężenie	sprężyć
usztywnienie	usztywnić
napuszenie	napuszyć
odpuszczenie	odpuścić
odhartowanie	odhartować
zmiękczenie	zmiękczyć
obtoczenie	obtoczyć
ociosanie	ociosać
obciosanie	obciosać
naciągnięcie	naciągnąć
naprężenie	naprężyć
wyprężenie	wyprężyć
napięcie	napiąć
przełamanie	przełamać
uelastycznienie	uelastycznić
przesycenie	przesycić
najeżenie	najeżyć
zjeżenie	zjeżyć
nastroszenie	nastroszyć
zwęglenie	zwęglić
odparowanie	odparować
wydęcie	wydąć
wzdęcie	wzdąć
zeszklenie	zeszklić
zatemperowanie	zatemperować
podziurkowanie	podziurkować
utlenienie się	utlenić się
roztoczenie	roztoczyć
skoncentrowanie	skoncentrować
skondensowanie	skondensować
zagęszczenie	zagęścić
zgęszczenie	zgęścić
odciągnięcie	odciągnąć
ostruganie	ostrugać
zwężenie	zwęzić
przepuszczenie	przepuścić
pogłębienie	pogłębić
wykąpanie	wykąpać
przytępienie	przytępić
natapirowanie	natapirować
ścieśnienie	ścieśnić
odbarwienie	odbarwić
spieczenie	spiec
nakrochmalenie	nakrochmalić
wykrochmalenie	wykrochmalić
zmienienie właściwości fizykalnych czegoś	zmienić właściwości fizykalne czegoś
spienienie	spienić
zacięcie	zaciąć
skroplenie	skroplić
naostrzenie	naostrzyć
zaostrzenie	zaostrzyć
rozjaśnienie	rozjaśnić
obrobienie	obrobić
rozpłomienienie	rozpłomienić
rozpalenie	rozpalić
rozniecenie	rozniecić
przyświecenie	przyświecić
zapalenie	zapalić
odpalenie	odpalić
sklepanie	sklepać
przypłaszczenie	przypłaszczyć
GERUNDIUM - DZIAŁANIE DK oznaczające spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego	CZASOWNIK - DZIAŁANIE DK oznaczający spowodowanie zjawiska fizycznego lub zmiany stanu fizycznego
podświetlenie	podświetlić
wyluzowanie	wyluzować
wysuszenie	wysuszyć
podsuszenie	podsuszyć
upuszczenie	upuścić
wykrzesanie	wykrzesać
skrzesanie	skrzesać
popuszczenie	popuścić
poświecenie	poświecić
obruszenie	obruszyć
obluzowanie	obluzować
podpalenie	podpalić
osuszenie	osuszyć
przypalenie	przypalić
odwodnienie	odwodnić
zapalenie	zapalić
przetarcie	przetrzeć
wytarcie	wytrzeć
obtarcie	obetrzeć
uronienie	uronić
doświetlenie	doświetlić
spłaszczenie	spłaszczyć
rozpłaszczenie	rozpłaszczyć
wypuszczenie	wypuścić
puszczenie	puścić
otarcie	otrzeć
