administracyjny	administracja
konduktorski	konduktor
kurdwanowski	Kurdwanów
lipkowski	Lipka
lipkowski	Lipków
mannowski	Mann
Mannowski	Mann
miczurinowski	Miczurin
moczarowski	Moczar
olszyński	Olszyna
olszyński	Olszyna
papowski	PAP
PAP-owski	PAP
papowski	Papowo Biskupie
pawłowowski	Pawłow
pepeerowski	PPR
reski	Resko
świętojerski	święty Jerzy
szymanowski	Szymanów
brokerski	broker
presławski	Wielki Presław
presławski	Presław
wareski	wareg
protektorski	protektor
płotkarski	płotkarz
wiński	Wińsko
radymniański	Radymno
zawichojski	Zawichost
regimentarski	regimentarz
zawojski	Zawoja
rotterdamski	Rotterdam
zelowski	Zelów
żyrakowski	Żyraków
różdżkarski	różdżkarz
rutyniarski	rutyniarz
rutyniarski	rutyniarz
sueski	Suez
starozagorski	Stara Zagora
windawski	Windawa
windawski	Windawa
dizajnerski	dizajn
designerski	design
prowokatorski	prowokator
rakuski	Rakuzy
headhunterski	head hunting
sierszański	Siersza
puszkarski	puszkarstwo
puszkarski	puszkarz
skopijski	Skopie
skopijski	Skopje
sprinterski	sprinter
szefowski	szef
urzędowski	Urzędów
szpetalski	Szpetal Górny
tbiliski	Tbilisi
trybunalski	trybunał
trybunalski	trybunał
trynitarski	trynitarz
ultrasowski	ultras
ultrasowski	ultrasi
wandejski	Wandea
wschodniopomorski	Pomorze Wschodnie
erazmiański	Erazm z Rotterdamu
erazmiański	erazmianizm
arubański	Aruba
bakalarski	bakalarstwo
bakalarski	bakałarz
bakalarski	bakałarz
brukarski	brukarz
brukarski	brukarstwo
czartoryski	Czartoryscy
drobiński	Drobin
eoceński	eocen
lachowski	Lach Sądecki
formierski	formierz
formierski	formierstwo
formierski	formierstwo
białołęcki	Białołęka
akuszerski	akuszerstwo
akuszerski	akuszerka
karbonarski	karbonaryzm
kitajski	Kitajec
panislamski	panislamizm
pusztuński	Pusztun
jutrzenny	Jutrzenka
wolontarski	wolontarz
wolentarski	wolentarz
jutrzenny	jutrzenka
zagórzański	Zagórze
zagórzański	Zagórzanin
dungański	Dunganie
parafaszystowski	parafaszysta
dolnojurajski	jura dolna
wczesnojurajski	jura wczesna
środkowojurajski	jura środkowa
letejski	Lete
margrabiowski	margrabia
margrabiowski	margrabia
margrabiowski	margrabia
mozambijski	Mozambik
ochroniarski	ochroniarz
ochroniarski	ochrona
palmirski	Palmiry
Picassowski	Picasso
popartowski	popart
parnasistowski	parnasizm
parnasistowski	parnasista
prawnoautorski	prawo autorskie
hispanoamerykański	Hispanoameryka
jegierski	jegier
kapelmistrzowski	kapelmistrz
teatyński	teatyn
bursztyniarski	bursztyniarstwo
hafciarski	hafciarstwo
hafciarski	haft
antykwarski	antykwariat
antykwarski	antykwariat
czarnowski	Czarnów
parobczański	parobek
terminatorski	terminator
iluminatorski	iluminator
gałgański	gałgan
modelarski	modelarstwo
modelarski	modelarz
alabamski	Alabama
alabamski	Alabama
aralski	Aralsk
aralski	Jezioro Aralskie
azowski	Morze Azowskie
azowski	Azow
azowski	Azowo
biesiekierski	Biesiekierz
czernichowski	Czernihów
czernichowski	Czernichów
gryfowski	Gryfów Śląski
horacjański	Horacy
jaćwieski	Jaćwież
jugurtowski	Jugurta
kikolski	Kikół
klimontowski	Klimontów
lipowski	Lipowa
łapanowski	Łapanów
fakirski	fakir
fakirski	fakir
firlejowski	Firlej
Firlejowski	Firlejowie
firlejowski	Firlejów
Ibsenowski	Ibsen
ibsenowski	Ibsen
ibsenowski	Ibsen
jukagirski	Jukagir
przyczółkowy	przyczółek
przyczółkowy	przyczółek
przyczółkowy	przyczółek
jukatański	Jukatan
jukatański	Jukatan
junnański	Junnan
katański	Katania
Kretschmerowski	Kretschmer
krościeński	Krościenko nad Dunajcem
krościeński	Krościenko Wyżne
laudański	Lauda
laudański	Lauda
mariupolski	Mariupol
tyfoidalny	tyfus
ostrogocki	Ostrogot
manhattański	Manhattan
miastkowski	Miastków Kościelny
mozański	Moza
mozański	Moza
nowomeksykański	Nowy Meksyk
olszewski	Olszewo
włókniarski	włókniarz
dzieciński	dziecko
guślarski	guślarstwo
guślarski	guślarz
jeneralski	jenerał
jeneralski	jenerał
kapralski	kapral
kapralski	kapral
lokarneński	Locarno
lokareński	Locarno
karciarski	karta
lubuski	Lubsko
metyski	Metys
modeński	Modena
nawarski	Nawarra
niemczański	Niemcza
nowobrzeski	Nowe Brzesko
oldenburski	Oldenburg in Holstein
pheniański	Phenian
północnoindyjski	Indie
płatnerski	płatnerstwo
rewalski	Rewal
szubiński	Szubin
ustroński	Ustroń
zabrski	Zabrze
Bachtinowski	Bachtin
bachtinowski	Bachtin
balijski	Bali
burzeniński	Burzenin
cegłowski	Cegłów
chorzelski	Chorzele
czyżewski	Czyże
dnieprodzierżyński	Dnieprodzierżyńsk
Herbertowski	Herbert
herbertowski	Herbert
kandaharski	Kandahar
kcyński	Kcynia
kęsowski	Kęsowo
krasnowolski	Krasnowola
licyjski	Licja
lubieszewski	Lubieszewo
luzytański	Luzytania
magadański	Magadan
mauryjski	Maur
mstowski	Mstów
paleoceński	paleocen
paszowski	pasza
baszowski	basza
peczorski	Peczora
peczorski	Peczora
pieński	Pieńsk
pionkowski	Pionki
skansenowski	skansen
suchumski	Suchumi
supraski	Supraśl
supraski	Supraśl
tongański	Tonga
wojcieszowski	Wojcieszów
zachodnioaustralijski	Australia
węglarski	węglarz
węglarski	węglarstwo
aktualistyczny	aktualizm
aktualistyczny	aktualizm
podporucznikowski	podporucznik
aktualistyczny	aktualizm
podporucznikowski	podporucznik
arkadkowy	arkadka
instalatorski	instalatorstwo
inicjatorski	inicjator
frankofilski	frankofil
cyzelatorski	cyzelator
austrofilski	austrofil
wetarański	weteran
taksówkarski	taksówkarz
szulerski	szulerstwo
plebejuszowski	plebejusz
plebejuszowski	plebejusz
organistowski	organista
ottawski	Ottawa
paryjski	Paros
pcimski	Pcim
polański	Polanin
polański	Polanin
polański	Polanka Wielka
seszelski	Seszele
sulikowski	Sulików
swarzewski	Swarzewo
szantuński	Szantung
szantuński	Szantung
szydłowski	Szydłów
tyryjski	Tyr
wschodniomałopolski	Małopolska Wschodnia
wojciechowski	Wojciechów
wojciechowski	Wojciechów
berberski	Berber
ciechociński	Ciechocinek
czeboksarski	Czeboksary
dodoński	Dodona
admiralski	admirał
admiralski	admirał
atamański	ataman
będkowski	Będków
bikiniarski	bikiniarz
daszkowy	daszek
chocianowski	Chocianów
darłowski	Darłowo
dębniański	Dębno
debreczyński	Debreczyn
estremadurski	Estremadura
galwanizerski	galwanizerstwo
diastoliczny	diastole
gnaszyński	Gnaszyn-Kawodrza
krętkowy	krętek
goszczyński	Goszczyn
głuski	Głusk
kaszgarski	Kaszgar
kondotierski	kondotier
kondotierski	kondotier
lelowski	Lelów
lioński	Lyon
luneburski	Lüneburg
lutowiski	Lutowiska
mantuański	Mantua
niemirowski	Niemirów
ochmatowski	Ochmatów
pamirski	Pamir
pittsburski	Pittsburgh
pohitlerowski	hitleryzm
saletyński	saletyni
slawoński	Slawonia
sławiański	Sławiańsk nad Kubaniem
miczurinowski	miczurinizm
wiśniowski	Wiśniów
wołczyński	Wołczyn
ugryjski	Ugrowie
władykaukaski	Władykaukaz
angolański	Angolczyk
angolański	Angola
nowowiejski	Nowa Wieś Lęborska
nowowiejski	Nowa Wieś
banderowski	banderowiec
bemowski	Bemowo
bodzechowski	Bodzechów
chartumski	Chartum
drzycimski	Drzycim
dzierzgowski	Dzierzgowo
bakiński	Baku
banglijski	Bangladesz
eserowski	eserowiec
goleszowski	Goleszów
bogumiński	Bogumin
falsetowy	falset
gorseciarski	gorseciarstwo
falsetowy	falset
harbiński	Harbin
bonoński	Bolonia
edeński	Eden
eupatoryjski	Eupatoria
głoskowski	Głosków
zupny	zupa
keralski	Kerala
krzyżanowski	Krzyżanów
falsetowy	falset
mariborski	Maribor
martynikański	Martynika
festonowy	feston
festonowy	feston
festonowy	feston
preegzystencjalny	preegzystencja
almanachowy	almanach
wyzwolicielski	wyzwolenie
zetempowski	ZMP
ZMP-owski	ZMP
paradyjski	Paradyż
krówski	krowa
kłajski	Kłaj
keynesistowski	Keynes
keynesowski	Keynes
komorski	Komory
pułkownikowski	pułkownik
pułkownikowski	pułkownik
antwerpski	Antwerpia
asuański	Asuan
batumski	Batumi
chakaski	Chakasowie
peperowski	PPR
piławski	Piława Górna
istebniański	Istebna
iwiński	Iwiny
kapelański	kapelan
północnoosetyjski	Osetia Północna
komarowski	Komarów
puszczykowski	Puszczykowo
konwisarski	konwisarz
radomyski	Radomyśl nad Sanem
lędziński	Lędziny
radomyski	Radomyśl Wielki
rumski	Rumia
michowski	Michów
Monteskiuszowski	Monteskiusz
monteskiuszowski	Monteskiusz
secemiński	Secemin
mozelski	Mozela
narwiański	Narew
oborski	Obory
ostaszkowski	Ostaszków
crossowy	cross
krosowy	kros
strykowski	Strykowo
pęcherski	Pęchery
suczawski	Suczawa
telawiwski	Tel Awiw-Jafa
termopilski	Termopile
sienkiewiczowski	Sienkiewicz
tytański	Tytan
snycerski	snycerstwo
watowski	WAT
watowski	VAT
suchedniowski	Suchedniów
vatowski	VAT
VAT-owski	VAT
WAT-owski	WAT
tobagijski	Tobago
uznamski	Uznam
winchesterski	Winchester
werterowski	Werter
woźnieński	woźny
windsorski	Windsor
windsorski	Windsor
żorski	Żory
zanzibarski	Zanzibar
żegiestowski	Żegiestów-Zdrój
żegiestowski	Żegiestów
ardeński	Ardeny
arizoński	Arizona
awuesowski	AWS
birżański	Birże
widiowy	widia
wiedzowy	wiedza
budański	Buda
bysławski	Bysław
cecorski	Cecora
domaniowski	Domaniów
fromborski	Frombork
granadyjski	Granada
jaraczewski	Jaraczewo
jeleśniański	Jeleśnia
kanterberyjski	Canterbury
koniakowski	Koniaków
mannheimski	Mannheim
mieroszowski	Mieroszów
podkowiański	Podkowa Leśna
rembertowski	Rembertów
rembertowski	Rembertów
społemowski	Społem
stuartowski	Stuartowie
tarragoński	Tarragona
tonkiński	Tonkin
wielkoruski	Wielkorusin
małoruski	Małorusin
wuhański	Wuhan
morfonologiczny	morfonologia
terenowy	teren
muskowitowy	muskowit
narzędnikowy	narzędnik
medalierski	medalierstwo
paraolimpijski	paraolimpiada
terenowy	teren
mścicielski	mściciel
raperski	raper
zaratustriański	zaratustrianizm
ciesielski	ciesielstwo
apoliński	Apollo
astański	Astana
aszelski	Saint-Acheul
borzęciński	Borzęcin
ewenkijski	Ewenk
gąbiński	Gąbin
gurkhijski	Gurkha
irakijski	Irak
kabulski	Kabul
kodrębski	Kodrąb
liverpoolski	Liverpool
lubichowski	Lubichowo
mesyński	Mesyna
messyński	Mesyna
mohikański	Mohikanin
sieprawski	Siepraw
spychowski	Spychowo
tuluski	Tuluza
magistralny	wielki mistrz
zachodniochrześcijański	chrześcijaństwo zachodnie
magistralny	magistrala
zakroczymski	Zakroczym
łabiszyński	Łabiszyn
adygejski	Adygejczyk
adygejski	Adygeja
antiochijski	Antiochia
araukański	Araukanin
bądkowski	Bądkowo
białomorski	Morze Białe
drawieński	Drawno
druzyjski	druzowie
harnasiowy	harnaś
intruzyjny	intruzja
traperski	traperstwo
turski	Tursk
turlejski	Turlej
turkowski	Turków
vukowarski	Vukowar
turczyński	Turczyn
cieszanowski	Cieszanów
tuczapski	Tuczapy
trzciński	Trzcińsko-Zdrój
trydencki	Trydent
trydencki	Trydent
czarnociński	Czarnocin
czarnociński	Czarnocin
czarnociński	Czarnocin
daszyński	Daszyna
trojański	Trojan
grypserski	grypsera
grypserski	grypsera
harceński	Harc
turzański	Turza
bierutowski	Bierut
twarowski	Twary
kaperski	kaper
kosynierski	kosynier
kreatorski	kreator
kremoński	Cremona
hamletowski	hamletyzm
kwestarski	kwestarz
lewinowski	Lewinów
lotowski	Polskie Linie Lotnicze LOT
uchański	Uchanie
majdankowski	Majdanek
maszewski	Maszewo
spławny	spław
zapałowski	Zapałów
zapędowski	Zapędowo
ekstruzyjny	ekstruzja
zaporski	Zapora
intruzyjny	intruzja
monterski	monter
zarębski	Zaręba
Mrożkowski	Mrożek
mrożkowski	Mrożek
zasławski	Zasław
mydlarski	mydlarz
zawadowski	Zawadów
stęszewski	Stęszew
zawistowski	Zawistowszczyzna
zbieracki	zbieractwo
zbyszewski	Zbyszewo
zdanowski	Zdanów
staroluterański	staroluteranizm
karabinkowy	karabinek
karabinkowy	karabinek
kosodrzewinowy	kosodrzewina
kosodrzewinowy	kosodrzewina
nankiński	Nankin
retuszerski	retuszer
retuszerski	retusz
obrzański	Obra
obski	Ob
oruński	Orunia
żebracki	żebrak
żebrowski	Żebrowo
pawłowski	Pawłowo
stylizatorski	stylizator
uszewski	Uszew
afrochrześcijański	afrochrześcijaństwo
wachowski	Wachów
ONR-owski	ONR
oenerowski	ONR
szczuczyński	Szczuczyn
sekwański	Sekwana
prorektorski	prorektor
azjański	azjanizm
ptolemeuszowski	Ptolemeusz
Ptolemeuszowski	Ptolemeusz
eksploratorski	eksploracja
transwalski	Transwal
puszczański	puszcza
waligórski	Waligóra
Różewiczowski	Różewicz
waliszewski	Waliszewo
skoczowski	Skoczów
walkowski	Walków
socyniański	socynianin
warszycki	Warszyce
sokolski	Sokoły
spedytorski	spedytor
stawiszyński	Stawiszyn
sypniewski	Sypniewo
szachrajski	szachraj
wismarski	Wismar
würzburski	Würzburg
łasiński	Łasin
wiązowski	Wiązów
wiecki	Wieck
karabinierski	karabinier
wiślicki	Wiślica
lalkarski	lalkarstwo
dyslokacyjny	dyslokacja
wigowski	Wigowie
dyslokacyjny	dyslokacja
erupcyjny	erupcja
szermierski	szermierka
szermierski	szermierka
goprowski	GOPR
grębałowski	Grębałów
wolnoamerykański	wolnoamerykanka
gwadelupski	Gwadelupa
wolnoamerykański	wolnoamerykanka
glinokrzemianowy	glinokrzemian
Zbawicielski	Zbawiciel
jekaterynburski	Jekaterynburg
zbawicielski	zbawiciel
kansaski	Kansas
karczewski	Karczew
żernicki	Żernica
żernicki	Żerniki
żernicki	Żerniki
kortowski	Kortowo
mazowszański	Mazowsze
mazowszański	Mazowszanin
mazowszański	Mazowsze
nogajski	Nogajowie
sianowski	Sianów
ślesiński	Ślesin
śniadowski	Śniadowo
srebrnogórski	Srebrna Góra
srebrnogórski	Srebrna Góra
tangerski	Tanger
tarchomiński	Tarchomin
uppsalski	Uppsala
zabajkalski	Zabajkale
zbierski	Zbiersk
żelichowski	Żelichów
staroźrebski	Staroźreby
turański	Turanowie
zgorzelski	Zgorzel
zgłobicki	Zgłobice
ziębiński	Ziębina
zieleniewski	Zieleniewo
zieliński	Zielińsk
ziembiński	Ziembin
ziemiński	Ziemin
Ziobrowski	Ziobro
ziółkowski	Ziółkowo
ziółkowski	Ziółkowo
zliński	Kraj zliński
żmijewski	Żmijewo Kościelne
gościeradowski	Gościeradów Ukazowy
hebroński	Hebron
lewaluaski	Levallois-Perret
lubomierski	Lubomierz
merkuriański	Merkury
okcytański	Oksytania
orzyski	Orzysz
prandociński	Prandocin
pyzdrski	Pyzdry
radziechowski	Radziechów
radziechowski	Radziechowy
rytelski	Rytel
skępski	Skępsk
arsenowy	arsen
benzylowy	benzyl
glukozowy	glukoza
karbolowy	karbol
żurawski	Żuraw
żurawski	Żuraw
ZUS-owski	ZUS
hydrotermalny	terma
kimberlitowy	kimberlit
magmatyczny	magma
metamorficzny	metamorfizm
metasomatyczny	metasomatoza
nitryfikacyjny	nitryfikacja
szczudlarski	szczudlarz
pegmatytowy	pegmatyt
supremacyjny	supremacja
pneumatolityczny	pneumatoliza
sitkowy	sitko
eworsyjny	eworsja
wróżbiarski	wróżbiarstwo
wróżbiarski	wróżbiarz
żyłowy	żyła
żyłowy	żyła
żyłowy	żyła
antyoksydacyjny	antyoksydant
bioklimatyczny	bioklimat
biskupiński	Biskupin
biskupiński	Biskupin
bodeński	Boden
czekistowski	czeka
czekistowski	czekista
diżoński	Dijon
dołgański	Dołganie
fałkowski	Fałków
gidelski	Gidle
karabachski	Karabach
kaźmierski	Kaźmierz
kiszyniowski	Kiszyniów
madraski	Madras
maghrebski	Maghreb
majsurski	Majsur
miłosławski	Miłosław
mozarabski	mozarab
nanniński	Nanning
neogaullistowski	neogaullizm
orzeski	Orzesze
owocarski	owocarstwo
owocarski	owocarstwo
biały	biały
Breżniewowski	Breżniew
demiurgiczny	demiurg
demiurgiczny	demiurg
etiologiczny	etiologia
etiologiczny	etiologia
etiologiczny	etiologia
farmakodynamiczy	farmakodynamika
Herkulesowy	Herkules
Herkuliczny	Herkules
nieprzestrzenny	przestrzeń
bibliotekoznawczy	bibliotekoznawca
cytogenetyczny	cytogenetyka
czasopiśmienniczy	czasopiśmiennictwo
doksograficzny	doksografia
encefalograficzny	encefalografia
fonoskopijny	fonoskopia
kohortowy	kohorta
kohortowy	kohorta
kohortowy	kohorta
kohortowy	kohorta
osteologiczny	osteologia
otolaryngologiczny	otolaryngologia
paleobotaniczny	paleobotanika
palinologiczny	palinologia
papirologiczny	papirologia
paragonowy	paragon
psychohistoryczny	psychohistoria
psycholingwistyczny	psycholingwistyka
radiograficzny	radiografia
rentgenograficzny	rentgenografia
rentgenologiczny	rentgenologia
sfragistyczny	sfragistyka
spektrofotometryczny	spektrofotometria
spektrograficzny	spektrografia
spirometryczny	spirometria
zawodoznawczy	zawodoznawstwo
hospitalizacyjny	hospitalizacja
bioaktywny	bioaktywność
chemioterapeutyczny	chemioterapia
chemioterapeutyczny	chemioterapeutyk
chemotaktyczny	chemotaksja
krysznaicki	krysznaizm
klasterowy	klaster
klasterowy	klaster
klasterowy	klaster
fitotoksyczny	fitotoksyczność
impregnacyjny	impregnacja
szalbierski	szalbierstwo
szalbierski	szalbierz
stróżowski	stróż
retencyjny	retencja
akrobacyjny	akrobacja
paczkowski	Paczków
peszteński	Peszt
stwórczy	stwórca
moderacyjny	moderacja
mundurkowy	mundurek
przeciszowski	Przeciszów
szterlingowy	szterling
szterlingowy	szterling izraelski
imigrancki	imigrant
anankastyczny	anankazm
kompulsyjny	kompulsja
rodopski	Rodopy
skierbieszowski	Skierbieszów
sycowski	Syców
sławiański	Sławianin
teresiński	Teresin
tuareski	Tuareg
tychowski	Tychowo
unitariański	unitarianizm
unitariański	unitarianin
ustaszowski	ustasz
ustaszowski	Ustasze
wazowski	Wazowie
wegański	weganin
wegański	weganizm
wenedyjski	Wened
wogulski	Woguł
mansyjski	Mans
zwierzyniecki	zwierzyniec
zwierzyniecki	Zwierzyniec
zwierzyniecki	Zwierzyniec
niewodowy	niewód
bisiorowy	bisior
bisiorowy	bisior
bisiorowy	bisior
nirwaniczny	nirwana
mahlerowski	Mahler
Mahlerowski	Mahler
rabelaisowski	Rabelais
umbralny	Umbra
Stańczykowski	Stańczyk
rekonesansowy	rekonesans
rekonesansowy	rekonesans
nansenowski	Nansen
rekonesansowy	rekonesans
korfantowski	Korfantów
tołstojowski	Tołstoj
Tołstojowski	Tołstoj
ponaddźwiękowy	ponaddźwiękowiec
hiperdźwiękowy	hiperdźwięk
rusałczany	rusałka
substancjonalny	substancjalność
autoagresyjny	autoagresja
bagnetowy	bagnet
bagnetowy	bagnet F
źrenicowy	źrenica
Edypowy	Edyp
edypowy	kompleks Edypa
schopenhauerowski	Schopenhauer
Schopenhauerowski	Schopenhauer
fleksograficzny	fleksografia
hematytowy	hematyt
stendhalowski	Stendhal
krzyżakowy	krzyżak
krzyżakowy	krzyżak
krzyżakowy	krzyżak
kubłowy	kubeł
kubłowy	kubeł
Stendhalowski	Stendhal
brahmsowski	Brahms
Brahmsowski	Brahms
germanofilski	germanofil
międzygórski	międzygórze
chłopomański	chłopomania
arsenalski	Arsenal
cholewkarski	cholewkarstwo
libertariański	libertarianizm
latopisarski	latopisarstwo
premierowski	premier
społeczeński	społeczeństwo
konferansjerski	konferansjer
kontradmiralski	kontradmirał
kontradmiralski	kontradmirał
Corazziański	Corazzi
kurierski	kurier
kurierski	kurier
kurierski	kurier
odporowy	odpór
hawiarski	hawiarz
majsterski	majster
pamiątkarski	pamiątkarstwo
rostralny	rostra
szmalkaldzki	Schmalkalden
ciastowy	ciasto
ciastowy	ciasto
dunajecki	Dunajec
kolonialistyczny	kolonializm
narodnicki	narodnictwo
cholesterolowy	cholesterol
pimentowy	drzewo pimentowe
zbrojarski	zbrojarz
betoniarski	betoniarz
bieliźniarski	bieliźniarstwo
bieliźniarski	bieliźniarstwo
czartowski	czart
konowalski	konował
lamajski	lama
tokowy	toki
modniarski	modniarstwo
organicznikowski	organicznik
tokowy	tok
polonizatorski	polonizator
polonizatorski	polonizator
starościński	starosta
starościński	starosta
szamański	szamanizm
dobrodziejski	dobrodziej
menelski	menelka
menelski	menel
oratorski	orator
paziowski	paź
rocznikarski	rocznikarstwo
rojalistowski	rojalizm
smarkaczowski	smarkacz
tropicielski	tropiciel
ziomkowski	ziomek
przestojowy	przestój
renklodowy	renkloda
saturacyjny	saturacja
saturacyjny	saturacja
saturacyjny	saturacja
saturacyjny	saturacja
wkładkowy	wkładka
chodziarski	chodziarstwo
hackerski	hacker
skinowski	skin
dieslowy	diesel
fuzyjny	fuzja
fuzyjny	fuzja
hydrazynowy	hydrazyna
juwenaliowy	juwenalia
karburatorowy	karburator
komutacyjny	komutacja
magnetohydrodynamiczny	magnetohydrodynamika
magnetooptyczny	magnetooptyka
magnetosferyczny	magnetosfera
majówkowy	majówka
mionowy	mion
nadprzestrzenny	nadprzestrzeń
nadprzewodnikowy	nadprzewodnik
smerfny	smerf
strugowy	strug
strugowy	struga
darmsztadzki	Darmstadt
grądowy	grąd
kalkucki	Kalkuta
kosmetologiczny	kosmetologia
kosmetologiczny	kosmetolog
kserofityczny	kserofit
prokreatywny	prokreacja
psychohigieniczny	psychohigiena
redystrybucyjny	redystrybucja
retardacyjny	retardacja
skrzypowy	skrzyp
anarchokomunistyczny	anarchokomunizm
wolanowski	Wolanów
warciański	Warta
warciański	Warta
warciański	Warta Bolesławiecka
tuwiński	Tuwa
bombardierski	bombardier
imitatorski	imitator
imitatorski	imitatorstwo
interpretatorski	interpretacja
interpretatorski	interpretacja
kominiarski	kominiarstwo
myślicielski	myślicielstwo
orzechowski	Orzechowo
pieśniarski	pieśniarstwo
pieśniarski	pieśniarstwo
selekcjonerski	selekcjoner
selekcjonerski	selekcjoner
seniorski	senior
seniorski	senior
bukmacherski	bukmacherstwo
domatorski	domator
doręczycielski	doręczyciel
bałwochwalski	bałwochwalstwo
bałwochwalski	bałwochwalca
andersowski	Anders
przedświtowy	przedświt
przedświtowy	przedświt
szpulowy	szpula
Pascalowski	Pascal
agrolotniczy	agrolotnictwo
białoskórniczy	białoskórnik
bimbrowniczy	bimbrownictwo
brązowniczy	brązownik
czapniczy	czapnik
dymieniczny	dymienica
dziczy	dzik
elektrociepłowniczy	elektrociepłownia
krasnowodzki	Krasnowodzk
galerniczy	galera
harcowniczy	harce
harpunniczy	harpunnik
harpunniczy	harpun
kanoniczy	kanonik
kopijniczy	kopijnik
krążowniczy	krążownik
lenniczy	lennictwo
lutniczy	lutnictwo
menniczy	mennica
miedniczy	miednica
miedziorytniczy	miedziorytnictwo
mytniczy	myto
najezdniczy	najeźdźca
posłanniczy	posłannictwo
przechowalniczy	przechowalnictwo
przemytniczy	przemytnictwo
pszczelniczy	pszczelnictwo
płócienniczy	płóciennictwo
rokowniczy	rokowanie
roszarniczy	roszarnictwo
rozdawniczy	rozdawnictwo
rytowniczy	rytownictwo
centurialny	centuria
centurialny	centuria
molucki	Moluki
syndykalny	syndykat
syndykalny	syndykat
suazyjski	Suazi
suchodolski	Suchodół
suchodolski	Suchodół Szlachecki
starobielski	Starobielsk
starobielski	Stare Bielsko
strużański	Struga
skępski	Skępe
triesteński	Triest
przewodniczy	przewodnik
stratyfikacyjny	stratyfikacja
skórniczy	skórnictwo
smarowniczy	smar
smarowniczy	smarownik
sokolniczy	sokolnictwo
sokolniczy	sokolnictwo
sortowniczy	sortowanie
spowiedniczy	spowiedź
stalorytniczy	stalorytnictwo
szkodniczy	szkodnik
szybowniczy	szybownictwo
słodowniczy	słodownictwo
wartowniczy	warta
wartowniczy	wartownik
warzelniczy	warzelnictwo
werbowniczy	werbownictwo
kubkowy	kubek
zwierzchniczy	zwierzchnictwo
zwierzchniczy	zwierzchnictwo
łapowniczy	łapownictwo
zmiennocieplny	zmiennocieplność
dialektologiczny	dialektologia
dziedzinowy	dziedzina
gabarytowy	gabaryt
masorecki	masoreta
prędkościowy	prędkość
przednioazjatycki	Azja Przednia
przemiałowy	przemiał
uniksowy	Unix
bobrownicki	Bobrowniki
borowikowy	borowik
kapitanowy	kapitan
kapitanowy	kapitan
konopnicki	Konopnica
królikowy	królik
królikowy	królik
makuchowy	makuch
mazurowy	mazur
pobrzeżny	pobrzeże
podhorecki	Podhorce
porowy	por
pylny	pył
runicki	runy
sołtysowy	sołtys
talarowy	talar
jedwabny	jedwab
bożniczy	bożnica
drożyźniany	drożyzna
fajczarski	fajka
fanowski	fan
lumpowski	lump
lumpowski	lump
milionerski	milioner
murarski	murarstwo
pszczelniczy	pszczelarstwo
windowsowy	Windows
sztygarski	sztygar
wichrzycielski	wichrzyciel
farmazoński	farmazon
farmazoński	farmazon
przechowalniczy	przechowalnictwo
wydolnościowy	wydolność
wydolnościowy	wydolność
przechowalniczy	przechowalnictwo
farmazoński	farmazon
fundatorski	fundator
fundatorski	fundator
hormonowy	hormon
koligacyjny	koligacje
wędrowniczy	wędrownik
wędrowniczy	wędrownik
koligacyjny	koligacja
modalny	modus
nuworyszowski	nuworysz
pielgrzymski	pielgrzym
prestidigitatorski	prestidigitator
straganiarski	straganiarz
biesowski	bies
cinkciarski	cinkciarz
conradowski	Conrad
Conradowski	Conrad
flibustierski	flibustier
flisacki	flisak
flisowski	flis
fryszerski	fryszerka
fryszerski	fryszerka
komediopisarski	komediopisarstwo
kołodziejski	kołodziejstwo
krzywoprzysięski	krzywoprzysięstwo
sukcesorski	sukcesor
sukcesorski	sukcesor
abstynencki	abstynent
badmintonowy	badminton
bridżowy	bridż
cyklotronowy	cyklotron
aerobowy	aerob
futsalowy	futsal
gokartowy	gokart
ruralistyczny	ruralistyka
ruralistyczny	ruralistyka
paintballowy	paintball
petycyjny	petycja
softballowy	softball
aprecjacyjny	aprecjacja
degradacyjny	degradacja
degradacyjny	degradacja
degradacyjny	degradacja
degradacyjny	degradacja
dekolonizacyjny	dekolonizacja
depozycyjny	depozycja
westalski	westalka
depozycyjny	depozycja
depozycyjny	depozycja
deprecjacyjny	deprecjacja
deprecjacyjny	deprecjacja
dezinflacyjny	dezinflacja
łąkarski	łąkarstwo
automatowy	automat
demokratyzacyjny	demokratyzacja
globalizacyjny	globalizacja
dezintegracyjny	dezintegracja
irenistyczny	irenizm
diagenetyczny	diageneza
elektrodowy	elektroda
embriogenetyczny	embriogeneza
laicyzacyjny	laicyzacja
empirejski	empireum
empirejski	empireum
fałszerski	fałszerstwo
kanibalski	kanibal
kasjerski	kasjer
perseweracyjny	perseweracja
kuchmistrzowski	kuchmistrz
kuzynowski	kuzyn
perseweracyjny	perseweracja
prezesowski	prezes
suflerski	sufler
łgarski	łgarstwo
agitatorski	agitator
agitacyjny	agitacja
bębniarski	bębniarz
charakteryzatorski	charakteryzator
harfiarski	harfiarz
królewiczowski	królewicz
ludwisarski	ludwisarz
ranczerski	ranczer
bentoniczny	bentos
deltowy	delta
deltowy	delta
fluwioglacjalny	fluwioglacjał
konwergencyjny	konwergencja
korytowy	koryto
korytowy	koryto
lagunowy	laguna
litoralny	litoral
peryglacjalny	peryglacjał
przezwiskowy	przezwisko
serycytowy	serycyt
skaleniowy	skaleń
jednooczny	oko
półzawodowy	półzawodowiec
przypływowy	przypływ
synchrotronowy	synchrotron
taszkiencki	Taszkient
