akademik	dom akademicki
dobycie	dobywanie
uprzytomnienie	uprzytamnianie
uzmysłowienie	uzmysławianie
pozłocenie	pozłacanie
pozłocenie	złocenie
wyzłocenie	wyzłacanie
ozłocenie	ozłacanie
zaróżowienie	różowienie
zaczernienie	zaczernianie
zabarwienie	zabarwianie
zabarwienie	barwienie
zabielenie	zabielanie
przyciemnienie	przyciemnianie
okraszenie	okraszanie
zaczerwienienie	zaczerwienianie
zaczerwienienie	czerwienienie
posrebrzenie	posrebrzanie
osrebrzenie	osrebrzanie
wysrebrzenie	wysrebrzanie
zażółcenie	zażółcanie
zażółcenie	żółcenie
spieczenie	spiekanie
zazielenienie	zazielenianie
namagnesowanie	namagnesowywanie
namagnesowanie	magnesowanie
wybicie	wybijanie
nabłyszczenie	nabłyszczanie
przeplecenie	przeplatanie
uświęcenie	uświęcanie
zaanimowanie	animowanie
sformalizowanie	formalizowanie
sfeminizowanie	feminizowanie
wypolerowanie	polerowanie
wyglancowanie	glancowanie
wyglansowanie	glansowanie
wyświecenie	wyświecanie
przyobleczenie	przyoblekanie
urozmaicenie	urozmaicanie
przepojenie	przepajanie
przesycenie	przesycanie
wybębnienie	wybębnianie
wyfroterowanie	froterowanie
wystukanie	wystukiwanie
udziwnienie	udziwnianie
wyprofilowanie	profilowanie
sprofilowanie	profilowanie
ożywienie	ożywianie
nadanie	nadawanie
postarzenie	postarzanie
rozstrojenie się	rozstrajanie się
odurzenie się	odurzanie się
ugięcie się	uginanie się
nasiąknięcie	nasiąkanie
przesiąknięcie	przesiąkanie
wpadnięcie	wpadanie
odbicie	odbijanie
ulegnięcie	uleganie
połakomienie się	łakomienie się
upojenie się	upajanie się
zapomnienie się	zapominanie się
zwariowanie	wariowanie
wpuszczenie	wpuszczanie
przepuszczenie	przepuszczanie
ulegnięcie	uleganie
zniesienie	znoszenie
ścierpienie	cierpienie
przepuszczenie	przepuszczanie
pozwolenie	pozwalanie
zezwolenie	zezwalanie
zgodzenie się	godzenie się
zgodzenie się	zgadzanie się
przystanie	przystawanie
przyzwolenie	przyzwalanie
zaakceptowanie	akceptowanie
odprawienie się	odprawianie się
dozwolenie	dozwalanie
zameldowanie	zameldowanie się
zameldowanie	meldowanie
zaanonsowanie	anonsowanie
ustąpienie	ustępowanie
ochrzczenie się	chrzczenie się
zbadanie się	badanie się
poddanie się	poddawanie się
puszczenie	puszczanie
pofolgowanie	folgowanie
sfolgowanie	folgowanie
wysadzenie	wysadzanie
przyjęcie	przyjmowanie
ulegnięcie	uleganie
popuszczenie pasa	popuszczanie pasa
zameldowanie się	meldowanie się
zameldowanie się	zameldowanie
popuszczenie	popuszczanie
podpasienie	podpadanie
zniesienie	znoszenie
wypuszczenie	wypuszczanie
puszczenie	puszczanie
odbudowanie	odbudowywanie
odczarowanie	odczarowywanie
odżegnanie	odżegnywanie
zażegnanie	zażegnywanie
otrzeźwienie	otrzeźwianie
otrzeźwienie	trzeźwienie
ocucenie	ocucanie
ocucenie	cucenie
oprzytomnienie	oprzytomnianie
zrekonstruowanie	rekonstruowanie
zreanimowanie	reanimowanie
załatanie	łatanie
zrewaloryzowanie	rewaloryzowanie
zrekultywowanie	rekultywowanie
zacerowanie	cerowanie
zszycie	zszywanie
zeszycie	zeszywanie
odnowienie	odnawianie
odświeżenie	odświeżanie
rozpakowanie	rozpakowywanie
odkręcenie	odkręcanie
przywrócenie	przywracanie
rewaloryzowanie	zrewaloryzowanie
wskrzeszenie	wskrzeszanie
naprawienie	naprawianie
opatrzenie	opatrywanie
opatrzenie	opatrywanie
zreperowanie	reperowanie
nareperowanie	reperowanie
odpowietrzenie	odpowietrzanie
odczynienie	odczynianie
odremontowanie	odremontowywanie
zaszycie	zaszywanie
odwieszenie	odwieszanie
odrestaurowanie	restaurowanie
odbudowanie	odbudowywanie
odpasienie	odpasanie
wznowienie	wznawianie
przywrócenie do życia	przywracanie do życia
odwieszenie	odwieszanie
przywrócenie	przywracanie
przeszycie	przeszywanie
przeszycie	szycie
dźwignięcie	dźwiganie
dźwignięcie	dźwiganie
podniesienie	podnoszenie
zafrykanizowanie	afrykanizowanie
odtworzenie	odtwarzanie
odgruzowanie	odgruzowywanie
przeczyszczenie	przeczyszczanie
wywabienie	wywabianie
odrdzewienie	odrdzewianie
wygotowanie	wygotowywanie
wyiskanie	iskanie
odkażenie	odkażanie
zdezynfekowanie	dezynfekowanie
wysterylizowanie	sterylizowanie
odsiarczenie	odsiarczanie
odkaszlnięcie	odkaszliwanie
przemycie	przemywanie
przepłukanie	przepłukiwanie
obmycie	obmywanie
omycie	omywanie
wylizanie	wylizywanie
wymycie	wymywanie
podmycie	podmywanie
odpluskwienie	odpluskwianie
spranie	spieranie
zdezynsekowanie	dezynsekowanie
przeciągnięcie	przeciąganie
przemycie	przemywanie
opłukanie	opłukiwanie
opłukanie	płukanie
wypłukanie	wypłukiwanie
przetkanie	przetykanie
wypucowanie	pucowanie
wywietrzenie	wietrzenie
przewietrzenie	przewietrzanie
przewietrzenie	wietrzenie
przetkanie	przetykanie
przepchnięcie	przepychanie
przepchanie	przepychanie
umycie	mycie
zasłanie	słanie
zaścielenie	zaścielanie
pościelenie	ścielenie
posłanie	słanie
udrożnienie	udrożnianie
sklarowanie	klarowanie
wyklarowanie	klarowanie
odrobaczenie	odrobaczanie
oczyszczenie	oczyszczanie
oczyszczenie	czyszczenie
wyczyszczenie	wyczyszczanie
wyczyszczenie	czyszczenie
wyszorowanie	szorowanie
przetarcie	przecieranie
wytarcie	wycieranie
wytarcie	tarcie
owianie	owiewanie
odmulenie	odmulanie
przepranie	przepieranie
wydestylowanie	destylowanie
wykąpanie	kąpanie
posprzątanie	sprzątanie
odgrzybienie	odgrzybianie
przefiltrowanie	przefiltrowywanie
przefiltrowanie	filtrowanie
odkurzenie	odkurzanie
wyługowanie	wyługowywanie
wyługowanie	ługowanie
wypranie	pranie
zapranie	zapieranie
przewleczenie	przewlekanie
wyprażenie	wyprażanie
wyszczotkowanie	szczotkowanie
wysprzątanie	sprzątanie
sprzątnięcie	sprzątanie
uprzątnięcie	uprzątanie
zamiecenie	zamiatanie
omiecenie	omiatanie
obmiecenie	obmiatanie
domycie	domywanie
wytrzepanie	wytrzepywanie
wytrzepanie	trzepanie
rozmycie	rozmywanie
rozmazanie	rozmazywanie
usunięcie	usuwanie
wyeliminowanie	eliminowanie
obrzezanie	obrzezywanie
wydrążenie	drążenie
starcie	ścieranie
przetrzebienie	przetrzebianie
przetrzebienie	trzebienie
wyłuszczenie	wyłuszczanie
wyłuszczenie	łuszczenie
wyłuskanie	wyłuskiwanie
podkopanie	podkopywanie
wyluzowanie	luzowanie
wylogowanie się	wylogowywanie się
odciągnięcie	odciąganie
wyparcie	wypieranie
wygolenie	wygolenie się
wygolenie	wygalanie
skasowanie	kasowanie
odtrucie	odtruwanie
ogolenie się	golenie się
ogolenie się	ogolenie
obłupanie	obłupywanie
obłupienie	obłupianie
wymrożenie	wymrażanie
zdemonopolizowanie	demonopolizowanie
przeczyszczenie	przeczyszczanie
odpędzenie	odpędzanie
odgonienie	odganianie
skucie	skuwanie
obrzezanie	obrzezywanie
wymazanie	wymazywanie
zmazanie	zmazywanie
wypompowanie	wypompowywanie
wykorzenienie	wykorzenianie
zwinięcie	zwijanie
złuszczenie	złuszczanie
złuszczenie	łuszczenie
obłuskanie	obłuskiwanie
wygolenie się	wygalanie się
wygolenie się	wygolenie
rozwianie	rozwiewanie
rozproszenie	rozpraszanie
rozwianie	rozwiewanie
otrzepanie	otrzepywanie
otarcie	ocieranie
skreślenie	skreślanie
wykreślenie	wykreślanie
zapełnienie	zapełnianie
opędzenie się	opędzanie się
ostruganie	struganie
wydrapanie	wydrapywanie
wyplucie	wypluwanie
wyplunięcie	wypluwanie
wyrugowanie	rugowanie
przepompowanie	przepompowywanie
przepompowanie	pompowanie
zmazanie	zmazywanie
wymazanie	wymazywanie
starcie	ścieranie
obranie	obieranie
zdematerializowanie	dematerializowanie
skrojenie	skrawanie
skrojenie	skrajanie
usunięcie	usuwanie
rozwiązanie	rozwiązywanie
rozsupłanie	rozsupływanie
rozwikłanie	rozwikływanie
odrzucenie	odrzucanie
zniwelowanie	niwelowanie
przetrzebienie	trzebienie
przetrzebienie	przetrzebianie
wytępienie	tępienie
wytrzebienie	trzebienie
rozminowanie	rozminowywanie
zgonienie	zganianie
zegnanie	zganianie
przepędzenie	przepędzanie
przegonienie	przeganianie
odchwaszczenie	odchwaszczanie
opielenie	opielanie
opielenie	pielenie
wypielenie	wypielanie
wypielenie	pielenie
sprucie	prucie
złuszczenie	łuszczenie
złuszczenie	złuszczanie
zduszenie	duszenie
zgaszenie	gaszenie
ugaszenie	gaszenie
wygaszenie	wygaszanie
wygaszenie	gaszenie
zagaszenie	zagaszanie
zagaszenie	gaszenie
rozplątanie	rozplątywanie
wyłyżeczkowanie	łyżeczkowanie
zabicie	zabijanie
zlizanie	zlizywanie
ogolenie	ogolenie się
ogolenie	golenie
zgolenie	golenie
rozpędzenie	rozpędzanie
wykastrowanie	kastrowanie
rozsznurowanie	rozsznurowywanie
okrojenie	okrajanie
okrojenie	okrawanie
oberżnięcie	obrzynanie
wykarczowanie	karczowanie
wytrzebienie	trzebienie
wyplewienie	wyplewianie
wyplewienie	plewienie
okrojenie	okrawanie
napasienie się	pasienie się
obgryzienie	obgryzanie
ogryzienie	ogryzanie
najedzenie się	najadanie się
napchanie się	napychanie się
napakowanie się	napakowywanie się
zapchanie się	zapychanie się
zżarcie	zżeranie
zżarcie	żarcie
wyżarcie	wyżeranie
nadżarcie	nadżeranie
nażarcie się	nażeranie się
obżarcie się	obżeranie się
napchanie w siebie	pchanie w siebie
objedzenie	objadanie
skubnięcie	skubanie
smyknięcie	smykanie
szczypnięcie	szczypanie
wyskubanie	wyskubywanie
wyskubnięcie	wyskubywanie
poczęstowanie się	częstowanie się
wydziobanie	wydziobywanie
wydzióbanie	wydzióbywanie
wygryzienie	wygryzanie
podjedzenie	podjadanie
podżarcie	podżeranie
wcięcie	wcinanie
pochłonięcie	pochłanianie
podjedzenie	podjadanie
podżarcie	podżeranie
dojedzenie	dojadanie
dojedzenie	jedzenie
wsunięcie	wsuwanie
utuczenie się	tuczenie się
zapasienie się	zapasanie się
wygryzienie	wygryzanie
połknięcie	połykanie
przełknięcie	przełykanie
łyknięcie	łykanie
chapnięcie	chapanie
przegryzienie	przegryzanie
zagryzienie	zagryzanie
streszczenie się	streszczanie się
dożywienie się	żywienie się
dożywienie się	dożywianie się
podskubanie	podskubywanie
wylizanie	wylizywanie
zżarcie	zżeranie
zżarcie	żarcie
przegryzienie	przegryzanie
przekąszenie	przekąszanie
objedzenie się	objadanie się
opchanie się	opychanie się
upasienie się	pasienie się
pospieszenie się	spieszenie się
uwinięcie się	uwijanie się
pośpieszenie się	śpieszenie się
pośpieszenie	pośpieszanie
pospieszenie	pospieszanie
naładowanie się	naładowywanie się
wrąbanie	wrąbywanie
zjedzenie	jedzenie
spożycie	spożywanie
skonsumowanie	konsumowanie
pożywienie się	żywienie się
pożywienie się	pożywianie się
wyjedzenie	wyjadanie
spróbowanie	próbowanie
skosztowanie	kosztowanie
zdegustowanie	degustowanie
posmakowanie	smakowanie
zakosztowanie	kosztowanie
popróbowanie	próbowanie
odjedzenie się	odjadanie się
obżarcie	obżeranie
uwieszenie się	uwieszanie się
uwieszenie się	wieszanie się
chapnięcie	chapanie
chłapnięcie	chłapanie
dziobnięcie	dziobanie
dzióbnięcie	dzióbanie
skubnięcie	skubanie
podniesienie	podnoszenie
porwanie	porywanie
chwycenie się	chwytanie się
złapanie się	łapanie się
czepienie się	czepianie się
uchwycenie się	chwytanie się
załapanie	załapywanie
chwycenie	chwytanie
ujęcie	ujmowanie
złapanie	łapanie
uchwycenie	chwytanie
odebranie	odbieranie
przyczepienie się	przyczepianie się
powieszenie się	wieszanie się
zaopatrzenie się	zaopatrywanie się
rozliczenie się	rozliczanie się
obstawienie się	obstawianie się
zebranie	zbieranie
ograbienie	ograbianie
zarchiwizowanie	archiwizowanie
pobranie	branie
pobranie	branie
wzięcie	branie
utłuczenie	tłuczenie
skolekcjonowanie	kolekcjonowanie
dobranie	dobieranie
zmagazynowanie	magazynowanie
zerwanie	rwanie
zerwanie	zrywanie
urwanie	rwanie
zbicie	zbijanie
zwalenie	zwalanie
zebranie	zbieranie
zakumulowanie	akumulowanie
skumulowanie	kumulowanie
zmagazynowanie	magazynowanie
wzięcie	branie
uskładanie	składanie
zgarnięcie	zgarnianie
oszczędzenie	oszczędzanie
zaoszczędzenie	zaoszczędzanie
odłożenie	odkładanie
zniesienie	znoszenie
zniesienie	niesienie
zniesienie	niesienie
złożenie	składanie
podsumowanie	podsumowywanie
napędzenie	napędzanie
nagonienie	naganianie
nagnanie	naganianie
zagrabienie	grabienie
zgrabienie	grabienie
zsypanie	zsypywanie
pozbieranie	zbieranie
nabranie	nabieranie
zaczerpnięcie	czerpanie
otoczenie się	otaczanie się
nagromadzenie	nagromadzanie
pobranie	branie
pobranie	pobieranie
zezłomowanie	złomowanie
odłożenie	odkładanie
zebranie	zbieranie
uciułanie	ciułanie
uzbrojenie się	uzbrajanie się
ściągnięcie	ściąganie
podjechanie	podjeżdżanie
eksportowanie	wyeksportowanie
podrzucenie	podrzucanie
podwiezienie	podwożenie
zwodowanie	wodowanie
uratowanie	ratowanie
wyratowanie	ratowanie
uniesienie	unoszenie
wytoczenie	wytaczanie
wyprowadzenie	wyprowadzanie
wywiedzenie	wywodzenie
zreanimowanie	reanimowanie
ożywienie	ożywianie
przywrócenie ... do życia	przywracanie ... do życia
wymanewrowanie	wymanewrowywanie
odratowanie	odratowywanie
zabranie	zabieranie
wzięcie	branie
zaciągnięcie	zaciąganie
wyciągnięcie	wyciąganie
wyciągnięcie	ciągnięcie
zesłanie	zsyłanie
zaciągnięcie się	zaciąganie się
pobranie	branie
pobranie	pobieranie
wzięcie	branie
przyswojenie	przyswajanie
zasymilowanie	asymilowanie
wyssanie	wysysanie
wchłonięcie	chłonięcie
wchłonięcie	wchłanianie
zaabsorbowanie	absorbowanie
pochłonięcie	pochłanianie
przyjęcie	przyjmowanie
zresorbowanie	resorbowanie
wciągnięcie	wciąganie
wyciągnięcie	wyciąganie
wyciągnięcie	ciągnięcie
pochłonięcie	pochłanianie
wchłonięcie	wchłanianie
siąknięcie	siąkanie
siorbnięcie	siorbanie
pociągnięcie	pociąganie
wessanie	wsysanie
zassanie	zasysanie
podciągnięcie	podciąganie
nastroszenie się	stroszenie się
najeżenie się	najeżanie się
najeżenie się	jeżenie się
napuszenie się	puszenie się
napuszenie się	napuszanie się
zjeżenie się	zjeżanie się
zjeżenie się	jeżenie się
wywindowanie	windowanie
podwiązanie	podwiązywanie
wzniesienie	wznoszenie
wzniesienie	niesienie
wyrwanie	wyrywanie
podniesienie	podnoszenie
podniesienie	niesienie
uniesienie	unoszenie
uniesienie	niesienie
podjęcie	podejmowanie
podważenie	podważanie
dźwignięcie	dźwiganie
poderwanie	podrywanie
obniżenie	obniżanie
zniżenie	zniżanie
podwinięcie	podwijanie
podkurczenie	podkurczanie
podkulenie	podkulanie
zwieszenie	zwieszanie
odchylenie	odchylanie
pochylenie	skłanianie
pochylenie	chylenie
pochylenie	pochylanie
nachylenie	chylenie
nachylenie	nachylanie
przychylenie	przychylanie
przychylenie	chylenie
schylenie	schylanie
schylenie	chylenie
skłonienie	skłanianie
przykurczenie	przykurczanie
skulenie	skulanie
skulenie	kulenie
zapuszczenie	zapuszczanie
zgięcie	zginanie
przygięcie	przyginanie
nagięcie	naginanie
ugięcie	uginanie
opuszczenie	opuszczanie
spuszczenie	spuszczanie
zgarbienie	garbienie
przegięcie	przeginanie
wygięcie	wyginanie
odrzucenie	odrzucanie
podniesienie	podnoszenie
wsianie	wsiewanie
obsypanie	obsypywanie
posianie	sianie
zasianie	zasiewanie
zasianie	sianie
rzucenie	rzucanie
ciśnięcie	ciskanie
postawienie	stawianie
przewrócenie	przewrócenie się
przewrócenie	przewracanie
przesypanie	przesypywanie
wychylenie	wychylanie
wychylenie	chylenie
wyłamanie	wyłamywanie
położenie	położenie się
położenie	kładzenie
grzmotnięcie	grzmocenie
majdnięcie	majdanie
majtnięcie	majtanie
praśnięcie	praskanie
walnięcie	walenie
kropnięcie	kropienie
smyrgnięcie	smyrganie
trzepnięcie	trzepanie
obrzucenie	obrzucanie
przekrzywienie	przekrzywianie
podrzucenie	podrzucanie
sypnięcie	sypanie
wywrócenie	wywracanie
obredlenie	obredlanie
obredlenie	redlenie
obradlenie	obradlanie
obradlenie	radlenie
odwrócenie	odwracanie
urobienie	urabianie
wyciśnięcie	wyciskanie
wyduszenie	wyduszanie
wygrzebanie	wygrzebywanie
wykłucie	wykłuwanie
wydostanie	wydostawanie
wydobycie	wydobywanie
wyplątanie	wyplątanie się
wyplątanie	wyplątywanie
wyłupanie	wyłupywanie
wyplecenie	wyplatanie
wytoczenie	wytaczanie
wypłukanie	wypłukiwanie
wymycie	wymywanie
wysupłanie	wysupływanie
wyszarpanie	wyszarpywanie
wyszarpnięcie	wyszarpywanie
wyłupienie	wyłupianie
wykruszenie	wykruszanie
wydłubanie	dłubanie
wydłubanie	wydłubywanie
wydziobanie	wydziobywanie
wydzióbanie	wydzióbywanie
wyłowienie	wyławianie
wyrąbanie	wyrąbywanie
wydobycie	wydobywanie
wydojenie	dojenie
odgrzebanie	odgrzebywanie
wyciśnięcie	wyciskanie
odkopanie	odkopywanie
zlanie się	zlewanie się
rozlanie	lanie
rozlanie	rozlewanie
rozpryskanie	rozpryskiwanie
rozpryśnięcie	rozpryskiwanie
rozbryzganie	rozbryzgiwanie
rozbryzgnięcie	rozbryzgiwanie
rozchlapanie	rozchlapywanie
kapnięcie	kapanie
chlapnięcie	chlapanie
chlupnięcie	chlupanie
bluzgnięcie	bluzganie
bryzgnięcie	bryzganie
bluźnięcie	bluzganie
wylanie	lanie
wylanie	wylewanie
nalanie	lanie
wyjęcie	wyjmowanie
wyciągnięcie	ciągnięcie
wyciągnięcie	wyciąganie
rozładowanie	rozładowywanie
wyładowanie	wyładowywanie
rozkręcanie	rozkręcenie
rozpakowanie	rozpakowywanie
odpakowanie	odpakowywanie
rozpakowanie	rozpakowywanie
wypakowanie	wypakowywanie
opróżnienie	opróżnianie
wypróżnienie	wypróżnianie
wysypanie	wysypywanie
wymontowanie	wymontowywanie
wypatroszenie	wypatroszanie
wypatroszenie	patroszenie
wystawienie	wystawianie
wypięcie	wypinanie
wybranie	wybieranie
wyłowienie	wyławianie
dobycie	dobywanie
wytrząśnięcie	wytrząsanie
wytrzęsienie	wytrząsanie
rozwinięcie	rozwinięcie się
rozwinięcie	rozwijanie
odwinięcie	odwijanie
rozbrajanie	rozbrojenie
wysnucie	wysnuwanie
rozpakowanie się	rozpakowywanie się
wybebeszenie	wybebeszanie
wybebeszenie	bebeszenie
demontowanie	zdemontowanie
rozmontowywanie	rozmontowanie
rozbieranie	rozebranie
wyczerpanie	wyczerpywanie
wykręcenie	wykręcanie
wybranie	wybieranie
wyściubienie	wyściubianie
wytknięcie	wytykanie
wysadzenie	wysadzanie
wyścibienie	wyścibianie
wysunięcie	wysuwanie
dociągnięcie	dociąganie
przymierzenie	przymierzanie
przytknięcie	przytykanie
przyciągnięcie	przyciąganie
podstawienie	podstawianie
przyłożenie	przykładanie
złożenie	składanie
przyholowanie	holowanie
przysunięcie	przysuwanie
przywleczenie	przywlekanie
zagarnięcie	zagarnianie
zbliżenie	zbliżanie
przyssanie	przysysanie
otarcie	ocieranie
wylecenie	wylatywanie
naderżnięcie	nadrzynanie
nacięcie	cięcie
nacięcie	nacinanie
nadcięcie	nadcinanie
nadcięcie	cięcie
ucięcie	ucinanie
ucięcie	cięcie
oślepienie	oślepianie
użądlenie	żądlenie
przeniesienie	przenoszenie
przeniesienie	niesienie
strzelenie	strzelanie
kropnięcie	kropienie
łupnięcie	łupanie
przygrzanie	grzanie
przygrzanie	przygrzewanie
rąbnięcie	rąbanie
puknięcie	pukanie
walnięcie	walenie
wygarnięcie	wygarnianie
dogrzanie	grzanie
dogrzanie	dogrzewanie
urażenie	urażenie się
urażenie	urażanie
wstrzelenie	wstrzeliwanie
wstrzelanie	wstrzeliwanie
rozwalenie	rozwalanie
rozprucie	rozpruwanie
okaleczenie	okaleczanie
zacięcie	zacinanie
zacięcie	cięcie
plunięcie	plucie
przecięcie	przecinanie
przecięcie	cięcie
rozcięcie	rozcięcie się
rozcięcie	rozcinanie
rozszarpanie	rozszarpywanie
zdarcie	zdzieranie
obicie	obijanie
zranienie	zranienie się
skaleczenie	skaleczenie się
skaleczenie	kaleczenie
zacięcie	zacięcie się
zacięcie	cięcie
zacięcie	zacinanie
ugryzienie	gryzienie
strzyknięcie	strzykanie
haratnięcie	haratanie
odpalenie	palenie
odpalenie	odpalanie
zaprawienie	zaprawianie
chluśnięcie	chlustanie
kropnięcie	kropienie
machnięcie	machanie
strzelenie	strzelanie
dopieprzenie	dopieprzanie
dopierdolenie	dopierdalanie
zapierdolenie	zapierdalanie
smagnięcie	smaganie
przypierniczenie	przypierniczanie
przypieprzenie	przypieprzanie
przypierdolenie	przypierdalanie
trzaśnięcie	trzaskanie
walnięcie	walnięcie się
walnięcie	walenie
huknięcie	hukanie
grzmotnięcie	grzmocenie
rąbnięcie	rąbanie
rąbnięcie	rąbanie
znokautowanie	nokautowanie
dowalenie	dowalanie
dowalenie	walenie
dosunięcie	dosuwanie
przyłożenie	przykładanie
przysolenie	przysalanie
przysunięcie	przysuwanie
zasunięcie	zasuwanie
trzaśnięcie	trzaskanie
chłośnięcie	chłostanie
przykrochmalenie	przykrochmalanie
przyfasolenie	przyfasalanie
zamalowanie	zamalowywanie
przyfastrygowanie	przyfastrygowywanie
chlaśnięcie	chlastanie
przywalenie	walenie
przywalenie	przywalanie
przydzwonienie	przydzwanianie
przygrzanie	grzanie
przygrzanie	przygrzewanie
łupnięcie	łupanie
rypnięcie	rypanie
dogrzanie	grzanie
dogrzanie	dogrzewanie
uderzenie	uderzanie
zadanie ciosu	zadawanie ciosu
zadanie razu	zadawanie raza
danie	dawanie
wymierzenie	wymierzanie
kuksnięcie	kuksanie
spoliczkowanie	policzkowanie
uderzenie	uderzanie
puknięcie	pukanie
stuknięcie	stukanie
wierzgnięcie	wierzganie
szturchnięcie	szturchanie
klaśnięcie	klaskanie
trącenie	trącanie
trącenie	utrącenie
potrącenie	potrącanie
plaśnięcie	plaskanie
poklepanie	poklepywanie
ogłuszenie	ogłuszanie
ogłuszenie	głuszenie
wykopanie	wykopywanie
chlaśnięcie	chlastanie
popchnięcie	popychanie
podcięcie	podcinanie
trącenie się	trącanie się
przytupnięcie	przytupywanie
kopnięcie	kopanie
tupnięcie	tupanie
odciągnięcie	odciąganie
oderwanie	odrywanie
odwiedzenie	odwodzenie
odholowanie	odholowywanie
odholowanie	holowanie
oddalenie	oddalanie
odsunięcie	odsunięcie się
odsunięcie	odsuwanie się
odsunięcie	odsuwanie
zgarnięcie	zgarnianie
odepchnięcie	odpychanie
odtrącenie	odtrącanie
odwleczenie	odwlekanie
odtoczenie	odtaczanie
odstawienie	odstawianie
odjęcie	odejmowanie
odwiedzenie	odwodzenie
odwiedzenie	odwodzenie
rozepchanie	rozpychanie
rozepchanie	pchanie
rozepchnięcie	rozpychanie
rozepchnięcie	pchanie
roztrącenie	roztrącanie
odrzucenie	odrzucanie
odbicie	odbijanie
przeprawienie	przeprawianie
zrzucenie	zrzucanie
wytrząśnięcie	wytrząsanie
wytrzęsienie	wytrząsanie
przerzucenie	przerzucanie
stoczenie	stoczenie się
stoczenie	staczanie
cofnięcie	cofanie
pryśnięcie	pryskanie
wypiąstkowanie	piąstkowanie
przepakowanie	przepakowywanie
zepchnięcie	spychanie
rzucenie	rzucanie
ścięcie	ścinanie
przelobowanie	lobowanie
podkręcenie	podkręcanie
nadmuchanie	dmuchanie
nadmuchanie	nadmuchiwanie
nawianie	nawiewanie
odprowadzenie	odprowadzanie
przewiezienie	przewożenie
strącenie	strącanie
siknięcie	sikanie
przewieszenie	przewieszanie
zwalenie	zwalanie
tryśnięcie	tryskanie
wytryśnięcie	wytryskiwanie
wytryśnięcie	wytryskanie
skopanie	skopywanie
skopanie	kopanie
wyrzucenie	wyrzucanie
przeprowadzenie	przeprowadzanie
bluzgnięcie	bluzganie
bluźnięcie	bluzganie
przemycenie	przemycanie
przeładowanie	przeładowywanie
zbicie	zbijanie
wytoczenie	wytaczanie
wytoczenie	toczenie
posunięcie	posuwanie
przełożenie	przekładanie
zestrzelenie	zestrzeliwanie
strącenie	strącanie
upuszczenie	upuszczanie
spławienie	spławianie
przerzucenie	przerzucanie
przemieszczenie	przemieszczanie
otrząśnięcie	otrząsanie
otrzęsienie	otrząsanie
obtrząśnięcie	obtrząsanie
strząśnięcie	strząsanie
spuszczenie	spuszczanie
ściągnięcie	ściąganie
ściągnięcie	ciągnięcie
zrzucenie	zrzucanie
zsypanie	sypanie
zsypanie	zsypywanie
wykrwawienie	wykrwawianie
wykrwawienie	krwawienie
rzygnięcie	rzyganie
rozdziawienie się	rozdziawianie się
rozdziawienie	rozdziawianie
odemknięcie	odmykanie
odszpuntowanie	odszpuntowywanie
otworzenie	otwieranie
rozwalenie	rozwalanie
rozwarcie	rozwieranie
rozchylenie	rozchylanie
wytrzeszczenie	wytrzeszczanie
wybałuszenie	wybałuszanie
odetkanie	odtykanie
odkorkowanie	odkorkowywanie
rozbebeszenie	rozbebeszanie
ułożenie	układanie
przymarszczenie	przymarszczanie
splisowanie	plisowanie
upięcie	upinanie
sfałdowanie	fałdowanie
pofałdowanie	fałdowanie
podpięcie	podpinanie
podczepienie	podczepianie
zaczesanie	zaczesywanie
zmarszczenie	marszczenie
namarszczenie	marszczenie
uczesanie się	czesanie się
uczesanie się	uczesanie
uczesanie	uczesanie się
uczesanie	czesanie
wdanie	wdawanie
udrapowanie	drapowanie
ufryzowanie	fryzowanie
odlanie	odlewanie
odlanie	lanie
wyrycie	rycie
wyżłobienie	żłobienie
wyciosanie	wyciosywanie
wyklepanie	wyklepywanie
wyklepanie	klepanie
ugniecenie	ugniatanie
zaokrąglenie	zaokrąglanie
wycyzelowanie	cyzelowanie
rozprostowanie	rozprostowanie się
rozprostowanie	rozprostowywanie
rozprostowanie	prostowanie
wyprostowanie	wyprostowanie się
wyprostowanie	wyprostowywanie
wyprostowanie	prostowanie
naprostowanie	naprostowywanie
naprostowanie	prostowanie
odgięcie	odgięcie się
odgięcie	odginanie
rozgięcie	rozgięcie się
rozgięcie	rozginanie
wyrównanie	wyrównywanie
wyżłobienie	żłobienie
wygrzebanie	wygrzebywanie
wypuczenie	wypuczanie
uwypuklenie	uwypuklanie
wysklepienie	wysklepianie
obrobienie	obrabianie
wyrobienie	wyrabianie
dopieszczenie	dopieszczanie
wycyzelowanie	cyzelowanie
wykucie	wykuwanie
wyszlifowanie	wyszlifowywanie
wyszlifowanie	szlifowanie
wypchanie	wypychanie
wypchanie	pchanie
wydeptanie	wydeptywanie
wytłoczenie	tłoczenie
wytłoczenie	wytłaczanie
wyrżnięcie	wyrzynanie
ukształtowanie	kształtowanie
uformowanie	formowanie
wymodelowanie	modelowanie
nadanie kształtu	nadawanie kształtu
urobienie	urabianie
podmycie	podmywanie
wydłubanie	wydłubywanie
wydłubanie	dłubanie
wyrzezanie	rzezanie
wydrążenie	wydrążanie
sfalowanie	falowanie
wystruganie	wystrugiwanie
wystruganie	struganie
wykończenie	wykańczanie
zakończenie	zakańczanie
zakończenie	zakończanie
ulepienie	lepienie
wyrąbanie	wyrąbywanie
przerąbanie	przerąbywanie
wyprofilowanie	profilowanie
sprofilowanie	profilowanie
rozkurczenie	rozkurczanie
