agresywność	agresywny
czupurność	czupurny
definiowalność	definiowalny
definitywność	definitywny
nieapetyczność	nieapetyczny
nowobogackość	nowobogacki
piknikowość	piknikowy
zabawowość	zabawowy
poznawczość	poznawczy
półlegalność	półlegalny
szarawość	szarawy
terminalność	terminalny
wstrętność	wstrętny
wstrętność	wstrętny
barbarzyńskość	barbarzyński
barbarzyńskość	barbarzyński
barbarzyńskość	barbarzyński
barbarzyńskość	barbarzyński
barbarzyńskość	barbarzyński
ewidentność	ewidentny
jednokolorowość	jednokolorowy
niekulturalność	niekulturalny
niegrzeczność	niegrzeczny
niekulturalność	niekulturalny
nieprawomocność	nieprawomocny
nieważność	nieważny
nieszczególność	nieszczególny
purytańskość	purytański
europejskość	europejski
brytyjskość	brytyjski
szkockość	szkocki
angielskość	angielski
tępość	tępy
tępość	tępy
wieloletniość	wieloletni
bluźnierczość	bluźnierczy
obelżywość	obelżywy
nieliczność	nieliczny
ówczesność	ówczesny
polskość	polski
mozolność	mozolny
syntetyczność	syntetyczny
wodnistość	wodnisty
własnościowość	własnościowy
chrześcijańskość	chrześcijański
kiepskość	kiepski
finansowość	finansowy
malinowość	malinowy
malinowość	malinowy
faszystowskość	faszystowski
totalitarność	totalitarny
nieetyczność	nieetyczny
piskliwość	piskliwy
zawistność	zawistny
wartościowość	wartościowy
bezcenność	bezcenny
bezcenność	bezcenny
leniwość	leniwy
leniwość	leniwy
leniwość	leniwy
matowość	matowy
matowość	matowy
międzynarodowość	międzynarodowy
światowość	światowy
globalność	globalny
odruchowość	odruchowy
okrutność	okrutny
okrutność	okrutny
płowość	płowy
pomocność	pomocny
schludność	schludny
rezerwowość	rezerwowy
szacowność	szacowny
taktowność	taktowny
taktowność	taktowny
wczesność	wczesny
wczesność	wczesny
początkowość	początkowy
wczesność	wczesny
wiekowość	wiekowy
wielopoziomowość	wielopoziomowy
zimność	zimny
zimność	zimny
butność	butny
butność	butny
błagalność	błagalny
ciężkostrawność	ciężkostrawny
czerwonawość	czerwonawy
niecelność	niecelny
niekomercyjność	niekomercyjny
nieprzyjazność	nieprzyjazny
nieprzyjazność	nieprzyjazny
okrężność	okrężny
kolistość	kolisty
pośredniość	pośredni
pośredniość	pośredni
okrężność	okrężny
prostackość	prostacki
sceptyczność	sceptyczny
szmaragdowość	szmaragdowy
ulgowość	ulgowy
anegdotyczność	anegdotyczny
chętność	chętny
ochoczość	ochoczy
deszczowość	deszczowy
idealność	idealny
ochronność	ochronny
różnokolorowość	różnokolorowy
rychłość	rychły
sakralność	sakralny
ciernistość	ciernisty
ciernistość	ciernisty
ekspresowość	ekspresowy
fortunność	fortunny
gatunkowość	gatunkowy
naddźwiękowość	naddźwiękowy
nieporządność	nieporządny
wolnościowość	wolnościowy
bryłkowatość	bryłkowaty
greckość	grecki
marudność	marudny
marudność	marudny
bezdeszczowość	bezdeszczowy
dygresyjność	dygresyjny
enigmatyczność	enigmatyczny
enigmatyczność	enigmatyczny
enigmatyczność	enigmatyczny
głuchość	głuchy
jednogłośność	jednogłośny
miniaturowość	miniaturowy
niemuzykalność	niemuzykalny
niewykrywalność	niewykrywalny
ponowność	ponowny
rozliczność	rozliczny
ryzykowność	ryzykowny
teoretyczność	teoretyczny
cwaność	cwany
cwaność	cwany
garbatość	garbaty
grobowość	grobowy
niegustowność	niegustowny
niegustowność	niegustowny
niekonieczność	niekonieczny
nieoczywistość	nieoczywisty
nieoficjalność	nieoficjalny
optymistyczność	optymistyczny
regionalność	regionalny
rewelacyjność	rewelacyjny
sporadyczność	sporadyczny
stalowość	stalowy
aposterioryczność	aposterioryczny
doświadczalność	doświadczalny
empiryczność	empiryczny
humorzastość	humorzasty
melancholiczność	melancholiczny
nieudaczność	nieudaczny
słowiańskość	słowiański
rosyjskość	rosyjski
radzieckość	radziecki
sowieckość	sowiecki
upalność	upalny
wzorowość	wzorowy
własnowolność	własnowolny
włóknistość	włóknisty
zapominalskość	zapominalski
dotychczasowość	dotychczasowy
kusość	kusy
nieżywość	nieżywy
pierwszorzędność	pierwszorzędny
pierwszorzędność	pierwszorzędny
premierowość	premierowy
radialność	radialny
roczność	roczny
roczność	roczny
śmiercionośność	śmiercionośny
niejednolitość	niejednolity
niejednolitość	niejednolity
odpowiedzialność	odpowiedzialny
hollywoodzkość	hollywoodzki
lewackość	lewacki
naziemność	naziemny
niedyplomatyczność	niedyplomatyczny
nieoszczędność	nieoszczędny
nieprawność	nieprawny
piwność	piwny
postawność	postawny
życiowość	życiowy
doszczętność	doszczętny
dzienność	dzienny
fartowność	fartowny
fikuśność	fikuśny
nieciekawość	nieciekawy
nieciekawość	nieciekawy
nierównoznaczność	nierównoznaczny
przygraniczność	przygraniczny
maksymalność	maksymalny
szczytowość	szczytowy
urodność	urodny
urodziwość	urodziwy
dolnośląskość	dolnośląski
wyrafinowaność	wyrafinowany
wiekopomność	wiekopomny
ukośność	ukośny
ustawowość	ustawowy
podobność	podobny
początkowość	początkowy
nieznaność	nieznany
miedzianość	miedziany
kruczość	kruczy
karkołomność	karkołomny
karkołomność	karkołomny
ideologiczność	ideologiczny
trójkolorowość	trójkolorowy
ponadnormatywność	ponadnormatywny
osobniczość	osobniczy
nierozsądność	nierozsądny
niejednakowość	niejednakowy
niejednakowość	niejednakowy
należytość	należyty
jednobarwność	jednobarwny
hipotetyczność	hipotetyczny
aromatyczność	aromatyczny
nieoszczędność	nieoszczędny
afrykańskość	afrykański
delikatesowość	delikatesowy
diabelskość	diabelski
diabelskość	diabelski
diabelskość	diabelski
krwawość	krwawy
niespokojność	niespokojny
modelowość	modelowy
stanowczość	stanowczy
modelowość	modelowy
naczelność	naczelny
nieuleczalność	nieuleczalny
wytrwałość	wytrwały
nieuleczalność	nieuleczalny
pokazowość	pokazowy
spektakularność	spektakularny
pokazowość	pokazowy
prostość	prosty
prostość	prosty
prostość	prosty
subtelność	subtelny
równinność	równinny
śnieżnobiałość	śnieżnobiały
śnieżystość	śnieżysty
adiabatyczność	adiabatyczny
ciasność	ciasny
ciasność	ciasny
ciasność	ciasny
gliniastość	gliniasty
gliniastość	gliniasty
gliniastość	gliniasty
karość	kary
kawowość	kawowy
kulturalność	kulturalny
nadziemność	nadziemny
nieprawdopodobność	nieprawdopodobny
niestandardowość	niestandardowy
piętrowość	piętrowy
wielopłaszczyznowość	wielopłaszczyznowy
wrodzoność	wrodzony
białawość	białawy
hydrofobowość	hydrofobowy
monochromatyczność	monochromatyczny
niekłopotliwość	niekłopotliwy
bezproblemowość	bezproblemowy
bezproblemowość	bezproblemowy
bezproblemowość	bezproblemowy
nieoptymalność	nieoptymalny
tutejszość	tutejszy
zwyczajowość	zwyczajowy
ustawność	ustawny
sprytność	sprytny
snobistyczność	snobistyczny
snobistyczność	snobistyczny
snobistyczność	snobistyczny
seksistowskość	seksistowski
oklepaność	oklepany
niełatwość	niełatwy
niełaskawość	niełaskawy
żaroodporność	żaroodporny
buraczkowość	buraczkowy
czosnkowość	czosnkowy
debilność	debilny
bezrozumność	bezrozumny
durnowatość	durnowaty
debilność	debilny
durnowatość	durnowaty
idiotyczność	idiotyczny
zidiociałość	zidiociały
denność	denny
erozyjność	erozyjny
imperialność	imperialny
inicjalność	inicjalny
księżycowość	księżycowy
miastowość	miastowy
niebagatelność	niebagatelny
niechlubność	niechlubny
wieczystość	wieczysty
wredność	wredny
zalążkowość	zalążkowy
zamkniętość	zamknięty
hermetyczność	hermetyczny
zamkniętość	zamknięty
bioelektryczność	bioelektryczny
edukacyjność	edukacyjny
kryzysowość	kryzysowy
nieprzypadkowość	nieprzypadkowy
odlotowość	odlotowy
poszczególność	poszczególny
rozważność	rozważny
rutynowość	rutynowy
trójbarwność	trójbarwny
zrównoważoność	zrównoważony
zwycięskość	zwycięski
antyczność	antyczny
błękitność	błękitny
chciwstwo	chciwy
fiołkowość	fiołkowy
kremowość	kremowy
newralgiczność	newralgiczny
perłowość	perłowy
pogodność	pogodny
pogodność	pogodny
pogodność	pogodny
pradawność	pradawny
przykładowość	przykładowy
surrealistyczność	surrealistyczny
surrealistyczność	surrealistyczny
zawrotność	zawrotny
bezprzykładność	bezprzykładny
bezprzykładność	bezprzykładny
chorwackość	chorwacki
cywilność	cywilny
kobaltowość	kobaltowy
kombatanckość	kombatancki
niemodność	niemodny
nieorganiczność	nieorganiczny
pionowość	pionowy
wertykalność	wertykalny
cudzołożność	cudzołożny
cudzołożność	cudzołożny
bezwartościowość	bezwartościowy
gównianość	gówniany
zasraność	zasrany
gównianość	gówniany
bezwartościowość	bezwartościowy
gównianość	gówniany
kretyńskość	kretyński
kretyńskość	kretyński
lurowatość	lurowaty
macierzystość	macierzysty
macierzystość	macierzysty
prymarność	prymarny
nietowarzyskość	nietowarzyski
opiekuńczość	opiekuńczy
opiekuńczość	opiekuńczy
osłonowość	osłonowy
osłonowość	osłonowy
profesjonalność	profesjonalny
prospołeczność	prospołeczny
łysość	łysy
nagość	nagi
sławetność	sławetny
sławność	sławny
słynność	słynny
chlubność	chlubny
chlubność	chlubny
zaszczytność	zaszczytny
cudzość	cudzy
cudzość	cudzy
linearność	linearny
morskość	morski
myszowatość	myszowaty
nierozważność	nierozważny
nieprzemyślaność	nieprzemyślany
lekkomyślność	lekkomyślny
nierozważność	nierozważny
poranność	poranny
tysięczność	tysięczny
upojność	upojny
upojność	upojny
wieśniackość	wieśniacki
łajdackość	łajdacki
łajdackość	łajdacki
apokryficzność	apokryficzny
apokryficzność	apokryficzny
bezalkoholowość	bezalkoholowy
chabrowość	chabrowy
impertynenckość	impertynencki
indygowość	indygowy
twardogłowość	twardogłowy
mroźność	mroźny
ogromniastość	ogromniasty
pamiątkowość	pamiątkowy
pesymistyczność	pesymistyczny
pochlebność	pochlebny
bezbolesność	bezbolesny
bezbolesność	bezbolesny
gromkość	gromki
kanarkowość	kanarkowy
nadmierność	nadmierny
nieelastyczność	nieelastyczny
nieprzekładalność	nieprzekładalny
nieprzekładalność	nieprzekładalny
nieprzetłumaczalność	nieprzetłumaczalny
tylnojęzykowość	tylnojęzykowy
zeszłoroczność	zeszłoroczny
zygzakowatość	zygzakowaty
arkadyjskość	arkadyjski
ciekawskość	ciekawski
ekstremistyczność	ekstremistyczny
granatowość	granatowy
katastroficzność	katastroficzny
katastroficzność	katastroficzny
kudłatość	kudłaty
niecałkowitość	niecałkowity
pierworodność	pierworodny
półpłynność	półpłynny
pyskatość	pyskaty
ekstremalność	ekstremalny
ekstremalność	ekstremalny
niedefiniowalność	niedefiniowalny
niepobłażliwość	niepobłażliwy
niewyrozumiałość	niewyrozumiały
niewczesność	niewczesny
przybliżoność	przybliżony
sadystyczność	sadystyczny
sadystyczność	sadystyczny
szkolność	szkolny
szkolność	szkolny
zajebistość	zajebisty
finałowość	finałowy
haniebność	haniebny
haniebność	haniebny
haniebność	haniebny
niewyraźność	niewyraźny
niewyraźność	niewyraźny
niewyraźność	niewyraźny
niewyraźność	niewyraźny
ojczystość	ojczysty
percepcyjność	percepcyjny
poczwórność	poczwórny
stepowość	stepowy
wstępność	wstępny
brylastość	brylasty
dewiacyjność	dewiacyjny
egoistyczność	egoistyczny
egoistyczność	egoistyczny
gnostyckość	gnostycki
okultystyczność	okultystyczny
ezoteryczność	ezoteryczny
idylliczność	idylliczny
rodzimość	rodzimy
krajowość	krajowy
plastikowość	plastikowy
naśladowczość	naśladowniczy
naśladowczość	naśladowczy
niewyrazistość	niewyrazisty
nieokreśloność	nieokreślony
połyskliwość	połyskliwy
rosistość	rosisty
wysokogatunkowość	wysokogatunkowy
żelazność	żelazny
nietykalność	nietykalny
nienaruszalność	nienaruszalny
zwodniczość	zwodniczy
zwodniczość	zwodniczy
zwodniczość	zwodniczy
felerność	felerny
felerność	felerny
lekkoduszność	lekkoduszny
następność	następny
bezlitosność	bezlitosny
nielitościwość	nielitościwy
nielitościwość	nielitościwy
nielitościwość	nielitościwy
nieodczuwalność	nieodczuwalny
nieprzyjacielskość	nieprzyjacielski
nieprzyjacielskość	nieprzyjacielski
niesympatyczność	niesympatyczny
nieprzyjemność	nieprzyjemny
niesympatyczność	niesympatyczny
nieprzyjemność	nieprzyjemny
piaszczystość	piaszczysty
piaszczystość	piaszczysty
zgniłość	zgniły
zepsutość	zepsuty
niejadalność	niejadalny
zepsutość	zepsuty
torfiastość	torfiasty
tamtejszość	tamtejszy
swawolność	swawolny
obustronność	obustronny
swawolność	swawolny
czubatość	czubaty
czubatość	czubaty
fioletowość	fioletowy
globalność	globalny
momentalność	momentalny
niedozwoloność	niedozwolony
nieporęczność	nieporęczny
nieporęczność	nieporęczny
nietwarzowość	nietwarzowy
nizinność	nizinny
nizinność	nizinny
nizinność	nizinny
nocność	nocny
wartościowość	wartościowy
odżywczość	odżywczy
odżywczość	odżywczy
ostentacyjność	ostentacyjny
pierwszość	pierwszy
pierwszość	pierwszy
pierwszość	pierwszy
pierwszość	pierwszy
pierwszość	pierwszy
strategiczność	strategiczny
tegoroczność	tegoroczny
wyboistość	wyboisty
bezdyskusyjność	bezdyskusyjny
branżowość	branżowy
ciamajdowatość	ciamajdowaty
kwadratowość	kwadratowy
narowistość	narowisty
narowistość	narowisty
oświatowość	oświatowy
pełnosprawność	pełnosprawny
wrzosowość	wrzosowy
znaność	znany
durność	durny
durność	durny
durność	durny
durność	durny
idiotyczność	idiotyczny
idiotyczność	idiotyczny
merkantylność	merkantylny
mieszkalność	mieszkalny
nierygorystyczność	nierygorystyczny
niewymyślność	niewymyślny
światłość	światły
oświeconość	oświecony
postność	postny
przedpotopowość	przedpotopowy
nieautomatyczność	nieautomatyczny
archetypowość	archetypowy
archetypiczność	archetypiczny
pierwotność	pierwotny
archetypowość	archetypowy
bandyckość	bandycki
ciężarność	ciężarny
niebanalność	niebanalny
ucieszność	ucieszny
minimalność	minimalny
niehonorowość	niehonorowy
rosłość	rosły
rosłość	rosły
rumiankowość	rumiankowy
sążnistość	sążnisty
sążnistość	sążnisty
bezwzględność	bezwzględny
cudaczność	cudaczny
prasłowiańskość	prasłowiański
samopowtarzalność	samopowtarzalny
powtarzalność	powtarzalny
samoistność	samoistny
szmirowatość	szmirowaty
apatyczność	apatyczny
nieekonomiczność	nieekonomiczny
nieharmonijność	nieharmonijny
nieharmonijność	nieharmonijny
nieobfitość	nieobfity
prahistoryczność	prahistoryczny
przebrzydłość	przebrzydły
przebrzydłość	przebrzydły
przepiękność	przepiękny
prześliczność	prześliczny
przydrożność	przydrożny
aroganckość	arogancki
chybkość	chybki
chybkość	chybki
kulminacyjność	kulminacyjny
luzackość	luzacki
luzackość	luzacki
luzackość	luzacki
nieprzyswajalność	nieprzyswajalny
nieprzyswajalność	nieprzyswajalny
zaszczytność	zaszczytny
wysmukłość	wysmukły
wysmukłość	wysmukły
wełnistość	wełnisty
wełnistość	wełnisty
wełnistość	wełnisty
poprzedniość	poprzedni
bajeranckość	bajerancki
bezgwiezdność	bezgwiezdny
horyzontalność	horyzontalny
poziomość	poziomy
niepodobność	niepodobny
powojenność	powojenny
wokalność	wokalny
autorskość	autorski
bezpłciowość	bezpłciowy
bezwstydność	bezwstydny
bezwstydność	bezwstydny
instrumentalność	instrumentalny
jednoosobowość	jednoosobowy
jednoosobowość	jednoosobowy
lipność	lipny
posłuszność	posłuszny
stylowość	stylowy
wielotorowość	wielotorowy
achromatyczność	achromatyczny
bezbarwność	bezbarwny
bezbarwność	bezbarwny
kluczowość	kluczowy
lawendowość	lawendowy
lawendowość	lawendowy
makabryczność	makabryczny
makabryczność	makabryczny
niekłótliwość	niekłótliwy
nieobojętność	nieobojętny
nieobojętność	nieobojętny
niezdrowość	niezdrowy
pocieszność	pocieszny
przecudność	przecudny
psychiczność	psychiczny
słoneczność	słoneczny
słoneczność	słoneczny
przyzwoitość	przyzwoity
dostateczność	dostateczny
energetyczność	energetyczny
kędzierzawość	kędzierzawy
kędzierzawość	kędzierzawy
kędzierzawość	kędzierzawy
kędzierzawość	kędzierzawy
kuglarskość	kuglarski
niekosztowność	niekosztowny
perwersyjność	perwersyjny
perwersyjność	perwersyjny
prewencyjność	prewencyjny
zapobiegawczość	zapobiegawczy
wyblakłość	wyblakły
spłowiałość	spłowiały
bałamutność	bałamutny
hegemoniczność	hegemoniczny
manipulacyjność	manipulacyjny
miętowość	miętowy
niekontrowersyjność	niekontrowersyjny
pylistość	pylisty
bezprzewodowość	bezprzewodowy
boczność	boczny
nieśpieszność	nieśpieszny
nominalność	nominalny
nominalność	nominalny
ogólnoświatowość	ogólnoświatowy
opasłość	opasły
opasłość	opasły
opasłość	opasły
pośmiertność	pośmiertny
rzekomość	rzekomy
szaleńczość	szaleńczy
beżowość	beżowy
markotność	markotny
markotność	markotny
nieestetyczność	nieestetyczny
poprzeczność	poprzeczny
różnobarwność	różnobarwny
wczorajszość	wczorajszy
diagonalność	diagonalny
dżdżystość	dżdżysty
ekstraordynaryjność	ekstraordynaryjny
entuzjastyczność	entuzjastyczny
entuzjastyczność	entuzjastyczny
gąbczastość	gąbczasty
nadobność	nadobny
niekonsekwentność	niekonsekwentny
niekonsekwentność	niekonsekwentny
obrażalskość	obrażalski
partnerskość	partnerski
przedwojenność	przedwojenny
srebrność	srebrny
ukraińskość	ukraiński
ambitność	ambitny
ambitność	ambitny
ambitność	ambitny
wartościowość	wartościowy
czarnoskórość	czarnoskóry
matczyność	matczyny
niedochodowość	niedochodowy
skuteczność	skuteczny
nieobrotność	nieobrotny
niewyczuwalność	niewyczuwalny
niewyczuwalność	niewyczuwalny
niedostrzegalność	niedostrzegalny
szkaradność	szkaradny
szkaradność	szkaradny
fanatyczność	fanatyczny
niefartowność	niefartowny
popularnonaukowość	popularnonaukowy
przebogatość	przebogaty
rozpaczliwość	rozpaczliwy
wychowawczość	wychowawczy
pedagogiczność	pedagogiczny
bratniość	bratni
dwojakość	dwojaki
kolczastość	kolczasty
kolczastość	kolczasty
korupcyjność	korupcyjny
nieprofesjonalność	nieprofesjonalny
nieprofesjonalność	nieprofesjonalny
nitkowatość	nitkowaty
pąsowość	pąsowy
zamgloność	zamglony
dowcipność	dowcipny
dowcipność	dowcipny
żartobliwość	żartobliwy
gamoniowatość	gamoniowaty
paranoiczność	paranoiczny
przedterminowość	przedterminowy
purpurowość	purpurowy
seledynowość	seledynowy
szczeniackość	szczeniacki
szczeniackość	szczeniacki
szlacheckość	szlachecki
zabójczość	zabójczy
zabójczość	zabójczy
zimowość	zimowy
niekorzystność	niekorzystny
niekorzystność	niekorzystny
nierealistyczność	nierealistyczny
profilaktyczność	profilaktyczny
sowitość	sowity
debiutanckość	debiutancki
dwuwarstwowość	dwuwarstwowy
dwuwarstwowość	dwuwarstwowy
humanistyczność	humanistyczny
mężność	mężny
niewidoczność	niewidoczny
puszczalskość	puszczalski
tradycjonalistyczność	tradycjonalistyczny
symboliczność	symboliczny
umowność	umowny
lotność	lotny
niezręczność	niezręczny
niezręczność	niezręczny
nietaktowność	nietaktowny
niezręczność	niezręczny
nieudolność	nieudolny
niezręczność	niezręczny
sukcesywność	sukcesywny
metaliczność	metaliczny
delikatność	delikatny
delikatność	delikatny
delikatność	delikatny
delikatność	delikatny
delikatność	delikatny
grzeczność	grzeczny
przenikliwość	przenikliwy
przenikliwość	przenikliwy
przytomność	przytomny
przenikliwość	przenikliwy
bystrość	bystry
małość	mały
małość	mały
małość	mały
kameralność	kameralny
kameralność	kameralny
kameralność	kameralny
dynamiczność	dynamiczny
intensywność	intensywny
dynamiczność	dynamiczny
energiczność	energiczny
dziarskość	dziarski
dziarskość	dziarski
żywotność	żywotny
rześkość	rześki
rześkość	rześki
świeżość	świeżutki
świeżość	świeżutki
świeżość	świeży
rzeźwość	rzeźwy
rzeźwość	rzeźwy
żwawość	żwawy
żywość	żywy
powolność	powolny
niemrawość	niemrawy
powolność	powolny
szczupłość	szczupły
wielkość	wielki
wybitność	wybitny
wesołość	wesoły
kruchość	kruchy
kruchość	kruchy
wątłość	wątły
prędkość	prędki
popędliwość	popędliwy
impulsywność	impulsywny
gwałtowność	gwałtowny
wybuchowość	wybuchowy
zapalczywość	zapalczywy
nieopanowanie	nieopanowany
małość	mały
szaleństwo	szalony
chudość	chudy
szczupłość	szczupły
niskość	niski
niskość	niski
niskość	niski
niskość	niski
niskość	niski
wąskość	wąski
miękkość	miękki
ustępliwość	ustępliwy
miękkość	miękki
miękkość	miękki
miękkość	miękki
miękkość	miękki
łagodność	łagodny
miękkość	miękki
oszczędność	oszczędny
skromność	skromny
siermiężność	siermiężny
dyskrecja	dyskretny
dyskrecja	dyskretny
nieruchomość	nieruchomy
stabilność	stabilny
następczość	następczy
szpiczastość	szpiczasty
równość	równy
wielokształtność	wielokształtny
podłużność	podłużny
schludność	schludny
czystość	czysty
pociągłość	pociągły
rytmiczność	rytmiczny
pewność	pewny
lojalność	lojalny
melancholijność	melancholijny
traumatyczność	traumatyczny
burzliwość	burzliwy
anemiczność	anemiczny
naiwność	naiwny
niezawodność	niezawodny
pewność	pewny
pewność	pewny
niepewność	niepewny
nieśmiałość	nieśmiały
drętwota	drętwy
osowiałość	osowiały
indyferentność	indyferentny
światowość	światowy
zrzędliwość	zrzędliwy
zrzędność	zrzędny
zrzędliwość	zrzędliwy
zrzędność	zrzędny
zaradność	zaradny
zadzierzystość	zadzierzysty
władczość	władczy
wyższość	wyższy
zarozumiałość	zarozumiały
wiarygodność	wiarygodny
surowość	surowy
roszczeniowość	roszczeniowy
niepokorność	niepokorny
natarczywość	natarczywy
natarczywość	natarczywy
gderliwość	gderliwy
skwapliwość	skwapliwy
ważność	ważny
rzadkość	rzadki
prędkość	prędki
smagłość	smagły
pyzatość	pyzaty
śniadość	śniady
szybkość	szybki
australijskość	australijski
plastyka	plastyczny
metroseksualizm	metroseksualny
interaktywność	interaktywny
patrylinearność	patrylinearny
matrylinearność	matrylinearny
transcendentność	transcendentny
różnowartościowość	różnowartościowy
falsyfikowalność	falsyfikowalny
antynaturalizm	antynaturalistyczny
nieczułość	nieczuły
wadliwość	wadliwy
endogeniczność	endogeniczny
ergodyczność	ergodyczny
żałosność	żałosny
żałosność	żałosny
życiodajność	życiodajny
bezdenność	bezdenny
brunat	brunatny
wędrowność	wędrowny
wędrowność	wędrowny
supernowość	supernowy
wywrotność	wywrotny
wywrotowość	wywrotowy
wyznaniowość	wyznaniowy
władność	władny
zabytkowość	zabytkowy
zachodniość	zachodni
niewrażliwość	niewrażliwy
niewrażliwość	niewrażliwy
niewrażliwość	niewrażliwy
zakonność	zakonny
szczebiotliwość	szczebiotliwy
szczeniactwo	szczeniacki
zapalność	niezapalny
zapalność	zapalny
zasiedziałość	zasiedziały
zasiedziałość	zasiedziały
zastałość	zastały
zastałość	zastały
zastałość	zastały
zastosowalność	zastosowalny
zawodowość	zawodowy
trójstronność	trójstronny
słoniowatość	słoniowaty
antyradzieckość	antyradziecki
cudzoziemskość	cudzoziemczy
cudzoziemskość	cudzoziemski
antyrosyjskość	antyrosyjski
teratogenność	teratogenny
zbożność	zbożny
modrość	modry
obieralność	obieralny
dwuizbowość	dwuizbowy
słoniowatość	słoniowaty
samozachowawczość	samozachowawczy
karykaturalność	karykaturalny
sarmackość	sarmacki
warstwowość	warstwowy
warszawskość	warszawski
taktyczność	taktyczny
wichrowatość	wichrowaty
wichrowatość	wichrowaty
widność	widny
wielkomocarstwowość	wielkomocarstwowy
wielokomórkowość	wielokomórkowy
wielostopniowość	wielostopniowy
wielostopniowość	wielostopniowy
satyryczność	satyryczny
bezwyjściowość	bezwyjściowy
niebywałość	niebywały
jednorazowość	jednorazowy
niepojętość	niepojęty
niesamoistność	niesamoistny
niewyczerpalność	niewyczerpalny
niewyobrażalność	niewyobrażalny
sytuacyjność	sytuacyjny
tautologiczność	tautologiczny
tekstualność	tekstualny
skokowość	skokowy
skokowość	skokowy
skośnica	skośny
skośnica	skośny
dożywotność	dożywotni
sowietnik	sowiecki
wyrywkowość	wyrywkowy
antynomiczność	antynomiczny
podłota	podły
eliptyczność	eliptyczny
krytyczność	krytyczny
krytyczność	krytyczny
pławność	pławny
modułowość	modułowy
nosowość	nosowy
spekulatywność	spekulatywny
wariacyjność	wariacyjny
widłowość	widłowy
wieloetapowość	wieloetapowy
wielofazowość	wielofazowy
wielofazowość	wielofazowy
wielofazowość	wielofazowy
wielofazowość	wielofazowy
wielorasowość	wielorasowy
wieprzowatość	wieprzowaty
pokojowość	pokojowy
stadialność	stadialny
pakowność	pakowny
stochastyczność	stochastyczny
zezowatość	zezowaty
bezdenność	bezdenny
stresogenność	stresogenny
polemiczność	polemiczny
porywistość	porywisty
pośledniość	pośledni
postulatywność	postulatywny
precedensowość	precedensowy
zerowość	zerowy
zerowość	zerowy
zdradziectwo	zdradziecki
zdarzeniowość	zdarzeniowy
mikroskopijność	mikroskopijny
porywistość	porywisty
zdradliwość	zdradliwy
niezgłębioność	niezgłębiony
niezgłębioność	niezgłębiony
niezgłębioność	niezgłębiony
nieziemskość	nieziemski
niezliczoność	niezliczony
mimetyczność	mimetyczny
mityczność	mityczny
miłościwość	miłościwy
paraboliczność	paraboliczny
nieziszczalność	nieziszczalny
niezmierność	niezmierny
niezmierność	niezmierny
nieżyciowość	nieżyciowy
niszczycielskość	niszczycielski
parszywość	parszywy
liofilowość	liofilowy
paskudność	paskudny
paskudność	paskudny
nordyckość	nordycki
monogamiczność	monogamiczny
monogamiczność	monogamiczny
jednorazowość	jednorazowy
normatywizacja	normatywny
prejudycjalność	prejudycjalny
powietrzność	powietrzny
murzyńskość	murzyński
mutagenność	mutagenny
numeryczność	numeryczny
obiegowość	obiegowy
zmiennokształtność	zmiennokształtny
znamienność	znamienny
oblak	obły
powłóczystość	powłóczysty
powłóczystość	powłóczysty
powłóczystość	powłóczysty
pragmatyczność	pragmatyczny
pragmatyczność	pragmatyczny
pragmatyczność	pragmatyczny
poważność	poważny
potężność	potężny
potężność	potężny
potężność	potężny
wolicjonalność	wolicjonalny
wrzaskliwość	wrzaskliwy
wrzaskliwość	wrzaskliwy
kontaktowość	kontaktowy
proamerykańskość	proamerykański
procentowość	procentowy
programowalność	programowalny
projekcyjność	projekcyjny
projekcyjność	projekcyjny
proniemieckość	proniemiecki
nieskromność	nieskromny
prostoliniowość	prostoliniowy
łacińskość	łaciński
łacińskość	łaciński
książęcość	książęcy
pełnowartościowość	pełnowartościowy
pełnowartościowość	pełnowartościowy
kultowość	kultowy
mieszalność	mieszalny
złotość	złoty
zwalistość	zwalisty
zwalistość	zwalisty
kulturowość	kulturowy
kumulatywność	kumulatywny
pienistość	pienisty
pierzastość	pierzasty
pionierskość	pionierski
nieodwoływalność	nieodwoływalny
ogólnodostępność	ogólnodostępny
kwaskowatość	kwaskowaty
palność	palny
okólność	okólny
oleistość	oleisty
obolałość	obolały
pobliskość	pobliski
opiniotwórczość	opiniotwórczy
mimośrodowość	mimośrodowy
ekscentryczność	ekscentryczny
opresyjność	opresyjny
podchwytliwość	podchwytliwy
rozstrzygalność	rozstrzygalny
literalność	literalny
literalność	literalny
oralność	oralny
poddańczość	poddańczy
wolitywność	wolitywny
nachalstwo	nachalny
jednopartyjność	jednopartyjny
monopartyjność	monopartyjny
personalność	personalny
akcydentalność	akcydentalny
mafijność	mafijny
mafijność	mafijny
maluczkość	maluczki
maluczkość	maluczki
nadnaturalność	nadnaturalny
nadrealność	nadrealny
krótkoterminowość	krótkoterminowy
krótkoterminowość	krótkoterminowy
aksamit	aksamitny
gładkość	gładki
gładkość	gładki
animalność	animalny
anonimat	anonimowy
niebaczność	niebaczny
niebezpieczność	niebezpieczny
niecenzuralność	niecenzuralny
dwupartyjność	dwupartyjny
litewskość	litewski
opieszalstwo	opieszały
antytetyczność	antytetyczny
antyżydowskość	antyżydowski
apollińskość	apolliński
bezludność	bezludny
niedotykalność	niedotykalny
helleńskość	helleński
