administrować	administrowanie
zasilić	zasilenie
naładować	naładowanie
ładować	ładowanie
naładowywać	naładowywanie
załadowywać	załadowywanie
repetować	repetowanie
naładować	naładowanie
załadować	załadowanie
przeciążać	przeciążanie
przeciążyć	przeciążenie
naładowywać	naładowywanie
przeładowywać	przeładowywanie
naładować	naładowanie
przeładować	przeładowanie
napełniać	napełnianie
naładowywać	naładowywanie
napełnić	napełnienie
naładować	naładowanie
załadowywać	załadowywanie
załadować	załadowanie
rozładowywać	rozładowywanie
rozładować	rozładowanie
rozładowywać	rozładowywanie
rozładować	rozładowanie
rozładowywać	rozładowywanie
rozładować	rozładowanie
odreagowywać	odreagowywanie
odreagować	odreagowanie
rozładowywać	rozładowywanie
rozładować	rozładowanie
wyładowywać	wyładowywanie
wyładować	wyładowanie
wyładowywać	wyładowywanie
wyładować	wyładowanie
przeładowywać	przeładowywanie
przeładowywać	przeładunek
przeładować	przeładowanie
przeciążać	przeciążanie
obciążać	obciążanie
obciążyć	obciążenie
przeciążyć	przeciążenie
przeładowywać	przeładowywanie
przeładować	przeładowanie
doładowywać	doładowywanie
darowywać	darowywanie
ofiarowywać	ofiarowywanie
składać w darze	składanie w darze
zaofiarowywać	zaofiarowywanie
doładować	doładowanie
doładowywać	doładowywanie
doładować	doładowanie
darować	darowanie
ofiarować	ofiarowanie
doładowywać	doładowywanie
złożyć w darze	złożenie w darze
doładować	doładowanie
zaofiarować	zaofiarowanie
nakłaniać się	nakłanianie się
skłaniać się	skłanianie się
nakłonić się	nakłonienie się
skłonić się	skłonienie się
radykalizować	radykalizowanie
radykalizować	radykalizowanie
zaostrzać	zaostrzanie
obostrzać	obostrzanie
zaostrzyć	zaostrzenie
obostrzyć	obostrzenie
uradykalniać	uradykalnianie
dać	danie
zradykalizować	zradykalizowanie
uradykalnić	uradykalnienie
dawać	dawanie
faszyzować	faszyzowanie
faszyzować	faszyzowanie
dawać	dawanie
dawać	dawanie
kląć	klęcie
przeklinać	przeklinanie
dawać	dawanie
sobaczyć	sobaczenie
dawać	dawanie
dawać	dawanie
cholerować	cholerowanie
chlustać	chlustanie
chlusnąć	chluśnięcie
dawać	dawanie
bluzgać	bluzganie
bluzgnąć	bluzgnięcie
bluznąć	bluźnięcie
dawać	dawanie
chlustać	chlustanie
chlusnąć	chluśnięcie
chlusnąć	chluśnięcie
dać	danie
dać	danie
dać	danie
chloroformować	chloroformowanie
dać	danie
dać	danie
dać	danie
bajtlować	bajtlowanie
dać	danie
bajtlować	bajtlowanie
dać	danie
zbajtlować	zbajtlowanie
zabajtlować	zabajtlowanie
zbajtlować	zbajtlowanie
zabajtlować	zabajtlowanie
zdjąć	zdjęcie
balastować	balastowanie
zdjąć	zdjęcie
zdjąć	zdjęcie
zdjąć	zdjęcie
zdejmować	zdejmowanie
zdejmować	zdejmowanie
zdejmować	zdejmowanie
zdejmować	zdejmowanie
zdejmować	zdejmowanie
balastować	balastowanie
balastować	balastowanie
baletować	baletowanie
taklować	taklowanie
narkotyzować	narkotyzowanie
odurzać	odurzanie
odurzyć	odurzenie
narkotyzować	narkotyzowanie
kolacjonować	kolacjonowanie
kolacjonować	kolacja
kolcować	kolcowanie
kolczykować	kolczykowanie
fotografować	fotografowanie
kołtunić	kołtunienie
kudłać	kudłanie
kudłacić	kudłacenie
skołtunić	skołtunienie
skudłać	skudłanie
skudłacić	skudłacenie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znieść	zniesienie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
znosić	znoszenie
CZASOWNIK PERDURATYWNY	GERUNDIUM OD CZASOWNIKA PERDURATYWNEGO
wytrzymywać	wytrzymywanie
ścierpieć	ścierpienie
znosić	znoszenie
przeczekać	przeczekanie
przeczekiwać	przeczekiwanie
przeczekiwać	przeczekiwanie
przeżyć	przeżycie
przeżyć	przeżycie
przeżyć	przeżycie
wyżyć	wyżycie
przeżywać	przeżywanie
przeżywać	przeżywanie
przeżywać	przeżywanie
przetrzymać	przetrzymanie
przetrzymywać	przetrzymywanie
szczypać	szczypanie
szczypnąć	szczypnięcie
podszczypywać	podszczypywanie
podskubywać	podskubywanie
podszczypać	podszczypanie
podszczypnąć	podszczypnięcie
uszczypnąć	uszczypnięcie
podskubać	podskubanie
piec	pieczenie
palić	palenie
szczypać	szczypanie
skubać	skubanie
skubnąć	skubnięcie
poskubywać	poskubywanie
szczypać	szczypanie
smykać	smykanie
smyknąć	smyknięcie
szczypnąć	szczypnięcie
podskubywać	podskubywanie
podskubać	podskubanie
wyskubywać	wyskubywanie
wyskubać	wyskubanie
wyskubnąć	wyskubnięcie
wtulać	wtulanie
wtulić	wtulenie
wcisnąć	wciśnięcie
wtulać głowę w ramiona	wtulanie głowy w ramiona
wciągać głowę w ramiona	wciąganie głowy w ramiona
wciskać głowę w ramiona	wciskanie głowy w ramiona
wtulić głowę w ramiona	wtulenie głowy w ramiona
wciągnąć głowę w ramiona	wciągnięcie głowy w ramiona
wcisnąć głowę w ramiona	wciśnięcie głowy w ramiona
utworzyć	utworzenie
utworzyć	utworzenie
wprowadzać	wprowadzanie
wwodzić	wwodzenie
wprowadzić	wprowadzenie
wprowadzić	wprowadzenie
wprowadzać	wprowadzanie
wprowadzić	wprowadzenie
wprowadzać	wprowadzanie
wpisać	wpisanie
wprowadzić	wprowadzenie
wpisywać	wpisywanie
wprowadzać	wprowadzanie
wprowadzić	wprowadzenie
wprowadzać	wprowadzanie
odczuwać	odczuwanie
odczuwać	odczuwanie
odczuwać	odczuwanie
poczuć	poczucie
odczuć	odczucie
odczuć	odczucie
odczuć	odczucie
wprowadzać	wprowadzanie
wprowadzić	wprowadzenie
wprowadzić	wprowadzenie
wprowadzać	wprowadzanie
wychodzić	wychodzenie
wychodzić	wychodzenie
wyjść	wyjście
wyjść	wyjście
wychodzić	wychodzenie
wydostać się	wydostanie się
wydostawać się	wydostawanie się
wychodzić	wychodzenie
wyjść	wyjście
uchylać się	uchylanie się
umykać	umykanie
uchylić się	uchylenie się
umknąć	umknięcie
umykać	umykanie
umykać	umykanie
wychodzić	wychodzenie
wyjść	wyjście
wpychać się	wpychanie się
wciskać się	wciskanie się
wpierać się	wpieranie się
wtłaczać się	wtłaczanie się
wepchać się	wepchanie się
wepchnąć się	wepchnięcie się
wyjść	wyjście
wcisnąć się	wciśnięcie się
weprzeć się	wparcie się
wtłoczyć się	wtłoczenie się
wystąpić	wystąpienie
wychodzić	wychodzenie
występować	występowanie
ładować się	ładowanie się
wyjść	wyjście
władowywać się	władowywanie się
załadowywać się	załadowywanie się
wychodzić	wychodzenie
władować się	władowanie się
pojawiać się	pojawianie się
załadować się	załadowanie się
pojawić się	pojawienie się
wpychać się	wpychanie się
pakować się	pakowanie się
wmeldowywać się	wmeldowywanie się
wtarabaniać się	wtarabanianie się
wepchać się	wepchanie się
wychodzić	wychodzenie
wpakować się	wpakowanie się
wmeldować się	wmeldowanie się
wtarabanić się	wtarabanienie się
wychodzić	wychodzenie
wyjść	wyjście
wyjść	wyjście
wychodzić	wychodzenie
wyjść	wyjście
wyjść	wyjście
wyjść	wyjście
wychodzić	wychodzenie
wychodzić	wychodzenie
wyjść	wyjście
wychodzić	wychodzenie
wyjść	wyjście
wyjść	wyjście
wychodzić	wychodzenie
wyjść	wyjście
wychodzić	wychodzenie
wychodzić	wychodzenie
wyjść	wyjście
wywieść się	wywiedzenie się
wychodzić	wychodzenie
wychodzić	wychodzenie
wyjść	wyjście
ukazać się	ukazanie się
ukazywać się	ukazywanie się
wychodzić	wychodzenie
wynosić	wynoszenie
wynosić	wynoszenie
wynieść	wyniesienie
wynosić	wynoszenie
liczyć	liczenie
wynieść	wyniesienie
wynieść	wyniesienie
uczuć	uczucie
wynosić	wynoszenie
uczuć	uczucie
wynieść	wyniesienie
poczuć	poczucie
wyrazić	wyrażenie
wyrażać	wyrażanie
wyrazić	wyrażenie
wpieprzać się	wpieprzanie się
wpierdalać się	wpierdalanie się
wtranżalać się	wtranżalanie się
wtryniać się	wtrynianie się
wpakowywać się	wpakowywanie się
wpieprzyć się	wpieprzenie się
wpierdolić się	wpierdolenie się
wtranżolić się	wtranżolenie się
wtrynić się	wtrynienie się
wynegocjować	wynegocjowanie
otwierać duszę	otwieranie duszy
odkrywać duszę	odkrywanie duszy
spowiadać się	spowiadanie się
wynurzać się	wynurzanie się
dochodzić	dochodzenie
wywnętrzać się	wywnętrzanie się
wynurzyć się	wynurzenie się
dojść	dojście
wywnętrzyć się	wywnętrzenie się
wyspowiadać się	wyspowiadanie się
otworzyć duszę	otwarcie duszy
otworzyć duszę	otworzenie duszy
odkryć duszę	odkrycie duszy
spowiadać się	spowiadanie się
jednać się z Bogiem	jednanie się z Bogiem
wyspowiadać się	wyspowiadanie się
pojednać się z Bogiem	pojednanie się z Bogiem
składać	składanie
składać	składanie
składać	skład
złożyć	złożenie
złożyć	złożenie
złożyć	złożenie
zniewalać	zniewalanie
zmusić	zmuszenie
popędzić ... kota	popędzenie ... kota
pogonić ... kota	pogonienie ... kota
przykładać nóż do gardła	przykładanie noża do gardła
przyłożyć nóż do gardła	przyłożenie noża do gardła
stawiać pod ścianą	stawianie pod ścianą
postawić pod ścianą	postawienie pod ścianą
zadawać gwałt	zadawanie ... gwałtu
zadać gwałt	zadanie gwałtu
molestować	molestacja
molestować	molestowanie
dojść	dojście
molestować	molestacja
molestować	molestowanie
oszczędzać	oszczędzanie
dochodzić	dochodzenie
oszczędzać	oszczędzanie
dolecieć	dolecenie
oszczędzać	oszczędzanie
dojść	dojście
dolatywać	dolatywanie
dochodzić	dochodzenie
oszczędzić	oszczędzenie
oszczędzić	oszczędzenie
dojść	dojście
dochodzić	dochodzenie
dojść	dojście
dochodzić	dochodzenie
osiągnąć	osiągnięcie
dojść	dojście
osiągać	osiąganie
dochodzić	dochodzenie
otrzepywać	otrzepywanie
darowywać	darowywanie
darowywać	darowywanie
otrzepać	otrzepanie
strząsać	strząsanie
obtrząsać	obtrząsanie
otrząsać	otrząsanie
strząchać	strząchanie
dojrzewać	dojrzewanie
dochodzić	dochodzenie
utrząsać	utrząsanie
zestawić	zestawienie
zestawić	zestawienie
zestawiać	zestawianie
zestawiać	zestawianie
blaknąć	blaknięcie
zestawiać	zestawianie
blednąć	blednięcie
bladnąć	bladnięcie
dochodzić	dochodzenie
dojść	dojście
burzeć	burzenie
gasnąć	gaśnięcie
pełznąć	pełźnięcie
płowieć	płowienie
dojść	dojście
dochodzić	dochodzenie
zagasać	zagasanie
dojść	dojście
zblaknąć	zblaknięcie
dochodzić	dochodzenie
zjaśnieć	zjaśnienie
dochodzić	dochodzenie
dojść	dojście
zblednąć	zblednięcie
zbladnąć	zbladnięcie
zgasnąć	zgaśnięcie
zagasnąć	zagaśnięcie
nastawić	nastawienie
nastawić	nastawienie
spłowieć	spłowienie
spełzać	spełzanie
spełznąć	spełźnięcie
wypełzać	wypełzanie
wypełznąć	wypełźnięcie
nastawiać	nastawianie
nastawiać	nastawianie
odbarwiać się	odbarwianie się
nastawiać	nastawianie
odbarwić się	odbarwienie się
nastawiać	nastawianie
puszczać	puszczanie
puścić	puszczenie
nadstawić	nadstawienie
nadstawiać	nadstawianie
nabudować	nabudowanie
przyginać	przyginanie
naginać	naginanie
dochodzić	dochodzenie
kazać	kazanie
kazać	kazanie
nakazywać	nakazywanie
kazać	kazanie
odrzucać	odrzucanie
odrzucić	odrzucenie
odrzucać	odrzucanie
odrzucić	odrzucenie
odrzucić	odrzucenie
odrzucać	odrzucanie
odrzucać	odrzucanie
odrzucić	odrzucenie
odrzucić	odrzut
odrzucić	odrzucenie
odrzucać	odrzucanie
otrzymywać	otrzymywanie
otrzymywać	otrzymywanie
panować	panowanie
panować	panowanie
zapanowywać	zapanowywanie
panować	panowanie
panować	panowanie
pokonać	pokonanie
przezwyciężyć	przezwyciężenie
pokonywać	pokonywanie
przezwyciężać	przezwyciężanie
powrócić	powrócenie
wracać	wracanie
powracać	powracanie
powrócić	powrócenie
powracać	powracanie
powrócić	powrócenie
powracać	powracanie
powrócić	powrócenie
powracać	powracanie
powracać	powracanie
przekonywać	przekonywanie
reprezentować	reprezentowanie
prezentować	prezentowanie
spaść	spadnięcie
spadać	spadanie
spaść	spadnięcie
spaść	spadnięcie
spadać	spadanie
spaść	spadnięcie
spaść	spadnięcie
spaść	spadnięcie
spadać	spadanie
spadać	spadanie
obniżać się	obniżanie się
opadać	opadanie
spadać	spadanie
spaść	spadnięcie
spadać	spadanie
spaść	spasienie
spasać	spasanie
skarmiać	skarmianie
skarmić	skarmienie
towarzyszyć	towarzyszenie
uczyć	uczenie
nauczać	nauczanie
uczyć	uczenie
wspomagać	wspomaganie
wspomóc	wspomożenie
umieścić	umieszczenie
umiejscowić	umiejscowienie
umieszczać	umieszczanie
umiejscawiać	umiejscawianie
usiąść	usiądnięcie
siąść	siądnięcie
usiąść	usiądnięcie
usiąść	usiądnięcie
przechować	przechowanie
utrzymać	utrzymanie
utrzymać	utrzymanie
utrzymać	utrzymanie
utrzymać	utrzymanie
utrzymać	utrzymanie
utrzymywać	utrzymywanie
utrzymywać	utrzymywanie
utrzymywać	utrzymywanie
utrzymywać	utrzymywanie
podtrzymać	podtrzymanie
dodać otuchy	dodanie otuchy
podtrzymać	podtrzymanie
podtrzymywać	podtrzymywanie
dodawać otuchy	dodawanie otuchy
podtrzymywać	podtrzymywanie
zachować	zachowanie
zachowywać	zachowywanie
zachowywać	zachowywanie
wysilić się	wysilenie się
napiąć się	napięcie się
wytężać się	wytężanie się
wytężyć się	wytężenie się
gimnastykować się	gimnastykowanie się
naprężać się	naprężanie się
naprężyć się	naprężenie się
natężać się	natężanie się
natężyć się	natężenie się
sprężać się	sprężanie się
sprężyć się	sprężenie się
nadymać się	nadymanie się
nadąć się	nadęcie się
prężyć się	prężenie się
wyprężać się	wyprężanie się
wyprężyć się	wyprężenie się
dawać z siebie wszystko	dawanie z siebie wszystkiego
dać z siebie wszystko	danie z siebie wszystkiego
przykładać się	przykładanie się
przyłożyć się	przyłożenie się
przysiadać fałdów	przysiadanie fałdów
zatrzymać	zatrzymanie
przysiąść fałdów	przysiądnięcie fałdów
zatrzymać	zatrzymanie
pouczyć się	pouczenie się
zatrzymać	zatrzymanie
silić się	silenie się
sadzić się	sadzenie się
zatrzymywać	zatrzymywanie
zatrzymywać	zatrzymywanie
silić się	silenie się
zatrzymywać	zatrzymywanie
zatrzymywać	zatrzymywanie
spinać się	spinanie się
spiąć się	spięcie się
sprężać się	sprężanie się
sprężyć się	sprężenie się
zbierać siły	zbieranie sił
zebrać siły	zebranie sił
zbierać się w sobie	zbieranie się w sobie
zebrać się w sobie	zebranie się w sobie
demobilizować się	demobilizowanie się
zdemobilizować się	zdemobilizowanie się
zniechęcać się	zniechęcanie się
zniechęcić się	zniechęcenie się
gotować się	gotowanie się
szykować się	szykowanie się
przysposabiać się	przysposabianie się
przygotować się	przygotowanie się
przysposobić się	przysposobienie się
przyszykowywać się	przyszykowywanie się
przyszykować się	przyszykowanie się
zarekwirować	zarekwirowanie
rekwirować	rekwirowanie
siąść	siądnięcie
siadać	siadanie
siadać	siadanie
wiązać	wiązanie
związywać	związywanie
zawiązywać	zawiązywanie
zawiązać	zawiązanie
związać	związanie
związywać	związywanie
związać	związanie
wiązać	wiązanie
związywać	związywanie
związać	związanie
wiązać	wiązanie
związywać	związywanie
wiązać	wiązanie
łączyć	łączenie
wiązać	wiązanie
angażować	angażowanie
wiązać	wiązanie
wiązać	wiązanie
wiązać	wiązanie
wiązać	wiązanie
związywać	związywanie
związać	związanie
wiązać	wiązanie
związywać	związywanie
związać	związanie
wtaszczać	wtaszczanie
wnosić	wnoszenie
przedkładać	przedkładanie
wnieść	wniesienie
wnosić	wnoszenie
wnieść	wniesienie
wnieść	wniesienie
wnosić	wnoszenie
wnosić	wnoszenie
wnieść	wniesienie
odwiedzać	odwiedzanie
odwiedzić	odwiedzenie
rychtować się	rychtowanie się
sposobić się	sposobienie się
zbierać się	zbieranie się
przygotowywać się	przygotowywanie się
wpaść	wpadnięcie
wpadać	wpadanie
oswajać się	oswajanie się
oswoić się	oswojenie się
obyć się	obycie się
wpadać	wpadanie
wpaść	wpadnięcie
przygotować się	przygotowanie się
oswajać się	oswajanie się
obłaskawiać się	obłaskawianie się
oswoić się	oswojenie się
obłaskawić się	obłaskawienie się
wpaść	wpadnięcie
wpadać	wpadanie
wpaść	wpadnięcie
wpadać	wpadanie
wpaść	wdepnięcie
obywać się	obywanie się
aklimatyzować się	aklimatyzowanie się
zaaklimatyzować się	zaaklimatyzowanie się
aklimatyzować się	aklimatyzowanie się
zaaklimatyzować się	zaaklimatyzowanie się
przygotowywać się	przygotowywanie się
przygotować się	przygotowanie się
sprężać się	sprężanie się
sprężyć się	sprężenie się
rozprężać się	rozprężanie się
rozprężyć się	rozprężenie się
skurczyć	skurczenie
rozkurczać	rozkurczanie
rozkurczyć	rozkurczenie
ściągać	ściąganie
kulić	kulenie
ściągnąć	ściągnięcie
ściągnąć	ściągnięcie
wstrzymać	wstrzymanie
wstrzymywać	wstrzymywanie
przyhamowywać	przyhamowywanie
zahamować	zahamowanie
blokować	blokowanie
blokować	blokowanie
blokować	blokowanie
blokować	blokada
blokować	blokowanie
blokować	blokowanie
blokować	bloking
blokować	blokada
blokować	blok
ryglować	ryglowanie
upupiać	upupianie
upupić	upupienie
miotać się	miotanie się
rzucać się	rzucanie się
szamotać się	szamotanie się
szarpać się	szarpanie się
targać się	targanie się
szarpać się	szarpanie się
boksować się	boksowanie się
boksować	boksowanie
szarpać się	szarpanie się
miotać się	miotanie się
szarpać się	szarpanie się
szarpnąć się	szarpnięcie się
wykosztowywać się	wykosztowywanie się
wyżyłowywać się	wyżyłowywanie się
zablokować	zablokowanie
zablokować	zablokowanie
zablokować	zablokowanie
zablokować	zablokowanie
zablokowywać	zablokowywanie
zablokowywać	zablokowywanie
zablokowywać	zablokowywanie
zablokowywać	zablokowywanie
wykosztować się	wykosztowanie się
zablokowywać	zablokowywanie
wyżyłować się	wyżyłowanie się
zdobywać się	zdobywanie się
wysadzać się	wysadzanie się
zdobyć się	zdobycie się
szarpnąć się	szarpnięcie się
wysadzić się	wysadzenie się
przejmować	przejmowanie
wstrząsać	wstrząsanie
przejąć	przejęcie
tamować	tamowanie
wstrząsnąć	wstrząśnięcie
wstrząsać	wstrząsanie
wstrząsnąć	wstrząśnięcie
ustać	ustanie
zatrząść	zatrzęsienie
wstrząsać się	wstrząsanie się
wzdrygać się	wzdryganie się
otrząsać się	otrząsanie się
wzdrygnąć się	wzdrygnięcie się
zachłystywać się	zachłystywanie się
zachłysnąć się	zachłyśnięcie się
zawadzać	zawadzanie
zawadzać	zawadzanie
zawadzać	zawadzanie
zawadzić	zawadzenie
zawadzić	zawadzenie
zawadzić	zawadzenie
wypierdalać	wypierdalanie
spadać	spadanie
wydupiać	wydupianie
spierdalać	spierdalanie
wyginać	wyginanie
wyprowadzić kreta na spacer	wyprowadzenie kreta na spacer
wysrać się	wysranie się
wyprowadzić kreta	wyprowadzenie kreta
smarkać	smarkanie
wydmuchiwać	wydmuchiwanie
smarknąć	smarknięcie
wydmuchać nos	wydmuchanie nosa
wypuścić kozy na pastwisko	wypuszczenie kozy na pastwisko
walnąć kupala	walnięcie kupala
strzelić kupala	strzelenie kupala
walnąć kupsztala	walnięcie kupsztala
postawić figurkę z brązu	postawienie figurki z brązu
postawić kloca	postawienie kloca
sądzić	sądzenie
sądzić	sądzenie
sądzić	sądzenie
stwierdzać	stwierdzanie
konstatować	konstatowanie
twierdzić	twierdzenie
twierdzić	twierdzenie
skazać	skazanie
skazywać	skazywanie
skazywać	skazywanie
wyrokować	wyrokowanie
zawyrokować	zawyrokowanie
zawyrokować	zawyrokowanie
decydować się	decydowanie się
ważyć się	ważenie się
namyślać się	namyślanie się
zdecydować	zdecydowanie
zadecydować	zadecydowanie
postanawiać	postanawianie
zdecydować się	zdecydowanie się
zacinać się	zacinanie się
blokować się	blokowanie się
zablokowywać się	zablokowywanie się
zaciąć się	zacięcie się
zablokować się	zablokowanie się
krztusić się	krztuszenie się
dławić się	dławienie się
zakrztusić się	zakrztuszenie się
zadławić się	zadławienie się
rozstrzygnąć	rozstrzygnięcie
zawieszać się	zawieszanie się
zawiesić się	zawieszenie się
zacinać się	zacinanie się
jąkać się	jąkanie się
zająkiwać się	zająkiwanie się
stękać	stękanie
zaciąć się	zacięcie się
zająknąć się	zająknięcie się
stęknąć	stęknięcie
sędziować	sędziowanie
ranić się	ranienie się
zacinać się	zacinanie się
skaleczyć się	skaleczenie się
zranić się	zranienie się
zaciąć się	zacięcie się
składać się	składanie się
złożyć się	złożenie się
zamykać się	zamykanie się
zamknąć się	zamknięcie się
ściskać się	ściskanie się
zacinać się	zacinanie się
zaciskać się	zaciskanie się
zwierać się	zwieranie się
ścisnąć się	ściśnięcie się
zaciąć się	zacięcie się
zacisnąć się	zaciśnięcie się
zewrzeć się	zwarcie się
zacinać się	zacinanie się
przypuszczać	przypuszczanie
przypuścić	przypuszczenie
udźwignąć	udźwignięcie
uważać	uważanie
złączyć	złączenie
złączyć	złączenie
złączać	złączanie
łączyć	łączenie
połączyć	połączenie
połączyć	połączenie
przyłączać	przyłączanie
przyłączać	przyłączanie
przyłączać	przyłączanie
przyłączyć	przyłączenie
przyłączyć	przyłączenie
przyłączyć	przyłączenie
włączać	włączanie
włączać	włączanie
włączać	włączanie
włączyć	włączenie
włączyć	włączenie
włączyć	włączenie
odkręcić	odkręcenie
odkręcić	odkręcenie
odkręcać	odkręcanie
odkręcać kurek	odkręcanie kurka
odkręcić kurek	odkręcenie kurka
odkręcać wodę	odkręcanie wody
odkręcać gaz	odkręcanie gazu
odkręcić wodę	odkręcenie wody
odkręcić gaz	odkręcenie gazu
pomyśleć	pomyślenie
porozmyślać	porozmyślanie
pozastanawiać się	pozastanawianie się
pokojarzyć	pokojarzenie
sznurować	sznurowanie
wyłączyć	wyłączenie
wyłączyć	wyłączenie
wyłączać	wyłączanie
wyłączać	wyłączanie
wyłączać	wyłączanie
wykluczać	wykluczanie
zadrżeć	zadrżenie
zadrgać	zadrganie
wykluczyć	wykluczenie
zatrząść się	zatrzęsienie się
zadrżeć	zadrżenie
przerazić się	przerażenie się
zatrwożyć się	zatrwożenie się
spietrać się	spietranie się
przestraszać się	przestraszanie się
tchórzyć	tchórzenie
wystraszać się	wystraszanie się
wystraszyć się	wystraszenie się
zadrżeć	zadrżenie
zadrgać	zadrganie
zakręcić się	zakręcenie się
kręcić się	kręcenie się
obchodzić	obchodzenie
zakręcić się	zakręcenie się
obejść	obejście
okrążyć	okrążenie
zakręcić się	zakręcenie się
zesztywnieć	zesztywnienie
zesztywnieć	zesztywnienie
zdrętwieć	zdrętwienie
zesztywnieć	zesztywnienie
zesztywnieć	zesztywnienie
sztywnieć	sztywnienie
stroszyć się	stroszenie się
jeżyć się	jeżenie się
najeżać się	najeżanie się
napuszać się	napuszanie się
puszyć się	puszenie się
zjeżać się	zjeżanie się
stroszyć się	stroszenie się
jeżyć się	jeżenie się
najeżać się	najeżanie się
zjeżać się	zjeżanie się
stawać dęba	stawanie dęba
nastroszyć się	nastroszenie się
najeżyć się	najeżenie się
napuszyć się	napuszenie się
zjeżyć się	zjeżenie się
nastroszyć się	nastroszenie się
najeżyć się	najeżenie się
zjeżyć się	zjeżenie się
stanąć dęba	stanięcie dęba
sterczeć	sterczenie
stać	stanie
odstawać	odstawanie
stać sztorcem	stanie sztorcem
sterczeć	sterczenie
garbić się	garbienie się
pytać się	pytanie się
zapytywać się	zapytywanie się
zwracać się z pytaniem	zwracanie się z pytaniem
zagabywać	zagabywanie
nagabnąć	nagabnięcie
spytać się	spytanie się
zapytać się	zapytanie się
zwrócić się z pytaniem	zwrócenie się z pytaniem
wpaść	wpadnięcie
zakochać się	zakochanie się
wpadać	wpadanie
związać	związanie
grać w karty	granie w karty
grać w szachy	granie w szachy
zaszachować	zaszachowanie
dać szacha	danie szacha
zamatować	zamatowanie
dać mata	danie mata
matować	matowanie
szachować	szachowanie
ruszać się	ruszanie się
robić ruch	robienie ruchu
rugować	rugowanie
zakręcić	zakręcenie
zakręcić	zakręcenie
zakręcić	zakręcenie
zakręcić	zakręcenie
zakręcić	zakręcenie
zakręcać	zakręcanie
zakręcać	zakręcanie
zakręcać	zakręcanie
zakręcać	zakręcanie
skręcić	skręcenie
wpaść	wpadnięcie
skręcać	skręcanie
wpadać	wpadanie
skręcać	skręcanie
wpaść	wpadnięcie
skręcić	skręcenie
skręcić	skręcenie
skręcić	skręcenie
wpadać	wpadanie
wpaść	wpadnięcie
wpadać	wpadanie
wpaść	wpadnięcie
spodziewać się	spodziewanie się
spodziewać się dziecka	spodziewanie się dziecka
założyć	założenie
zakładać	zakładanie
założyć	założenie
zakładać	zakładanie
założyć	założenie
zakładać	zakładanie
założyć	założenie
zakładać	zakładanie
zakładać	zakładanie
założyć	założenie
założyć	założenie
zakładać	zakładanie
założyć	założenie
zakładać	zakładanie
zakładać	zakładanie
założyć	założenie
zdążać	zdążanie
pojawiać się	pojawianie się
zjawiać się	zjawianie się
zdążyć	zdążenie
zdążać	zdążanie
czytać	czytanie
wczytywać	wczytywanie
wczytać	wczytanie
skorzystać	skorzystanie
oczekiwać	oczekiwanie
oczekiwać	oczekiwanie
oddać	oddanie
oddawać	oddawanie
oddać	oddanie
oddawać	oddawanie
odzwierciedlić	odzwierciedlenie
oddać	oddanie
odzwierciedlać	odzwierciedlanie
oddawać	oddawanie
oddać	oddanie
oddawać	oddawanie
skręcić	skręcenie
zamknąć	zamknięcie
zamknąć	zamknięcie
zamknąć	zamknięcie
zamknąć	zamknięcie
zamknąć	zamknięcie
zamknąć	zamknięcie
zamykać	zamykanie
zamykać	zamykanie
zamykać	zamykanie
zamykać	zamykanie
zamykać	zamykanie
zamykać	zamykanie
zamykać	zamykanie
zawrzeć	zawarcie
zawrzeć znajomość	zawarcie znajomości
zawrzeć	zawrzenie
zawrzeć	zawrzenie
zawrzeć	zawrzenie
zawierać znajomość	zawieranie znajomości
zawierać	zawieranie
zawierać	zawieranie
zawierać	zawieranie
objąć	objęcie
objąć	objęcie
obejmować	obejmowanie
mieścić	mieszczenie
zmieścić	zmieszczenie
zmieścić	zmieszczenie
zmieścić	zmieszczenie
związać	związanie
związać	związanie
związać	związanie
związywać	związywanie
związywać	związywanie
związywać	związywanie
związywać	związywanie
związywać	związywanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązać	zawiązanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
zawiązywać	zawiązywanie
wiązać	wiązanie
nawlekać	nawlekanie
nanizywać	nanizywanie
nizać	nizanie
nawlec	nawleczenie
nanizać	nanizanie
sztukować	sztukowanie
doszywać	doszywanie
doszyć	doszycie
doszywać	doszywanie
doszyć	doszycie
ukręcić	ukręcenie
kręcić	kręcenie
ukręcić	ukręcenie
kręcić	kręcenie
ukręcić	ukręcenie
supłać	supłanie
zasupływać	zasupływanie
zasupłać	zasupłanie
supłać	supłanie
wysupływać	wysupływanie
wysupłać	wysupłanie
wysupłać	wysupłanie
zajmować	zajmowanie
zająć	zajęcie
konfiskować	konfiskowanie
skonfiskować	skonfiskowanie
konfiskować	konfiskowanie
sensybilizować	sensybilizowanie
