cisnąć	ciskać
zebrać	zbierać
zebrać	zbierać
zebrać	zbierać
urwać	urywać
urwać	urywać
oderwać	odrywać
oderwać	odrywać
oderwać	odrywać
oderwać	odrywać
pozbierać myśli	zbierać myśli
uzupełnić	uzupełniać
dopełnić	dopełniać
dopełnić	dopełniać
dopełnić	dopełniać
wyrwać	wyrywać
wyrwać	wyrywać
wyrwać	wyrywać
zakrwawić	zakrwawiać
pomiąć	miąć
załatać	łatać
załatać	łatać
zszyć	zszywać
zszyć	zszywać
zszyć	zszywać
zwinąć	zwijać
zrolować	rolować
zmiętosić	miętosić
zatłuścić	tłuścić
przepocić	przepacać
zapocić	zapacać
zadrukować	zadrukowywać
przestudiować	studiować
zgłębić	zgłębiać
zgłębić	zgłębiać
zabłocić	błocić
wytrzeć	wycierać
napchać	napychać
wybrakować	brakować
obrosnąć	obrastać
wszywać	wszyć
wszyć	wszywać
wypruć	wypruwać
obrosnąć	obrastać
porosnąć	porastać
obwieść	obwodzić
utkać	tkać
oprowadzić	oprowadzać
obwieść	obwodzić
utkać	utykać
utkać	utykać
uszczelnić	uszczelniać
upchać	upychać
upchnąć	upychać
utkać	utykać
utwardzić	utwardzać
usztywnić	usztywniać
odróżnić	odróżniać
odgraniczyć	odgraniczać
rozgraniczyć	rozgraniczać
rozdzielić	dzielić
rozdzielić	rozdzielać
rozdzielić	rozdzielać
przedzielić	przedzielać
sfalować	falować
sfałdować	fałdować
ułożyć	układać
wpleść	wplatać
wciąć	wcinać
zabrnąć	brnąć
zapuścić się	zapuszczać się
zagłębić się	zagłębiać się
zabrnąć	brnąć
rozrobić	rozrabiać
zmienić	zmieniać
śmignąć	śmigać
śmignąć	śmigać
śmignąć	śmigać
kiwnąć	kiwać
zerwać	zrywać
zerwać	zrywać
zerwać	zrywać
zerwać	zrywać
zerwać	zrywać
zerwać	zrywać
utorować	torować
utorować	torować
przerwać	przerywać
przerwać	przerywać
przerwać	przerywać
przerzedzić	przerzedzać
przerzedzić	przerzedzać
przetrzebić	przetrzebiać
przetrzebić	przetrzebiać
przetrzebić	przetrzebiać
wytrzebić	trzebić
wytrzebić	trzebić
wytrzebić	trzebić
wytrzebić	trzebić
wykastrować	kastrować
wykastrować	kastrować
wykastrować	kastrować
rozstać się	rozstawać się
rozstać się	rozstawać się
rozstać się	rozstawać się
opuścić	opuszczać
opuścić	opuszczać
przeoczyć	przeoczać
zostawić	zostawiać
zostawić	zostawiać
zostawić	zostawiać
zostawić	zostawiać
zostawić	zostawiać
pozostawić	pozostawiać
pozostawić	pozostawiać
pozostawić	pozostawiać
pozostawić	pozostawiać
pozostawić	pozostawiać
zostać	zostawać
zostać	zostawać
pozostać	pozostawać
pozostać	pozostawać
pozostać	pozostawać
odłożyć	odkładać
zachować się	zachowywać się
przeżyć	przeżywać
zadziałać	działać
podziałać	działać
podziałać	działać
oglądnąć	oglądać
spiąć	spinać
sczepić	sczepiać
rozczepić	rozczepiać
spiąć	spinać
spiąć	spinać
skotłować	kotłować
przewiązać	przewiązywać
wytracić	wytracać
przemoczyć	przemaczać
nadszarpnąć	nadszarpywać
przegiąć	przeginać
przychylić	przychylać
schylić	schylać
skłonić	skłaniać
przegiąć	przeginać
zgiąć	zginać
wygiąć	wyginać
przegiąć pałę	przeginać pałę
przegiąć	przeginać
przeciągnąć strunę	przeciągać strunę
przekroczyć miarę	przekraczać miarę
przebrać miarę	przebierać miarę
przekroczyć miarkę	przekraczać miarkę
przebrać miarkę	przebierać miarkę
przeholować	przeholowywać
zagalopować się	zagalopowywać się
rozprostować	rozprostowywać
wyprostować	wyprostowywać
naprostować	naprostowywać
odgiąć	odginać
rozgiąć	rozginać
wyrównać	wyrównywać
skrzywić	skrzywiać
wykrzywić	wykrzywiać
wykoślawić	wykoślawiać
zakrzywić	zakrzywiać
rozprostować	rozprostowywać
wyprostować	wyprostowywać
wyprostować się	wyprostowywać się
odgiąć się	odginać się
rozgiąć się	rozginać się
postrzec	postrzegać
zwinąć	zwijać
spostrzec	spostrzegać
wyciągnąć	wyciągać
wyciągnąć	wyciągać
wyciągnąć	wyciągać
wyciągnąć	wyciągać
zapakować	pakować
wyniknąć	wynikać
zdać	zdawać
zdać	zdawać
zdać	zdawać
zdać	zdawać
zdać	zdawać
zaliczyć	zaliczać
podać	podawać
porzucić	porzucać
zaprzestać	zaprzestawać
przestać	przestawać
oślepnąć	ślepnąć
ogłuchnąć	głuchnąć
kupić	kupować
kupić	kupować
kupić	kupować
zaobserwować	obserwować
odejść	odchodzić
odejść	odchodzić
zwolnić się	zwalniać się
odjechać	odjeżdżać
odejść	odchodzić
odejść	odchodzić
odejść	odchodzić
zadowolić się	zadowalać się
ukontentować się	kontentować się
odejść	odchodzić
odleźć	odłazić
odejść	odchodzić
odejść	odchodzić
odnieść	odnosić
odnieść	odnosić
obciągnąć	obciągać
obciągnąć chuja	obciągać chuja
obciągnąć loda	obciągać loda
obciągnąć fiuta	obciągać fiuta
zrobić gałę	robić gałę
zrobić laskę	robić laskę
zrobić loda	robić loda
wziąć do buzi	brać do buzi
odnieść	odnosić
podjąć	podejmować
podlec	podlegać
zwrócić uwagę	zwracać uwagę
popowstawać	powstawać
przejść	przechodzić
opuścić się	opuszczać się
opuścić się	opuszczać się
zapuścić	zapuszczać
przejść	przechodzić
zapuścić	zapuszczać
przejść	przechodzić
zapuścić	zapuszczać
przejść	przechodzić
wyhodować	hodować
zapuścić	zapuszczać
przejść	przechodzić
odpalić	odpalać
zapuścić	zapuszczać
wyhodować	hodować
przejść	przechodzić
zaświecić	zaświecać
przejść	przechodzić
odpalić	odpalać
przejść	przechodzić
odpalić	odpalać
przejść	przechodzić
odpalić	odpalać
przejść	przechodzić
zdetonować	detonować
odpalić	odpalać
zabagnić	zabagniać
zabagnić	zabagniać
zaciemnić	zaciemniać
zaciemnić	zaciemniać
namotać	motać
namotać	motać
splątać	splątywać
zadrutować	zadrutowywać
zlutować	lutować
znitować	nitować
zespawać	spawać
stopić	stapiać
stopić	stapiać
wyśrubować	wyśrubowywać
ześrubować	ześrubowywać
skręcić	skręcać
rozważyć	rozważać
wyporcjować	porcjować
spienić się	spieniać się
spakować	pakować
wpakować	pakować
wpakować	pakować
poskąpić	skąpić
wydzielić	wydzielać
wydestylować	destylować
zaagitować	agitować
przejść	przechodzić
przejść	przechodzić
przejść	przechodzić
nasycić się	nasycać się
wmówić	wmawiać
weprzeć	wpierać
przerobić	przerabiać
weprzeć	wpierać
zgalaretowacieć	galaretowacieć
przybyć	przybywać
opieprzyć	opieprzać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
rzucić	rzucać
przyjąć	przyjmować
wcielić	wcielać
przyjąć	przyjmować
przyjąć	przyjmować
przyjąć	przyjmować
zapłacić	płacić
wyświadczyć	wyświadczać
opieprzyć	opieprzać
opierdolić	opierdalać
opierdzielić	opierdzielać
rozkleić	rozklejać
rozlepić	rozlepiać
rozkleić	rozklejać
rozlepić	rozlepiać
rozgotować	rozgotowywać
rozkleić	rozklejać
rozkleić	rozklejać
rozkawałkować	rozkawałkowywać
rozwłóknić	rozwłókniać
rozdrobić	rozdrabiać
zadekować	dekować
odmienić	odmieniać
wystosować	wystosowywać
ostrugać	ostrugiwać
wystrugać	wystrugiwać
ostrugać	strugać
ostrugać	strugać
uciułać	ciułać
wyolbrzymić	wyolbrzymiać
zaintonować	intonować
podjudzić	podjudzać
upolować	polować
zaatakować	atakować
rozpuścić	rozpuszczać
wybielić	wybielać
wyługować	wyługowywać
wyługować	wyługowywać
wyługować	wyługowywać
wyłyżeczkować	łyżeczkować
podzielić	dzielić
podzielić	podzielać
podzielić	dzielić
napaść	napadać
zaatakować	atakować
zaatakować	atakować
zaatakować	atakować
zaatakować	atakować
nabrzęknąć	nabrzękać
oczarować	oczarowywać
naładować	naładowywać
zasilić	zasilać
naładować	naładowywać
naładować	naładowywać
załadować	załadowywać
przeciążyć	przeciążać
naładować	naładowywać
przeładować	przeładowywać
napełnić	napełniać
załadować	załadowywać
rozładować	rozładowywać
rozładować	rozładowywać
rozładować	rozładowywać
odreagować	odreagowywać
rozładować	rozładowywać
wyładować	wyładowywać
wyładować	wyładowywać
przeładować	przeładowywać
obciążyć	obciążać
przeciążyć	przeciążać
przeładować	przeładowywać
doładować	doładowywać
doładować	doładowywać
darować	darowywać
złożyć w darze	składać w darze
doładować	doładowywać
zaofiarować	zaofiarowywać
nakłonić się	nakłaniać się
skłonić się	skłaniać się
zaostrzyć	zaostrzać
obostrzyć	obostrzać
dać	dawać
dać	dawać
dać	dawać
dać	dawać
dać	dawać
dać	dawać
dać	dawać
dać	dawać
zdjąć	zdejmować
zdjąć	zdejmować
zdjąć	zdejmować
zdjąć	zdejmować
zdjąć	zdejmować
odurzyć	odurzać
skołtunić	kołtunić
skudłać	kudłać
skudłacić	kudłacić
znieść	znosić
znieść	znosić
znieść	znosić
znieść	znosić
znieść	znosić
znieść	znosić
znieść	znosić
znieść	znosić
ścierpieć	cierpieć
przeczekać	przeczekiwać
przeżyć	przeżywać
przeżyć	przeżywać
szczypnąć	szczypać
podszczypać	podszczypywać
podszczypnąć	podszczypywać
podskubać	podskubywać
skubnąć	skubać
smyknąć	smykać
szczypnąć	szczypać
podskubać	podskubywać
wyskubać	wyskubywać
wyskubnąć	wyskubywać
wtulić	wtulać
wcisnąć	wciskać
utworzyć	tworzyć
wprowadzić	wprowadzać
wprowadzić	wprowadzać
wpisać	wpisywać
wprowadzić	wprowadzać
wprowadzić	wprowadzać
odczuć	odczuwać
odczuć	odczuwać
odczuć	odczuwać
wprowadzić	wprowadzać
wyjść	wychodzić
wyjść	wychodzić
wydostać się	wydostawać się
wyjść	wychodzić
uchylić się	uchylać się
umknąć	umykać
wepchać się	wpychać się
wepchnąć się	wpychać się
wyjść	wychodzić
wcisnąć się	wciskać się
weprzeć się	wpierać się
wtłoczyć się	wtłaczać się
wyjść	wychodzić
władować się	władowywać się
załadować się	załadowywać się
pojawić się	pojawiać się
wepchać się	wpychać się
wpakować się	wpakowywać się
wmeldować się	wmeldowywać się
wtarabanić się	wtarabaniać się
wyjść	wychodzić
wyjść	wychodzić
wyjść	wychodzić
wyjść	wychodzić
wywieść się	wywodzić się
wyjść	wychodzić
wynieść	wynosić
wynieść	wynosić
uczuć	uczuwać
wynieść	wynosić
wyrazić	wyrażać
wyrazić	wyrażać
wpieprzyć się	wpieprzać się
wpierdolić się	wpierdalać się
wtranżolić się	wtranżalać się
wtrynić się	wtryniać się
wynurzyć się	wynurzać się
wywnętrzyć się	wywnętrzać się
wyspowiadać się	spowiadać się
otworzyć duszę	otwierać duszę
odkryć duszę	odkrywać duszę
złożyć	składać
złożyć	składać
złożyć	składać
zmusić	zmuszać
przyłożyć nóż do gardła	przykładać nóż do gardła
postawić pod ścianą	stawiać pod ścianą
zadać gwałt	zadawać gwałt
dojść	dochodzić
dolecieć	dolatywać
dojść	dochodzić
oszczędzić	oszczędzać
oszczędzić	oszczędzać
dojść	dochodzić
dojść	dochodzić
osiągnąć	osiągać
dojść	dochodzić
otrzepać	otrzepywać
zestawić	zestawiać
zestawić	zestawiać
dojść	dochodzić
dojść	dochodzić
dojść	dochodzić
zblaknąć	blaknąć
zjaśnieć	jaśnieć
dojść	dochodzić
zblednąć	blednąć
zbladnąć	bladnąć
zgasnąć	gasnąć
zagasnąć	zagasać
nastawić	nastawiać
nastawić	nastawiać
spłowieć	płowieć
odbarwić się	odbarwiać się
puścić	puszczać
nadstawić	nadstawiać
odrzucić	odrzucać
odrzucić	odrzucać
odrzucić	odrzucać
odrzucić	odrzucać
powrócić	powracać
powrócić	powracać
powrócić	powracać
powrócić	powracać
spaść	spadać
spaść	spadać
spaść	spadać
spaść	spadać
wspomóc	wspomagać
umieścić	umieszczać
umiejscowić	umiejscawiać
siąść	siadać
przechować	przechowywać
utrzymać	utrzymywać
utrzymać	utrzymywać
utrzymać	utrzymywać
utrzymać	utrzymywać
utrzymać	utrzymywać
podtrzymać	podtrzymywać
dodać otuchy	dodawać otuchy
podtrzymać	podtrzymywać
zachować	zachowywać
wysilić się	wysilać się
napiąć się	napinać się
wytężyć się	wytężać się
naprężyć się	naprężać się
natężyć się	natężać się
sprężyć się	sprężać się
nadąć się	nadymać się
wyprężyć się	wyprężać się
dać z siebie wszystko	dawać z siebie wszystko
przyłożyć się	przykładać się
zatrzymać	zatrzymywać
przysiąść fałdów	przysiadać fałdów
zatrzymać	zatrzymywać
zatrzymać	zatrzymywać
spiąć się	spinać się
sprężyć się	sprężać się
zebrać siły	zbierać siły
zebrać się w sobie	zbierać się w sobie
zdemobilizować się	demobilizować się
zniechęcić się	zniechęcać się
przygotować się	przygotowywać się
przysposobić się	przysposabiać się
przyszykować się	przyszykowywać się
zarekwirować	rekwirować
siąść	siadać
zawiązać	wiązać
zawiązać	zawiązywać
związać	związywać
związać	wiązać
związać	związywać
związać	związywać
związać	wiązać
związać	wiązać
związać	związywać
związać	wiązać
związać	związywać
wnieść	wnosić
wnieść	wnosić
wnieść	wnosić
wnieść	wnosić
odwiedzić	odwiedzać
wpaść	wpadać
oswoić się	oswajać się
obyć się	obywać się
wpaść	wpadać
przygotować się	przygotowywać się
oswoić się	oswajać się
obłaskawić się	obłaskawiać się
wpaść	wpadać
wpaść	wpadać
zaaklimatyzować się	aklimatyzować się
zaaklimatyzować się	aklimatyzować się
przygotować się	przygotowywać się
sprężyć się	sprężać się
rozprężyć się	rozprężać się
skurczyć	kurczyć
rozkurczyć	rozkurczać
ściągnąć	ściągać
wstrzymać	wstrzymywać
upupić	upupiać
szarpnąć się	szarpać się
zablokować	zablokowywać
zablokować	blokować
zablokować	zablokowywać
zablokować	blokować
zablokować	zablokowywać
zablokować	blokować
zablokować	zablokowywać
zablokować	blokować
wykosztować się	wykosztowywać się
wyżyłować się	wyżyłowywać się
zdobyć się	zdobywać się
wysadzić się	wysadzać się
przejąć	przejmować
wstrząsnąć	wstrząsać
wstrząsnąć	wstrząsać
otrząsać się	otrząsnąć się
wzdrygnąć się	wzdrygać się
zachłysnąć się	zachłystywać się
zawadzić	zawadzać
twierdzić	stwierdzić
skazać	skazywać
zawyrokować	wyrokować
zawyrokować	wyrokować
zdecydować	decydować
zadecydować	decydować
zdecydować się	decydować się
zaciąć się	zacinać się
zablokować się	zablokowywać się
zakrztusić się	krztusić się
zadławić się	dławić się
rozstrzygnąć	rozstrzygać
zawiesić się	zawieszać się
zaciąć się	zacinać się
zająknąć się	zająkiwać się
stęknąć	stękać
skaleczyć się	kaleczyć się
zranić się	ranić się
zaciąć się	zacinać się
zamknąć się	zamykać się
ścisnąć się	ściskać się
zaciąć się	zacinać się
zacisnąć się	zaciskać się
zewrzeć się	zwierać się
przypuścić	przypuszczać
złączyć	złączać
złączyć	złączać
połączyć	łączyć
przyłączyć	przyłączać
przyłączyć	przyłączać
przyłączyć	przyłączać
włączyć	włączać
włączyć	włączać
włączyć	włączać
odkręcić	odkręcać
odkręcić	odkręcać
odkręcić kurek	odkręcać kurek
odkręcić wodę	odkręcać wodę
odkręcić gaz	odkręcać gaz
wyłączyć	wyłączać
wyłączyć	wyłączać
wykluczyć	wykluczać
wystraszyć się	wystraszać się
zadrżeć	drżeć
zadrgać	drgać
zesztywnieć	sztywnieć
zesztywnieć	sztywnieć
nastroszyć się	stroszyć się
najeżyć się	najeżać się
napuszyć się	napuszać się
zjeżyć się	zjeżać się
najeżyć się	najeżać się
zjeżyć się	zjeżać się
stanąć dęba	stawać dęba
nagabnąć	nagabywać
spytać się	pytać się
zapytać się	pytać się
zapytać się	zapytywać się
zwrócić się z pytaniem	zwracać się z pytaniem
związać	związywać
zakręcić	zakręcać
zakręcić	zakręcać
zakręcić	zakręcać
zakręcić	zakręcać
zakręcić	zakręcać
skręcić	skręcać
wpaść	wpadać
wpaść	wpadać
skręcić	skręcać
skręcić	skręcać
wpaść	wpadać
założyć	zakładać
założyć	zakładać
założyć	zakładać
założyć	zakładać
założyć	zakładać
założyć	zakładać
założyć	zakładać
założyć	zakładać
wczytać	wczytywać
oddać	oddawać
oddać	oddawać
odzwierciedlić	odzwierciedlać
oddać	oddawać
oddać	oddawać
zamknąć	zamykać
zamknąć	zamykać
zamknąć	zamykać
zamknąć	zamykać
zamknąć	zamykać
zamknąć	zamykać
zawrzeć	zawierać
zawrzeć znajomość	zawierać znajomość
objąć	obejmować
objąć	obejmować
zmieścić	mieścić
związać	wiązać
związać	związywać
związać	wiązać
związać	związywać
związać	wiązać
związać	związywać
zawiązać	zawiązywać
zawiązać	zawiązywać
zawiązać	zawiązywać
zawiązać	zawiązywać
zawiązać	zawiązywać
zawiązać	zawiązywać
zawiązać	zawiązywać
nawlec	nawlekać
nanizać	nanizywać
doszyć	doszywać
doszyć	doszywać
ukręcić	kręcić
ukręcić	kręcić
zasupłać	zasupływać
wysupłać	wysupływać
zająć	zajmować
skonfiskować	konfiskować
obwałować	obwałowywać
zwerbalizować	werbalizować
nadpłynąć	nadpływać
naderżnąć	nadrzynać
nadeżreć	nadżerać
nadlecieć	nadlatywać
przyfrunąć	przyfruwać
nadfrunąć	nadfruwać
przylecieć	przylatywać
spoić	spajać
uwić	wić
zesznurować	sznurować
zesznurować	sznurować
spleść	splatać
przepleść	przeplatać
przetkać	przetykać
przetknąć	przetykać
przetkać	przetykać
przetkać	przetykać
przetknąć	przetykać
przetkać	przetykać
przewlec	przewlekać
przewlec	przewlekać
przewlec	przewlekać
przewlec	przewlekać
ruszyć się	ruszać się
zrobić ruch	robić ruch
zakwasić się	zakwaszać się
ukwasić się	ukwaszać się
ukisić się	kisić się
zakisić się	zakiszać się
zamarynować się	marynować się
skontaminować	kontaminować
przesiać	przesiewać
zweryfikować	weryfikować
przesiać	przesiewać
przesiać	siać
przesiać	przesiewać
zweryfikować	weryfikować
zdiagnozować	diagnozować
zdiagnozować	diagnozować
przepchnąć	przepychać
przepchnąć	przepychać
przepchnąć	przepychać
przepchnąć	przepychać
przepchnąć	przepychać
przepchać	przepychać
przepchać	przepychać
przepchać	przepychać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
przeciągnąć	przeciągać
poprzedzić	poprzedzać
wziąć	brać
przegonić	przeganiać
prześcignąć	prześcigać
poprzedzić	poprzedzać
poprzedzić	poprzedzać
udrożnić	udrożniać
nastąpić	następować
nastąpić	następować
przeczyścić	przeczyszczać
przeczyścić	przeczyszczać
przeczyścić	przeczyszczać
wystąpić	występować
zaopatrzyć	zaopatrywać
pomnożyć się	pomnażać się
przecisnąć	przeciskać
rozmnożyć się	rozmnażać się
wyodrębnić się	wyodrębniać się
odciąć się	odcinać się
wydzielić się	wydzielać się
zindywidualizować się	indywidualizować się
ujednolicić się	ujednolicać się
zróżnicować się	różnicować się
zróżnicować się	różnicować się
odkryć	odkrywać
odkryć	odkrywać
odkryć	odkrywać
oprzeć	opierać
oprzeć się	opierać się
zasadzić się	zasadzać się
utknąć	utykać
utknąć	utykać
uwięznąć	więznąć
ugrzęznąć	grzęznąć
podejść	podchodzić
zajść	zachodzić
ugrzęznąć	grzęznąć
ugrzęznąć	grzęznąć
podejść	podchodzić
rozwlec	rozwlekać
rozwlec	rozwlekać
rozwlec	rozwlekać
rozwlec	rozwlekać
zakazić	zakażać
zarazić	zarażać
zarazić	zarażać
postawić	stawiać
wybudować	budować
wylecieć	wylatywać
wylecieć	wylatywać
wylecieć	wylatywać
postawić	stawiać
postawić	stawiać
zafundować	fundować
wylecieć	wylatywać
postawić	stawiać
wylecieć	wylatywać
odbąknąć	odbąkiwać
oddzwonić	oddzwaniać
odtelefonować	odtelefonowywać
podłużyć	podłużać
dać odpowiedź	dawać odpowiedź
odwlec	odwlekać
udzielić odpowiedzi	udzielać odpowiedzi
odeprzeć	odpierać
odłożyć	odkładać
odłożyć	odkładać
odpowiedzieć	odpowiadać
odpowiedzieć	odpowiadać
odpowiedzieć	odpowiadać
oddać	oddawać
wyjęzyczyć się	wyjęzyczać się
wyrazić się	wyrażać się
wysłowić się	wysławiać się
wyszczególnić się	wyszczególniać się
dopełnić się	dopełniać się
uzupełnić się	uzupełniać się
rozróżnić	rozróżniać
rozeznać	rozeznawać
poznać	poznawać
rozróżnić	rozróżniać
poznać	poznawać
poznać	poznawać
uchylić	uchylać
zaznajomić	zaznajamiać
zaaklimatyzować	aklimatyzować
przenieść	przenosić
rozpić	rozpijać
dać awans	dawać awans
ostrzyc	strzyc
obciąć	obcinać
wycieniować	wycieniowywać
odwołać się	odwoływać się
zaapelować	apelować
oddalić	oddalać
oddalić	oddalać
oddalić	oddalać
oddalić	oddalać
przesiedlić	przesiedlać
przenieść	przenosić
wystylizować	stylizować
uklasycznić	uklasyczniać
odsunąć	odsuwać
przelecieć	przelatywać
odsunąć	odsuwać
przenieść	przenosić
odsunąć	odsuwać
odsunąć	odsuwać
upoetycznić	upoetyczniać
wystukać	wystukiwać
okadzić	okadzać
zdać się	zdawać się
wyprodukować	produkować
zrealizować	realizować
napompować	pompować
przełożyć	przekładać
przełożyć	przekładać
przełożyć	przekładać
przełożyć	przekładać
przełożyć	przekładać
przybliżyć	przybliżać
podetknąć	podtykać
odegrać	odgrywać
zaserwować	serwować
ułożyć	układać
ułożyć	układać
przetłumaczyć	tłumaczyć
przetłumaczyć	tłumaczyć
rozmienić	rozmieniać
znaleźć	znajdywać
znaleźć	znajdować
wytłumaczyć	tłumaczyć
potraktować	traktować
poddać	poddawać
wracać	wrócić
wrócić	wracać
wskazać	wskazywać
wskazać	wskazywać
wytypować	typować
usprawiedliwić	usprawiedliwiać
usprawiedliwić	usprawiedliwiać
usprawiedliwić	usprawiedliwiać
oblać	oblewać
oblać	oblewać
oblać	oblewać
oblać	oblewać
zapomnieć	zapominać
zapominać	zapomnieć
spotkać	spotykać
dosięgnąć	dosięgać
spotkać	spotykać
dać początek	dawać początek
zrobić pierwszy krok	robić pierwszy krok
zacząć	zaczynać
zacząć	zaczynać
odjąć	odejmować
ująć	ujmować
zacząć	zaczynać
napocząć	napoczynać
naruszyć	naruszać
zacząć	zaczynać
pomniejszyć	pomniejszać
zacząć	zaczynać
zadrzeć	zadzierać
zadrzeć	zadzierać
nadedrzeć	naddzierać
dosięgnąć	dosięgać
trafić	trafiać
ocenzurować	cenzurować
zacerować	cerować
ociosać	ociosywać
wyszyć	wyszywać
wyhaftować	haftować
wyszyć	wyszywać
wycyrklować	cyrklować
wycyrklować	cyrklować
spisać	spisywać
zinwentaryzować	inwentaryzować
zgubić się	gubić się
zapodziać się	zapodziewać się
zawieruszyć się	zawieruszać się
zginąć	ginąć
zawieruszyć się	zawieruszać się
zapodziać się	zapodziewać się
zgubić się	gubić się
zatrzasnąć	zatrzaskiwać
zatrzasnąć	zatrzaskiwać
zgotować	gotować
zawyć	wyć
uderzyć	uderzać
uderzyć	uderzać
obszyć	obszywać
obrębić	obrębiać
obszyć	obszywać
uszyć	szyć
oblamować	oblamowywać
przezimować	zimować
ściąć	ścinać
zgilotynować	gilotynować
zgilotynować	gilotynować
zgilotynować	gilotynować
nabłyszczyć	nabłyszczać
wypolerować	polerować
wyglancować	glancować
wyglansować	glansować
wyfroterować	froterować
ściąć	ścinać
wygłuszyć	wygłuszać
ściąć	ścinać
walnąć	walić
walnąć	walić
ściąć	ścinać
ściąć	ścinać
ogłuszyć	ogłuszać
skosić	kosić
skosić	kosić
skosić	kosić
skosić	kosić
namagnesować	namagnesowywać
zaakompaniować	akompaniować
zacumować	cumować
przycumować	przycumowywać
napędzić	napędzać
grzmotnąć	grzmocić
nahajcować	hajcować
skrzyżować	krzyżować
skrzyżować	krzyżować
uporządkować	uporządkowywać
zhierarchizować	hierarchizować
zahipnotyzować	hipnotyzować
zatelegrafować	telegrafować
zadepeszować	depeszować
przefaksować	przefaksowywać
przeteleksować	teleksować
zmaleć	maleć
urządzić	urządzać
umeblować	meblować
zmiękczyć	zmiękczać
zmiękczyć	zmiękczać
spalatalizować	palatalizować
powiedzieć	mówić
powiedzieć	powiadać
powiedzieć	mówić
odezwać się	odzywać się
odezwać się	odzywać się
zwielokrotnić się	zwielokrotniać się
podwoić się	podwajać się
pęknąć	pękać
pęknąć	pękać
pęknąć	pękać
pęknąć	pękać
wyrazić się	wyrażać się
wyrazić się	wyrażać się
wybuchnąć	wybuchać
wybuchnąć	wybuchać
wybuchnąć	wybuchać
przemówić	przemawiać
zabrać głos	zabierać głos
wymówić	wymawiać
wymówić	wymawiać
wypomnieć	wypominać
rozwiązać	rozwiązywać
rozwiązać	rozwiązywać
rozwiązać	rozwiązywać
zginąć	ginąć
zginąć	ginąć
zniknąć	znikać
obalić się	obalać się
zniknąć	znikać
zorganizować	organizować
zorganizować	organizować
obelkować	belkować
obielić	obielać
pobielić	pobielać
pobielić	pobielać
zbratać	bratać
opiłować	opiłowywać
spiłować	spiłowywać
zalegalizować	legalizować
zalegalizować	legalizować
obciosać	obciosywać
obetonować	obetonowywać
obielić	obielać
objeść	objadać
obłowić się	obławiać się
obmalować	obmalowywać
obredlić	obredlać
obradlić	obradlać
zaobrączkować	obrączkować
scementować	cementować
dotrzeć	docierać
dotrzeć	docierać
dotrzeć	docierać
chrumknąć	chrumkać
zwrócić się	zwracać się
ubrać w słowa	ubierać w słowa
dotrzeć	docierać
zagłosować	głosować
dopuścić	dopuszczać
przeprowadzić	przeprowadzać
przeprowadzić się	przeprowadzać
przeprowadzić się	przeprowadzać się
doprowadzić	doprowadzać
przeprowadzić	przeprowadzać
pójść	iść
stracić	tracić
stracić	tracić
wycenić	wyceniać
otaksować	taksować
otaksować	taksować
źle wyjść	źle wychodzić
zatankować	tankować
wyłożyć	wykładać
wykleić	wyklejać
zyskać	zyskiwać
wytapetować	tapetować
dobrze wyjść	dobrze wychodzić
zyskać	zyskiwać
wykleić	wyklejać
natapirować	tapirować
przetasować	przetasowywać
ustalić	ustalać
ustalić	ustalać
umówić	umawiać
ustalić	ustalać
umocnić	umacniać
ustalić	ustalać
doprowadzić	doprowadzać
doprowadzić	doprowadzać
zaplanować	planować
zawierzyć	zawierzać
pokazać	pokazywać
pokazać	pokazywać
wyrosnąć	wyrastać
wymienić	wymieniać
wejść	wchodzić
wejść	wchodzić
wejść	wchodzić
wejść	wchodzić
wejść	wchodzić
wniknąć	wnikać
wejść	wchodzić
wejść	wchodzić
wejść	wchodzić
wybrać	wybierać
połączyć się	łączyć się
wybrać numer	wybierać numer
wybrać	wybierać
wezwać	wzywać
wezwać	wzywać
zaapelować	apelować
wnieść apelację	wnosić apelację
złożyć apelację	składać apelację
pójść	iść
pójść	iść
wykonać	wykonywać
wybrać	wybierać
roztrzepać	roztrzepywać
wytrzepać	wytrzepywać
utuczyć się	tuczyć się
trysnąć	tryskać
wybić	wybijać
rozbić	rozbijać
wybić	wybijać
nabić	bić
nabić	nabijać
dostać	dostawać
dosięgnąć	dosięgać
sięgnąć	sięgać
dostać	dostawać
powiesić	wieszać
rozstrzelać	rozstrzeliwać
rozstrzelić	rozstrzeliwać
rozpocząć	rozpoczynać
otworzyć	otwierać
rozchylić	rozchylać
otworzyć	otwierać
otworzyć	otwierać
oprosić się	prosić się
ośmielić	ośmielać
ośmielić się	ośmielać się
poważyć się	poważać się
ośmielić się	ośmielać się
przymówić się	przymawiać się
wmeldować	wmeldowywać
wysłać	wyściełać
wymościć	mościć
wyścielić	wyścielać
stępić się	tępić się
spóźnić się	spóźniać się
opóźnić się	opóźniać się
rozregulować	rozregulowywać
rozregulować	rozregulowywać
wyregulować	wyregulowywać
rozregulować się	rozregulowywać się
