trzmiel	trzmiele i trzmielce|trzmiele
legwan ostroogonowy	legwanowate|legwany
legwan czarny|czarnogwan środkowoamerykański	legwanowate|legwany
legwan nosorogi	legwanowate|legwany
legwan kubański	legwanowate|legwany
pustyniogwan	legwanowate|legwany
legwan szlachetny	legwanowate|legwany
lukrecja	bobowate właściwe|motylkowate właściwe
legwan Darwina	legwanowate|legwany
ostrołódka	bobowate właściwe|motylkowate właściwe
legwan lamparci|gambelia	obróżkogwanowate
prozauropod	prozauropody
gujawa|guajawa|gruszla|guawa|gwajawa|gojawa|psydia	mirtowate
janowiec	bobowate właściwe|motylkowate właściwe
prokompsognat	celofyzy
ceratozaur	ceratozaury
segizaur	celofyzy
podokezaur	celofyzy
geniodektes	ceratozaury
celofyz	celofyzy
megapnozaur	celofyzy
dilofozaur	dilofozaury
drakowenator	dilofozaury
zupajzaur	dilofozaury
kampozaur	celofyzy
czindezaur	herrerazaury
herrerazaur	herrerazaury
taraskozaur	abelizauroidy
genuzaur	abelizauroidy
ozraptor	abelizauroidy
junko zwyczajny|junko	pasówki
pasówka białobrewa	pasówki
pasówka obrożna	pasówki
pasówka białogardła	pasówki
drozdek samotny	drozdowate|drozdy
bagiennik żółtobrewy	pasówki
pasówka śpiewna	pasówki
pipil rudoboczny	pasówki
zaroślak kolumbijski	pasówki
kardynałek czubaty	tanagry
kardynałek czarnogardły	tanagry
tapiranga maskowa	tanagry
tapiranga czarnobrzucha	tanagry
tapiranga szkarłatna	tanagry
tanagra żółtoskrzydła|tangarka żółtoskrzydła	tanagry
tangarka wspaniała	tanagry
tersyna	tanagry
błękitniczek czerwononogi|sai czerwononogi	tanagry
seledynek	tanagry
haczykodziobek śniady	tanagry
haczykodziobek czarniawy	tanagry
kubanik większy	tanagry
darwinka mała	tanagry
kłowacz kaktusowy	tanagry
kłowacz namorzynowy	tanagry
kokośnik	tanagry
pluszogłówka	tanagry
piranga pąsowa	kardynały
piranga szkarłatna	kardynały
łuszcz czarnogłowy	kardynały
łuszcz strojny	kardynały
indygówka wenezuelska	kardynały
ziarnołusk szary	kardynały
łuszczyk wielobarwny|łuszcz papieski	kardynały
cukrzyk	cukrzyki
tybetańczyk	tybetańczyki
złotogłówka	złotogłówki
mimik	mimiki
jagodówka	jagodówki
palmowiec	palmowce
persówka|krzyczek arabski	persówki
długobieg	długobiegi
drozdaczek ciemny|drozdoń ciemny	drozdowate|drozdy
drozdoń tajgowy	drozdowate|drozdy
drozdoń pstry	drozdowate|drozdy
drozdoń boniński	drozdowate|drozdy
drozdoń australijski	drozdowate|drozdy
rudodrozd|drozdoń złotogardły	drozdowate|drozdy
pustułka skalna	sokoły
pustułka malgaska	sokoły
pustułka maskareńska	sokoły
pustułka seszelska	sokoły
pustułka plamista	sokoły
drozdek brunatny	drozdowate|drozdy
pustułka australijska	sokoły
pustułka amerykańska	sokoły
drozdek szarolicy	drozdowate|drozdy
drozdek okularowy	drozdowate|drozdy
pustułka stepowa	sokoły
pustułka rdzawa	sokoły
drozdek rudy	drozdowate|drozdy
pustułka prążkowana	sokoły
kobczyk amurski	sokoły
czarnouch	reliktowce
reliktowiec mały	reliktowce
reliktowiec górski	reliktowce
raróg górski	sokoły
barglik	bargliki
raróg indyjski	sokoły
łazik zaroślowy	bargliki
łazik skalny	bargliki
łazik południowy	bargliki
nosoczub szmaragdowy	szerokodzioby
szerokodziób białoskrzydły|szerokodziób wielkodzioby	szerokodzioby
brodawnik aksamitny	szerokodzioby
gołoliczka krótkodzioba	szerokodzioby
kurtaczek blady	kurtaczki
dróżniczek białobrzuchy	liściarki
drzewiarz czerwonodzioby	tęgostery
piaskownik długodzioby	garncarze
garncarz rdzawy	garncarze
liściowiec ochrowy	garncarze
liściowiec leśny	garncarze
kamionek szaroczuby	garncarze
ogończyk blady	garncarze
koralonóżek	garncarze
moczarnik ochrowy	garncarze
miękkoster rdzawogardły	garncarze
ostrodziób	bekardy
królówka koroniasta|tyranka królewska	bekardy
żarnowiec	bobowate właściwe|motylkowate właściwe
bożodajnia	bobowate właściwe|motylkowate właściwe
siekiernica	bobowate właściwe|motylkowate właściwe
przelot	bobowate właściwe|motylkowate właściwe
kustrzebka	kustrzebkowate
szyplin	bobowate właściwe|motylkowate właściwe
konikleca	bobowate właściwe|motylkowate właściwe
sprężyk	sprężykowate
skrócik	gnilikowate
czworoboczek	gnilikowate
podlistnik	grzybinki
jeleniak	workowce|grzyby workowe|woreczniaki
świerzbiec	bobowate właściwe|motylkowate właściwe
maczużnik	maczużnikowate
piestrzenica	kustrzebkowce
galaretnica	patyczniaki
korzeniówka	wrzosowate
pomocnik	wrzosowate
gruszycznik|monezes	wrzosowate
mastodont amerykański	mastodonty
mastodont Borsona	mastodonty
jelonek	jelonkowate
ciołek matowy	jelonkowate
wynurt	jelonkowate
dębosz żukowaty	jelonkowate
rytel	drwionkowate
drwionek okrętowiec	drwionkowate
jaszczurka szklana|żółtopuzik smukły	padalcowate
bęblik dwuplamek	bęblikowate
żółtopuzik bałkański	padalcowate
rogatnica	oleicowate|majkowate
oparzyk	oleicowate|majkowate
pryszczel	oleicowate|majkowate
aligatorowiec złocisty	padalcowate
rozrożek|pałecznik	kusakowate
ogniczek większy	ogniczkowate
grzebycznik	wachlarzykowate
sąsiad dziwaczek|natręt	wachlarzykowate
podryj dębowiec	tutkarzowate
oszynda leszczynowiec	tutkarzowate
żyrafka madagaskarska	tutkarzowate
papuzik trójbarwny	papuziki
amadyniec|amadyna wspaniała	papuziki
gruszynka|gruszkówka|gruszyczka|ortylia|ramiszja	wrzosowate
kraśniczek diamentowy|amadyna diamentowa|amadyna diamantka	mniszki
krasnogonek szkarłatny	mniszki
wałkarz lipczyk	żukowate|poświętnikowate
krasnogonek oliwkowy	mniszki
ogrodnica niszczylistka	żukowate|poświętnikowate
kruszczyca	żukowate|poświętnikowate
zeberka timorska|zeberka|amadyna zebrowata	mniszki
zeberka białolica|amadynka białolica|astryld kratoskrzydły	mniszki
pachnica	żukowate|poświętnikowate
kwietnica okazała|złotawiec okazały|złotawiec	żukowate|poświętnikowate
kwietnica różówka	żukowate|poświętnikowate
kosmatek pospolity	żukowate|poświętnikowate
orszoł prążkowany	żukowate|poświętnikowate
amadynka długosterna|amadynka ostrosterna	mniszki
rohatyniec borneański	rohatyńcowate
mniszka muszkatowa	mniszki
mniszka kapturowa	mniszki
ryżowiec siwy	mniszki
pokątnik złowieszczek	czarnuchowate|mączniki
trojszyk	czarnuchowate|mączniki
przedrzeźniacz ciemny	przedrzeźniacze
grabarz	omarlicowate
omarlica	omarlicowate
ścierwiec	omarlicowate
przedrzeźniacz płowy	przedrzeźniacze
przedrzeźniacz rudy	przedrzeźniacze
przekrasek	przekraskowate
przedrzeźniacz krzywodzioby	przedrzeźniacze
barciel	przekraskowate
przedrzeźniacz smugowany	przedrzeźniacze
toniak	pływakowate|pływaki
afrorudzik|koloratka rudogardła	złotokosy
koloratka tanzańska	złotokosy
kusochwostka rdzawoskrzydła	kląskawki
podróżniczek	kląskawki
kwietniczek dwojaczek	bogatkowate
opiętek białowieski	bogatkowate
opiętek dwuplamy|opiętek dwuplamkowy	bogatkowate
ukrytek mauretański	czarnuchowate|mączniki
pustosz kradnik	kołatkowate
skórnik słoniniec	chrząszcze wielożerne
mrzyk muzealny	chrząszcze wielożerne
zgniotek	chrząszcze wielożerne
nogal	nogale|nogalowate
czakalaka północna	czubacze|czubaczowate
czakalaka rdzawa	czubacze|czubaczowate
penelopa andyjska	czubacze|czubaczowate
penelopa zielonawa	czubacze|czubaczowate
grdacz trinidadzki	czubacze|czubaczowate
grdacz czarny	czubacze|czubaczowate
jednoróg	czubacze|czubaczowate
czubacz garbonosy	czubacze|czubaczowate
czubacz hełmiasty	czubacze|czubaczowate
czubacz zmienny	czubacze|czubaczowate
czubacz czerwonodzioby	czubacze|czubaczowate
perlica czarna	perlice
perlica czubata	perlice
perlica sępia	perlice
przepiór kalifornijski	przepióry
przepiór wirginijski	przepióry
przepiór zmienny	przepióry
przepiór rdzawobrzuchy	przepióry
bezszpon	pstropióry
argus malajski	bażanty
kalmia	wrzosowate
przepiórka japońska	bażanty
przepiórka nowozelandzka	bażanty
przepiórka chińska	bażanty
ułar kaukaski	bażanty
ułar kaspijski	bażanty
ułar himalajski	bażanty
ułar tybetański	bażanty
ułar ałtajski	bażanty
śnieżnik	bażanty
kuropatewka piaskowa	bażanty
kuropatewka pustynna|kuropatwa pustynna	bażanty
przepiórecznik	bażanty
szponiastonóg łuskowany|frankolin łuskowany	bażanty
szponiastonóg brązowouchy|frankolin brązowouchy	bażanty
szponiastonóg rudoplamy|frankolin rudoplamy	bażanty
szponiastonóg kameruński|frankolin kameruński	bażanty
opornik	bobowate właściwe|motylkowate właściwe
koralodrzew|eretryna	bobowate właściwe|motylkowate właściwe
turi	bobowate właściwe|motylkowate właściwe
szupin|sofora	bobowate właściwe|motylkowate właściwe
nostrzyk	bobowate właściwe|motylkowate właściwe
wyskór złocisty	wyskórowate
murzyłka dwuskrzydła	murzyłkowate
zmarwlocik żółtawy	jętki|jacica|efemerydy
zadomka	karaczany|hełmce
bagno	wrzosowate
modliszka zwyczajna	modliszkowate
modliszka gwinejska	modliszkowate
modliszka chińska	modliszkowate
chamedafne|rozmarynek	wrzosowate
golteria|gaulteria	wrzosowate
pieris	wrzosowate
komarnica|koziułek	koziułkowate|komarnice
ochotka	ochotkowate
pryszczarek	pryszczarkowate|pryszczarki
wodzień	wodzieniowate|wodzienie
ziemiórka pleniówka	ziemiórkowate
nasionnica trześniówka|trześniówka	krótkorogie|krótkoczułkie
nasionnica jabłkówka	krótkorogie|krótkoczułkie
liściolubka selerowa	krótkorogie|krótkoczułkie
lwinka kameleon|zmróżeń kameleon	lwinkowate
jusznica	bąkowate|bąki|ślepaki
dwuporka wspaniała	agamowate|agamy
wielosił	wielosiłowate
hardun	agamowate|agamy
moloch straszliwy	agamowate|agamy
krągłogłówka słoneczna	agamowate|agamy
biczogon	biczogony
cuchna nawozowa	kłośnicowate|cuchnowate
łowik	łowikowate
kurcinka	narzępikowate
strzyżak sarni|strzyżak jelenica	narzępikowate
plujka	plujkowate|muchy plujki
rączyca	rączycowate
wujek żółtaczek	wujkowate
legwan obrożny	obróżkogwanowate
iranka	kląskawki
legwan frędzlasty	frynosomowate|frynosomy
modraczek zwyczajny|modraczek	kląskawki
widłogon białoczuby	kląskawki
frynosoma	frynosomowate|frynosomy
muchołówka żałobna	kląskawki
muchołówka białoszyja	kląskawki
muchołówka półobrożna	kląskawki
muchołówka złotobrewa	kląskawki
muchołówka mała	kląskawki
pleszka chińska	kląskawki
modrak śródziemnomorski|modrak|drozd modrak|drozd siniak|drozd niebieski|nagórnik modrak	kląskawki
legwan głuchy	frynosomowate|frynosomy
legwan karłowaty	frynosomowate|frynosomy
białorzytka zwyczajna|białorzytka	kląskawki
legwan peruwiański	lawanikowate
białorzytka płowa	kląskawki
białorzytka pstra	kląskawki
białorzytka cypryjska	kląskawki
białorzytka rdzawa	kląskawki
białorzytka pustynna	kląskawki
białorzytka saharyjska	kląskawki
białorzytka żałobna	kląskawki
płaskowiec cesarski	szyszkowcowate|jaszczurki kolczaste
frankolin obrożny|frankolin	bażanty
frankolin malowany	bażanty
frankolin chiński	bażanty
frankolin indyjski	bażanty
frankolin bagienny	bażanty
frankolin czubaty	bażanty
frankolin czarnogardły	bażanty
frankolin jasnogłowy	bażanty
frankolin białogardły	bażanty
frankolin jarzębaty	bażanty
frankolin zebroszyi	bażanty
frankolin szaroskrzydły	bażanty
frankolin rudoskrzydły	bażanty
frankolin rdzawolicy	bażanty
frankolin rdzawoboczny	bażanty
frankolin górski	bażanty
frankolin zbroczony	bażanty
bambusówka górska	bażanty
bambusówka chińska	bażanty
kur bankiwa	bażanty
kur siwy	bażanty
kur cejloński	bażanty
kur zielony	bażanty
perkołyska amerykańska	perkołyski
weka	chruściele|chruścielowate|wodniki
wodnik ciemny	chruściele|chruścielowate|wodniki
wodnik okinawski	chruściele|chruścielowate|wodniki
wodnik pacyficzny	chruściele|chruścielowate|wodniki
wodnik białobrewy	chruściele|chruścielowate|wodniki
wodnik guamski	chruściele|chruścielowate|wodniki
wodnik długodzioby	chruściele|chruścielowate|wodniki
wodnik królewski	chruściele|chruścielowate|wodniki
wodnik błotny	chruściele|chruścielowate|wodniki
wodnik andyjski	chruściele|chruścielowate|wodniki
chruścielak karłowaty	chruściele|chruścielowate|wodniki
chruścielak atlantycki	chruściele|chruścielowate|wodniki
chruścielak wielki	chruściele|chruścielowate|wodniki
chruścielak talaudzki	chruściele|chruścielowate|wodniki
karliczka zwyczajna|karliczka	chruściele|chruścielowate|wodniki
kropiatka|kureczka nakrapiana	chruściele|chruścielowate|wodniki
kureczka karolińska	chruściele|chruścielowate|wodniki
kureczka kasztanowata	chruściele|chruścielowate|wodniki
wodniczak pstry	chruściele|chruścielowate|wodniki
modrzyk|modrzyk zwyczajny	chruściele|chruścielowate|wodniki
takahe|takahe z Wyspy Południowej	chruściele|chruścielowate|wodniki
takahe z Wyspy Północnej	chruściele|chruścielowate|wodniki
sułtanka amerykańska	chruściele|chruścielowate|wodniki
kokoszka atlantycka	chruściele|chruścielowate|wodniki
kokoszka zwyczajna|kokoszka|kokoszka wodna|kurka wodna	chruściele|chruścielowate|wodniki
teju argentyński czarno-biały	tejowate|teidy|warany amerykańskie
teju brazylijski|teju czarnoplamy	tejowate|teidy|warany amerykańskie
teju krokodylowy	tejowate|teidy|warany amerykańskie
teju wodny	teju wodne
teju z Chile	tejowate|teidy|warany amerykańskie
gwajakowiec|gwajak	parolistowate
wszoł	wszoły
łusecznica mała|łusecznica Fitzingera	jaszczurkowate|jaszczurki właściwe
parolist	parolistowate
dziubałek gajowy	dziubałkowate
trzycik mały	dziubałkowate
łusecznica hiszpańska	jaszczurkowate|jaszczurki właściwe
kowal bezskrzydły	kowalowate
łusecznica peloponeska	jaszczurkowate|jaszczurki właściwe
łusecznica wspaniała	jaszczurkowate|jaszczurki właściwe
jaszczurka skalna|jaszczurka kaukaska	jaszczurkowate|jaszczurki właściwe
jaszczurka tęczowa|jaszczurka zrosłożebra	jaszczurkowate|jaszczurki właściwe
płoszczyca	płoszczycowate
buzdyganek	parolistowate
stepniarka mongolska	jaszczurkowate|jaszczurki właściwe
poślizg wysmukły	poślizgowate
stepniarka oczkowana	jaszczurkowate|jaszczurki właściwe
puklica rudnica	puklicowate
knieżyca szara	puklicowate
stepniarka paskowana	jaszczurkowate|jaszczurki właściwe
dławisz	dławiszowate
stepniarka różnobarwna	jaszczurkowate|jaszczurki właściwe
stepniarka siatkowana	jaszczurkowate|jaszczurki właściwe
stepniarka średnia	jaszczurkowate|jaszczurki właściwe
lubik białopręgi	tasznikowate
mściel natrawny	tasznikowate
jaszczurka grecka	jaszczurkowate|jaszczurki właściwe
zmienik ziemniaczek	tasznikowate
błyszczek elegancik	tasznikowate
jaszczurka hiszpańska|jaszczurka zielona hiszpańska|jaszczurka Schreibera	jaszczurkowate|jaszczurki właściwe
ozdobnik lucernowiec	tasznikowate
wioślak	wioślakowate
wtyk straszyk	wtykowate
jaszczurka ostropyska	jaszczurkowate|jaszczurki właściwe
zajadek	zajadkowate
jaszczurka trójpręga	jaszczurkowate|jaszczurki właściwe
zażartka podtrawna	zażartkowate
zażartka drzewna	zażartkowate
jaszczurka zielona	jaszczurkowate|jaszczurki właściwe
żyrytwa pluskwowata|żyrytwa	żyrytwowate
glinik lulkarz	wysysowate
wysys	wysysowate
jaszczurka wężooka|wężooczka strojna	jaszczurkowate|jaszczurki właściwe
murówka maltańska|maltańska jaszczurka murowa	jaszczurkowate|jaszczurki właściwe
murówka hiszpańska	jaszczurkowate|jaszczurki właściwe
jaszczurka Lilforda	jaszczurkowate|jaszczurki właściwe
cykada wieloletnia	cykadowate|piewikowate
piewik gałązkowiec	cykadowate|piewikowate
jaszczurka murowa|murówka zwyczajna	jaszczurkowate|jaszczurki właściwe
pienik	pienikowate
zgarb rogaty	zgarbkowate
jaszczurka z Ibizy	jaszczurkowate|jaszczurki właściwe
jaszczurka długoogonowa	jaszczurkowate|jaszczurki właściwe
jaszczurka perłowa	jaszczurkowate|jaszczurki właściwe
jaszczurka żyworodna|żyworódka|jaszczurka żyworódka	jaszczurkowate|jaszczurki właściwe
jaszczurka krokodylowata|jaszczurka guzowata krokodylowa|guzowiec krokodylowy|guzowiec chiński	jaszczurkowate|jaszczurki właściwe
jaszczurka pierścieniowata kalifornijska	jaszczurki pierścieniowate
jaszczurka płetwiasta australijska	płatonogowate|płatonogi
jaszczurka tarczowata ryjąca|tarczowiec ryjący|tarczołusk sudański	tarczowcowate|jaszczurki tarczowate
jaszczurka krymska	jaszczurkowate|jaszczurki właściwe
jaszczurka sycylijska|jaszczurka ruinowa	jaszczurkowate|jaszczurki właściwe
żółw kilowaty	żółwie błotne|żółwie słodkowodne
czakuela	legwanowate|legwany
tarczołusk mocny|tarczowiec olbrzymi	tarczowcowate|jaszczurki tarczowate
tarczowiec żółtogardły|tarczołusk żółtogardły	tarczowcowate|jaszczurki tarczowate
strzelec kenijski	dusicielowate|dusiciele
wąż diademowy	połozowate|wężowate|węże właściwe
wąż trawny	połozowate|wężowate|węże właściwe
pończosznik prążkowany|wąż pończosznik|ogrodowiec zwyczajny	zaskrońcowate
połoz zielony	połozowate|wężowate|węże właściwe
lancetogłów szary	połozowate|wężowate|węże właściwe
atelop Stelznera	ropuchowate|ropuchy właściwe
celur	celury
tanikolagrez	celury
aristozuch	kompsognaty
jurawenator	kompsognaty
kompsognat	kompsognaty
miriszja	kompsognaty
dinozaur ptasiomiedniczny	dinozaury ptasiomiedniczne|ptasiomiedniczne
sinokaliopteryks	kompsognaty
sinozauropteryks	kompsognaty
bagaraatan	tyranozauroidy
diplotomodon	tyranozauroidy
labokania	tyranozauroidy
iliozuch	tyranozauroidy
dilong	tyranozauroidy
eotyran	tyranozauroidy
stoksozaur	tyranozauroidy
alektrozaur	tyranozauroidy
dryptozaur	tyranozauroidy
raptoreks	tyranozauroidy
proceratozaur	tyranozauroidy
guanlong	tyranozauroidy
gorgozaur	tyranozaury
albertozaur	tyranozaury
alioram	tyranozaury
nanotyran	tyranozaury
tarbozaur	tyranozaury
tanouchizaur	tyranozauroidy
awiatyran	tyranozauroidy
appalachiozaur	tyranozauroidy
heterodon płaskonosy	połozowate|wężowate|węże właściwe
hoplur obrożny	madagaskarkowate
kobea	wielosiłowate
legwan kameleonowaty	długonogwanowate
krągłogłówka uszasta	agamowate|agamy
krągłogłówka piaskowa	agamowate|agamy
liścionos madagaskarski	połozowate|wężowate|węże właściwe
płatonóg ostropyski	płatonogowate|płatonogi
płatonóg wężowaty	płatonogowate|płatonogi
szklana żabka	szklenicowate|żaby szklane
atlaskopkozaur	ornitopody
cerapod	cerapody
tyreofory	tyreofory
łyska czubata	chruściele|chruścielowate|wodniki
drinker	ornitopody
bugenazaura	ornitopody
fulguroterium	ornitopody
hipsylofodon	hipsylofodonty
janduzaur	ornitopody
kwantazaur	ornitopody
laozaur	ornitopody
nanozaur	ornitopody
orodrom	ornitopody
otnielia	ornitopody
parksozaur	ornitopody
zefirozaur	ornitopody
notohipsylofodon	ornitopody
altirin	hadrozauroidy
amurozaur	lambeozaury
anatotytan	hadrozaury płaskogłowe
wellnhoferia	archeopteryksy
epidendrozaur	skansoriopteryksy
skansoriopteryks	skansoriopteryksy
protarcheopteryks	owiraptorozaury
awimim	owiraptorozaury
kaudipteryks	kaudipteryksy
similikaudipteryks	kaudipteryksy
hagryf	cenagnatoidy
arstanozaur	hadrozaury
cenagnatazja	cenagnaty
aralozaur	hadrozaury
chirostenot	cenagnaty
elmizaur	cenagnaty
anasazizaur	hadrozaury płaskogłowe
argania|olejara	sączyńcowate
gigantoraptor	owiraptory
mikrowenator	owiraptory
szyksyngia	owiraptory
konchoraptor	ingenie
ingenia	ingenie
khaan	ingenie
nemegtomaja	owiraptory
rynchenia	owiraptory
łyska amerykańska	chruściele|chruścielowate|wodniki
owiraptor	owiraptory
łyska rogata	chruściele|chruścielowate|wodniki
chruścielowiec krzyżodzioby	chruściele|chruścielowate|wodniki
bekaśnica	bekaśnice
masłosz	sączyńcowate
koronnik szary	koronniki|żurawie koroniaste
koronnik czarny	koronniki|żurawie koroniaste
żuraw biały|żuraw syberyjski|żuraw śnieżny	żurawie
złotoliść	sączyńcowate
synsepal	sączyńcowate
żuraw kanadyjski	żurawie
żuraw białoszyi	żurawie
żuraw indyjski|antygona indyjska	żurawie
żuraw australijski	żurawie
żuraw stepowy	żurawie
żuraw rajski|żuraw błękitny|żuraw Stanleya	żurawie
żuraw koralowy	żurawie
żuraw mandżurski	żurawie
żuraw krzykliwy	żurawie
żuraw białogłowy	żurawie
żuraw czarnoszyi	żurawie
kusokurka perlista	kusokurki
kusokurka plamista	kusokurki
magelanówka	magelanówki
euronychodon	deinonychozaury
pamparaptor	deinonychozaury
atrociraptor	dromeozaury
dromeozauroid	dromeozaury
luanchuanraptor	dromeozaury
mahakala	dromeozaury
pyroraptor	dromeozaury
unkwillozaur	celurozaury
wariraptor	dromeozaury
hadrozaur|dinozaur kaczodzioby	hadrozaury
achillobator	dromeozaury
adazaur	dromeozaury
kritozaur	grypozaury
utahraptor	dromeozaury
majazaura	hadrozaury płaskogłowe
bambiraptor	dromeozaury
kryptowolans	dromeozaury
graciliraptor	dromeozaury
kerberozaur	hadrozaury płaskogłowe
mikroraptor	dromeozaury
prozaurolof	hadrozaury płaskogłowe
sinornitozaur	dromeozaury
zaurolof	hadrozaury płaskogłowe
edmontozaur	hadrozaury płaskogłowe
austroraptor	unenlagie
loforoton	hadrozauroidy
buitreraptor	unenlagie
nekenraptor	unenlagie
rahonawis	unenlagie
szanag	unenlagie
tanius	hadrozaury płaskogłowe
unenlagia	unenlagie
balaur	welociraptory
deinonych	welociraptory
zaurornitolest	welociraptory
tsaagan	welociraptory
welociraptor	welociraptory
anchiornis	troodony
borogowia	troodony
byronozaur	troodony
geminiraptor	troodony
brachylofozaur	hadrozaury płaskogłowe
jinfengopteryks	troodony
koparion	troodony
szantungozaur	hadrozaury płaskogłowe
sinornitoid	troodony
sinowenator	troodony
talos	troodony
tsintaozaur	lambeozaury
jaksartozaur	lambeozaury
tochizaur	troodony
nanningozaur	lambeozaury
troodon	troodony
urbakodon	troodony
zaurornitoid	troodony
baktrozaur	lambeozaury
elopteryks	troodony
zanabazar	troodony
sinusonaz	troodony
pararabdodon	lambeozaury
ichabodkraniozaur	dromeozaury
pelekanimim	ornitomimozaury
garudimim	ornitomimozaury
charonozaur	parazaurolofy
harpymim	ornitomimozaury
hipakrozaur	korytozaury
deinocheir	ornitomimozaury
beipiaozaur	terizinozauroidy
falkarius	terizinozauroidy
enigmozaur	terizinozaury
erlianzaur	terizinozaury
erlikozaur	terizinozaury
nanszjungozaur	terizinozaury
notronych	terizinozaury
segnozaur	terizinozaury
terizinozaur	terizinozaury
eszanozaur	terizinozauroidy
deltadrom	noazaury
lewizuch	noazaury
masjakazaur	noazaury
noazaur	noazaury
welocizaur	noazaury
hipsybema	hadrozauroidy
klaozaur	hadrozaury
korytozaur	korytozaury
koutalizaur	hadrozaury
lambeozaur	lambeozaury
mandżurozaur	hadrozaury
mikrohadrozaur	hadrozaury
pochwodziób żółtodzioby|pochwodziób biały	pochwodzioby
kulon|kulon zwyczajny	kulony
kulon plażowy	kulony
pijawnik|żwirowiec nilowy	pijawniki
ibisodziób	ibisodzioby
ostrygojad brunatny	ostrygojady
szablodziób amerykański	szczudłonogi|szczudłakowate
szablodziób andyjski	szczudłonogi|szczudłakowate
krasnodrzew	krasnodrzewowate|czerwikowate
drzewipest orzechodajny	drzewipestowate
len	lnowate
łódkodziób czarnogardły	chronki
kluzja|okrętnica	kluzjowate
mrówkodławik rdzawogrzbiety	chronki
mrówkodławik skalny	chronki
mrówieńczyk|mrówieńczyk perlisty	chronki
mrówczynek szarobrzuchy	chronki
taraba|taraba wielka	chronki
śliniacznik	chronki
chronka pręgowana	chronki
mrowiniec łuskowany	chronki
leśniczka czarnogłowa	chronki
mrówkowodzik peruwiański	chronki
leśnica rdzawa	chronki
modroliczek|gołook obrożny	chronki
dziwaczek maskowy|dziwaczek	chronki
gołook plamisty	chronki
mrówczyk białobrzuchy	chronki
kusaczka oliwkowa	kusaczki
mrówkożer rdzawy	mrówkożery|mrówkożerowate
mrówkożer czarnobrzuchy	mrówkożery|mrówkożerowate
krytonosek myszaty	krytonosy|krytonoski|tapakolowate|tapakole
krytonosek szarogłowy	krytonosy|krytonoski|tapakolowate|tapakole
krytonosek kolumbijski	krytonosy|krytonoski|tapakolowate|tapakole
krytonosek jednobarwny	krytonosy|krytonoski|tapakolowate|tapakole
krytonosek krzykliwy	krytonosy|krytonoski|tapakolowate|tapakole
krytonosek paprociowy	krytonosy|krytonoski|tapakolowate|tapakole
obrożnik rdzawokarkowy	obrożniki
elenia żółtobrzucha	tyrankowate
boa nowogwinejski	dusicielowate|dusiciele
boa pacyficzny	dusicielowate|dusiciele
kamelia	herbatowate|kameliowate
brodawkowiec arafurski	brodawkowcowate
stewarcja	herbatowate|kameliowate
kapturzec	połozowate|wężowate|węże właściwe
tyranik jasnolicy	tyrankowate
darlingtonia	kapturnicowate
siwogłowik jasnorzytny|tyranik jasnorzytny|tyranik szapadski	tyrankowate
czuprynek czubaty	tyrankowate
oliwiaczek czerwonodzioby	tyrankowate
tyrańczyk brazylijski	tyrankowate
tyrańczyk żółtolicy	tyrankowate
smukłodziobek brązowogrzbiety	tyrankowate
barwniczek złotobrzuchy	tyrankowate
heliamfora	kapturnicowate
murówka	tyrankowate
fibik czarny	tyrankowate
fibik oliwkowy	tyrankowate
empidonka żółtobrzucha	tyrankowate
empidonka oliwkowa	tyrankowate
empidonka mała	tyrankowate
empidonka stokowa	tyrankowate
żarek	tyrankowate
wdowik białopręgi	tyrankowate
mniszek biały	tyrankowate
wodopławik białorzytkowy	tyrankowate
połoz żółto-zielony	połozowate|wężowate|węże właściwe
białogłowik	tyrankowate
krępacz olbrzymi	zdradnicowate
żółwiogłowiec australijski	zdradnicowate
koralówka atlantycka	zdradnicowate
koralówka czarnopasa	zdradnicowate
mulga	zdradnicowate
bentewi wielki	tyrankowate
bentewi ciemny	tyrankowate
tyran bahamski	tyrankowate
tyran różany	tyrankowate
tyran północny	tyrankowate
muchołap czubaty	tyrankowate
skalikurek andyjski	bławatniki
skalikurek gujański	bławatniki
karmazynowiec zachodni	bławatniki
bławatnik purpurowy	bławatniki
bławatnik meksykański	bławatniki
bławatnik śliwogardły	bławatniki
dzwonnik brodaty|dzwonnik araponga	bławatniki
dzwonnik trójsoplowy	bławatniki
bławatowiec rudogłowy	bławatniki
czajka srokata	czajki
bławatnik amarantowy	bławatniki
czajka szponiasta	czajki
gołoszyjnik|kruczyniec nagoszyi|pombo	bławatniki
czajka płatkolica	czajki
kruszyniec rubinowy	bławatniki
strojnoczub amazoński	bławatniki
czajka towarzyska	czajki
gorzyczek peruwiański	gorzyki
czajka stepowa	czajki
gorzyczek czapeczkowy	gorzyki
czajka miedziana	czajki
hełmogłowik czarny	gorzyki
hełmogłowik biały|skoczek królewski	gorzyki
gorzyk ognisty	gorzyki
gorzyk złotogłowy	gorzyki
skrętodziób	czajki
siewka złota	sieweczki
siewka złotawa|siewka azjatycka	sieweczki
siewka szara	sieweczki
siewnica	sieweczki
sieweczka nowozelandzka	sieweczki
sieweczka obrożna	sieweczki
sieweczka skąpopłetwa	sieweczki
sieweczka długodzioba	sieweczki
sieweczka rzeczna	sieweczki
sieweczka krzykliwa	sieweczki
sieweczka blada	sieweczki
sieweczka madagaskarska	sieweczki
sieweczka morska	sieweczki
sieweczka jawajska	sieweczki
